V	1.000M	100.000k	10.000k	1.000k
-3.000000E+0	6.026820E-13	5.664660E-13	6.002640E-13	5.762960E-13
-2.900000E+0	6.030620E-13	5.679040E-13	5.528090E-13	5.853520E-13
-2.800000E+0	6.033760E-13	5.674210E-13	4.848750E-13	5.598110E-13
-2.700000E+0	6.042590E-13	5.684330E-13	4.429710E-13	5.616480E-13
-2.600000E+0	6.037970E-13	5.696440E-13	4.274860E-13	5.862290E-13
-2.500000E+0	6.044700E-13	5.710710E-13	5.727490E-13	5.423420E-13
-2.400000E+0	6.053820E-13	5.702220E-13	5.679310E-13	5.138200E-13
-2.300000E+0	6.052450E-13	5.719780E-13	5.629810E-13	5.592350E-13
-2.200000E+0	6.054420E-13	5.736680E-13	5.653090E-13	5.202080E-13
-2.100000E+0	6.063650E-13	5.738760E-13	5.769130E-13	5.824320E-13
-2.000000E+0	6.073260E-13	5.736290E-13	5.650100E-13	5.542130E-13
-1.900000E+0	6.081170E-13	5.762770E-13	5.762930E-13	5.157100E-13
-1.800000E+0	6.099680E-13	5.766260E-13	5.773890E-13	5.737010E-13
-1.700000E+0	6.109480E-13	5.783410E-13	5.703040E-13	5.753260E-13
-1.600000E+0	6.105660E-13	5.788130E-13	5.768880E-13	5.521950E-13
-1.500000E+0	6.107610E-13	5.818060E-13	5.740460E-13	6.262730E-13
-1.400000E+0	6.112650E-13	5.814490E-13	5.735050E-13	6.287950E-13
-1.300000E+0	6.120820E-13	5.847150E-13	5.858270E-13	5.816480E-13
-1.200000E+0	6.141370E-13	5.856740E-13	5.728540E-13	5.864450E-13
-1.100000E+0	6.148580E-13	5.866220E-13	5.723880E-13	6.012530E-13
-1.000000E+0	6.170450E-13	5.885870E-13	5.796550E-13	5.274740E-13
-9.000000E-1	6.172880E-13	5.905490E-13	5.698240E-13	6.003740E-13
-8.000000E-1	6.185420E-13	5.909690E-13	5.802940E-13	5.678880E-13
-7.000000E-1	6.197620E-13	5.935920E-13	5.730860E-13	5.638270E-13
-6.000000E-1	6.213020E-13	5.946050E-13	5.747810E-13	6.326870E-13
-5.000000E-1	6.225180E-13	5.958800E-13	5.881870E-13	5.563400E-13
-4.000000E-1	6.237200E-13	5.983020E-13	5.811070E-13	5.932920E-13
-3.000000E-1	6.296310E-13	6.084850E-13	6.028290E-13	6.021620E-13
-2.000000E-1	6.902830E-13	7.335450E-13	9.361070E-13	1.066250E-12
-1.000000E-1	9.187300E-13	1.402340E-12	1.981080E-12	1.966200E-12
0.000000E+0	1.221980E-12	2.520330E-12	2.791500E-12	2.737040E-12
1.000000E-1	1.607230E-12	3.076110E-12	3.148830E-12	3.150000E-12
2.000000E-1	2.104800E-12	3.308330E-12	3.339280E-12	3.307550E-12
3.000000E-1	2.586540E-12	3.428040E-12	3.437890E-12	3.463100E-12
4.000000E-1	2.961820E-12	3.502120E-12	3.490240E-12	3.493170E-12
5.000000E-1	3.229100E-12	3.550710E-12	3.555570E-12	3.531540E-12
6.000000E-1	3.414660E-12	3.586890E-12	3.576010E-12	3.540690E-12
7.000000E-1	3.545340E-12	3.614810E-12	3.614120E-12	3.607160E-12
8.000000E-1	3.638550E-12	3.637930E-12	3.631980E-12	3.668040E-12
9.000000E-1	3.706130E-12	3.655090E-12	3.697670E-12	3.655090E-12
1.000000E+0	3.757090E-12	3.670530E-12	3.674260E-12	3.695100E-12
1.100000E+0	3.796450E-12	3.683380E-12	3.638890E-12	3.694140E-12
1.200000E+0	3.830210E-12	3.694770E-12	3.606950E-12	3.622200E-12
1.300000E+0	3.855800E-12	3.702860E-12	3.558170E-12	3.678660E-12
1.400000E+0	3.878550E-12	3.712270E-12	3.551090E-12	3.713570E-12
1.500000E+0	3.896070E-12	3.720000E-12	3.573860E-12	3.696300E-12
1.600000E+0	3.911420E-12	3.725960E-12	3.597690E-12	3.707050E-12
1.700000E+0	3.924360E-12	3.731020E-12	3.627330E-12	3.756770E-12
1.800000E+0	3.934950E-12	3.737000E-12	3.657770E-12	3.667750E-12
1.900000E+0	3.945210E-12	3.741400E-12	3.692470E-12	3.736620E-12
2.000000E+0	3.956110E-12	3.746770E-12	3.742040E-12	3.779140E-12
2.100000E+0	3.961340E-12	3.748830E-12	3.762090E-12	3.713330E-12
2.200000E+0	3.965720E-12	3.752510E-12	3.796970E-12	3.737630E-12
2.300000E+0	3.970630E-12	3.755050E-12	3.822300E-12	3.775010E-12
2.400000E+0	3.975770E-12	3.758410E-12	3.829490E-12	3.721550E-12
2.500000E+0	3.980440E-12	3.761370E-12	3.848930E-12	3.750700E-12
2.600000E+0	3.984510E-12	3.762000E-12	3.849290E-12	3.756570E-12
2.700000E+0	3.988330E-12	3.764700E-12	3.845110E-12	3.794830E-12
2.800000E+0	3.992330E-12	3.768040E-12	3.831210E-12	3.778380E-12
2.900000E+0	3.991120E-12	3.768070E-12	3.803460E-12	3.782210E-12
3.000000E+0	3.994390E-12	3.769580E-12	3.789030E-12	3.752080E-12
