V	1.000M	100.000k	10.000k	1.000k
-3.000000E+0	4.172980E-2	1.089350E-2	2.872070E-1	9.328840E-2
-2.900000E+0	4.248930E-2	1.018910E-2	3.100250E-1	2.944750E-2
-2.800000E+0	4.151110E-2	9.380010E-3	2.950210E-1	9.527450E-2
-2.700000E+0	4.234150E-2	1.007810E-2	3.099820E-1	1.344960E-1
-2.600000E+0	4.184590E-2	1.016050E-2	2.285780E-1	1.011600E-1
-2.500000E+0	4.313340E-2	1.011580E-2	1.852880E-2	7.280800E-2
-2.400000E+0	4.305470E-2	1.114950E-2	2.870860E-2	1.080670E-1
-2.300000E+0	4.211650E-2	1.168780E-2	1.700540E-2	9.591550E-2
-2.200000E+0	4.386950E-2	1.047140E-2	1.491060E-2	8.529850E-2
-2.100000E+0	4.459810E-2	9.769690E-3	2.926090E-3	5.747100E-2
-2.000000E+0	4.622990E-2	9.161710E-3	-2.298170E-3	6.955560E-2
-1.900000E+0	4.734520E-2	9.723510E-3	3.043580E-3	2.775930E-2
-1.800000E+0	4.569310E-2	9.108630E-3	3.848660E-3	1.784130E-1
-1.700000E+0	4.616360E-2	9.342300E-3	3.030650E-4	1.279900E-1
-1.600000E+0	4.577160E-2	8.964450E-3	1.373790E-2	1.361940E-1
-1.500000E+0	4.586520E-2	8.506940E-3	6.358460E-3	6.658480E-2
-1.400000E+0	4.752650E-2	8.969140E-3	1.129720E-2	1.220220E-1
-1.300000E+0	4.883030E-2	8.104490E-3	1.451700E-2	1.220890E-1
-1.200000E+0	4.971110E-2	6.760220E-3	-1.150350E-3	1.905450E-1
-1.100000E+0	5.082260E-2	5.825650E-3	1.235620E-2	6.850820E-2
-1.000000E+0	5.164150E-2	6.749170E-3	1.507530E-2	1.427460E-1
-9.000000E-1	5.221580E-2	4.024770E-3	-5.245230E-3	1.981800E-1
-8.000000E-1	5.306150E-2	4.390770E-3	1.050290E-2	4.677940E-2
-7.000000E-1	5.396870E-2	2.443660E-3	8.771280E-4	1.181990E-1
-6.000000E-1	5.340900E-2	6.310900E-4	2.992550E-3	1.350350E-1
-5.000000E-1	5.417040E-2	5.777600E-4	9.257950E-3	8.947430E-2
-4.000000E-1	5.407190E-2	-3.360950E-3	-9.701180E-5	1.053290E-1
-3.000000E-1	6.142740E-2	7.239320E-3	4.254460E-2	1.407740E-1
-2.000000E-1	1.497950E-1	1.439240E-1	1.746810E-1	1.364680E-1
-1.000000E-1	3.580330E-1	4.042620E-1	9.964110E-2	2.744130E-2
0.000000E+0	5.404240E-1	2.700270E-1	3.833680E-2	3.328640E-2
1.000000E-1	6.463930E-1	1.507520E-1	2.050990E-2	3.994310E-2
2.000000E-1	6.161720E-1	9.497390E-2	1.435640E-2	2.567040E-2
3.000000E-1	5.255700E-1	6.701880E-2	1.053020E-2	2.121600E-2
4.000000E-1	4.390510E-1	5.042070E-2	9.521150E-3	1.355050E-2
5.000000E-1	3.690350E-1	4.048320E-2	8.672490E-3	1.852060E-2
6.000000E-1	3.172970E-1	3.342500E-2	4.806190E-3	1.383880E-3
7.000000E-1	2.772930E-1	2.871170E-2	5.003920E-3	1.612250E-2
8.000000E-1	2.464090E-1	2.503790E-2	6.630040E-3	1.918440E-2
9.000000E-1	2.227470E-1	2.234350E-2	4.657100E-2	2.176260E-2
1.000000E+0	2.031740E-1	2.046660E-2	5.204900E-2	1.868220E-2
1.100000E+0	1.882970E-1	1.842170E-2	4.991970E-2	2.721350E-2
1.200000E+0	1.753140E-1	1.726500E-2	4.406490E-2	3.375610E-3
1.300000E+0	1.648370E-1	1.645270E-2	3.222000E-2	1.357430E-2
1.400000E+0	1.556940E-1	1.527830E-2	2.112860E-2	1.425160E-2
1.500000E+0	1.478790E-1	1.452400E-2	8.729820E-3	1.807930E-2
1.600000E+0	1.424740E-1	1.358800E-2	1.879190E-3	2.774580E-2
1.700000E+0	1.358770E-1	1.296790E-2	-1.075800E-2	1.783010E-2
1.800000E+0	1.306100E-1	1.276770E-2	-1.911760E-2	1.351180E-2
1.900000E+0	1.260530E-1	1.233700E-2	-2.096720E-2	2.950640E-2
2.000000E+0	1.218510E-1	1.189760E-2	-1.832280E-2	3.562940E-2
2.100000E+0	1.191670E-1	1.148530E-2	-1.758860E-2	3.700210E-2
2.200000E+0	1.158290E-1	1.143510E-2	-1.362620E-2	2.270580E-2
2.300000E+0	1.132420E-1	1.120710E-2	-1.005600E-2	1.306650E-2
2.400000E+0	1.111570E-1	1.092080E-2	-5.022520E-3	6.204050E-3
2.500000E+0	1.089850E-1	1.085720E-2	5.563340E-3	1.398140E-2
2.600000E+0	1.070130E-1	1.010700E-2	6.985960E-3	1.041570E-2
2.700000E+0	1.050040E-1	1.056300E-2	1.647740E-2	1.432470E-2
2.800000E+0	1.024990E-1	1.035650E-2	2.011530E-2	1.545890E-2
2.900000E+0	1.013710E-1	1.032260E-2	2.531270E-2	2.677380E-2
3.000000E+0	9.960310E-2	1.016020E-2	3.033240E-2	1.973350E-2
