V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	5.391650E-13	5.630660E-13	5.662650E-13	6.016740E-13
-2.900000E+0	5.763680E-13	5.688050E-13	5.671640E-13	6.029060E-13
-2.800000E+0	5.545800E-13	5.688200E-13	5.680560E-13	6.020350E-13
-2.700000E+0	5.301470E-13	5.676140E-13	5.679150E-13	6.029420E-13
-2.600000E+0	5.560680E-13	5.668830E-13	5.692600E-13	6.040920E-13
-2.500000E+0	5.211640E-13	5.687680E-13	5.705390E-13	6.052610E-13
-2.400000E+0	5.851950E-13	5.726920E-13	5.715790E-13	6.055980E-13
-2.300000E+0	5.728160E-13	5.698490E-13	5.710850E-13	6.072240E-13
-2.200000E+0	5.988150E-13	7.243280E-13	5.729240E-13	6.064490E-13
-2.100000E+0	6.112880E-13	6.970310E-13	5.738540E-13	6.076410E-13
-2.000000E+0	6.086460E-13	6.297020E-13	5.741430E-13	6.076770E-13
-1.900000E+0	5.302340E-13	5.851430E-13	5.763310E-13	6.077600E-13
-1.800000E+0	5.727960E-13	5.255600E-13	5.774070E-13	6.087470E-13
-1.700000E+0	5.437370E-13	4.986270E-13	5.780010E-13	6.094860E-13
-1.600000E+0	5.502190E-13	4.815030E-13	5.787900E-13	6.099750E-13
-1.500000E+0	5.674330E-13	4.733260E-13	5.816300E-13	6.112210E-13
-1.400000E+0	5.929060E-13	4.611030E-13	5.825630E-13	6.133820E-13
-1.300000E+0	5.943240E-13	4.637060E-13	5.850260E-13	6.139050E-13
-1.200000E+0	6.491110E-13	4.876900E-13	5.857020E-13	6.150920E-13
-1.100000E+0	6.193270E-13	5.032900E-13	5.872540E-13	6.150530E-13
-1.000000E+0	5.778970E-13	5.225210E-13	5.886720E-13	6.157160E-13
-9.000000E-1	5.567530E-13	5.558240E-13	5.904090E-13	6.168680E-13
-8.000000E-1	5.961200E-13	5.979930E-13	5.920780E-13	6.179130E-13
-7.000000E-1	5.621900E-13	6.229420E-13	5.924970E-13	6.201640E-13
-6.000000E-1	5.453710E-13	6.466870E-13	5.949710E-13	6.209490E-13
-5.000000E-1	5.779980E-13	6.577650E-13	5.967790E-13	6.242490E-13
-4.000000E-1	5.872820E-13	6.718590E-13	5.992410E-13	6.264200E-13
-3.000000E-1	6.578960E-13	6.906760E-13	6.022230E-13	6.299550E-13
-2.000000E-1	9.697730E-13	8.864130E-13	6.642100E-13	6.498590E-13
-1.000000E-1	1.879160E-12	1.840860E-12	1.082830E-12	7.824840E-13
0.000000E+0	2.646650E-12	2.712870E-12	2.199010E-12	1.056810E-12
1.000000E-1	3.164420E-12	3.116290E-12	2.944620E-12	1.372050E-12
2.000000E-1	3.317450E-12	3.300630E-12	3.247590E-12	1.808070E-12
3.000000E-1	3.417210E-12	3.381860E-12	3.395020E-12	2.312220E-12
4.000000E-1	3.457700E-12	3.435400E-12	3.479500E-12	2.756430E-12
5.000000E-1	3.534320E-12	3.458060E-12	3.535700E-12	3.084180E-12
6.000000E-1	3.549090E-12	3.487200E-12	3.575630E-12	3.313800E-12
7.000000E-1	3.578360E-12	3.527170E-12	3.606330E-12	3.473990E-12
8.000000E-1	3.635220E-12	3.558110E-12	3.629200E-12	3.583560E-12
9.000000E-1	3.627500E-12	3.599880E-12	3.649650E-12	3.668000E-12
1.000000E+0	3.664510E-12	3.629870E-12	3.665870E-12	3.728440E-12
1.100000E+0	3.643550E-12	3.663380E-12	3.678540E-12	3.776450E-12
1.200000E+0	3.722550E-12	3.708990E-12	3.690170E-12	3.811670E-12
1.300000E+0	3.718480E-12	3.737690E-12	3.699840E-12	3.839970E-12
1.400000E+0	3.776260E-12	3.765400E-12	3.708700E-12	3.863200E-12
1.500000E+0	3.757460E-12	3.786910E-12	3.716720E-12	3.886010E-12
1.600000E+0	3.768920E-12	3.800590E-12	3.724030E-12	3.902610E-12
1.700000E+0	3.784450E-12	3.813830E-12	3.729760E-12	3.917000E-12
1.800000E+0	3.737110E-12	3.805740E-12	3.734610E-12	3.930230E-12
1.900000E+0	3.766460E-12	3.800240E-12	3.739910E-12	3.939520E-12
2.000000E+0	3.823250E-12	3.786730E-12	3.743400E-12	3.947260E-12
2.100000E+0	3.764200E-12	3.756150E-12	3.747100E-12	3.955000E-12
2.200000E+0	3.727990E-12	3.733300E-12	3.751240E-12	3.960990E-12
2.300000E+0	3.782560E-12	3.679790E-12	3.754680E-12	3.966090E-12
2.400000E+0	3.767570E-12	3.644520E-12	3.756870E-12	3.972060E-12
2.500000E+0	3.748880E-12	3.629480E-12	3.759280E-12	3.978830E-12
2.600000E+0	3.754820E-12	3.616370E-12	3.761610E-12	3.981890E-12
2.700000E+0	3.779070E-12	3.616420E-12	3.763680E-12	3.986700E-12
2.800000E+0	3.788270E-12	3.628980E-12	3.765640E-12	3.989140E-12
2.900000E+0	3.788710E-12	3.667400E-12	3.767490E-12	3.991450E-12
3.000000E+0	3.757150E-12	3.733140E-12	3.770140E-12	3.991800E-12
