V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	2.040950E-1	1.964260E-2	9.203400E-3	4.022010E-2
-2.900000E+0	9.595280E-2	1.408280E-2	9.945540E-3	4.087400E-2
-2.800000E+0	1.123870E-1	1.981050E-2	1.001670E-2	3.972190E-2
-2.700000E+0	1.568440E-1	2.846380E-2	1.088830E-2	4.199980E-2
-2.600000E+0	1.871330E-1	1.596360E-2	9.545210E-3	4.244620E-2
-2.500000E+0	-1.672580E-2	2.475660E-3	9.619190E-3	4.282220E-2
-2.400000E+0	7.582380E-2	2.283950E-2	9.957460E-3	4.422540E-2
-2.300000E+0	8.499620E-2	1.352300E-2	8.780850E-3	4.488490E-2
-2.200000E+0	6.839430E-2	1.420370E-1	1.088350E-2	4.357950E-2
-2.100000E+0	2.949000E-2	2.052160E-1	1.020730E-2	4.336920E-2
-2.000000E+0	7.131170E-2	2.574880E-1	9.144490E-3	4.385730E-2
-1.900000E+0	1.217040E-1	2.917150E-1	8.402020E-3	4.528730E-2
-1.800000E+0	4.721480E-2	3.103960E-1	1.058690E-2	4.484770E-2
-1.700000E+0	8.263760E-2	3.033030E-1	1.066290E-2	4.541650E-2
-1.600000E+0	1.273450E-1	2.026310E-1	1.005400E-2	4.775160E-2
-1.500000E+0	9.365080E-2	1.253270E-1	7.534780E-3	4.842640E-2
-1.400000E+0	1.357450E-1	7.556680E-2	9.663720E-3	4.793500E-2
-1.300000E+0	7.422920E-2	2.686250E-3	9.498340E-3	4.630870E-2
-1.200000E+0	7.873910E-2	-9.390330E-2	7.089490E-3	4.737600E-2
-1.100000E+0	1.769730E-1	-1.353930E-1	7.338590E-3	4.974920E-2
-1.000000E+0	1.732220E-1	-1.562720E-1	6.990010E-3	5.037310E-2
-9.000000E-1	7.513850E-2	-1.556190E-1	4.442630E-3	5.111500E-2
-8.000000E-1	1.450720E-1	-1.482790E-1	3.044480E-3	5.172770E-2
-7.000000E-1	2.081730E-1	-1.277840E-1	2.778280E-3	5.388240E-2
-6.000000E-1	9.074620E-2	-8.898830E-2	1.843130E-3	5.444760E-2
-5.000000E-1	4.864590E-2	-5.250400E-2	-3.430830E-3	5.516890E-2
-4.000000E-1	7.498680E-2	-2.202770E-3	-3.939710E-3	5.419240E-2
-3.000000E-1	1.422250E-1	3.561550E-2	-6.529930E-4	5.604560E-2
-2.000000E-1	1.459640E-1	1.918330E-1	7.192430E-2	8.369210E-2
-1.000000E-1	8.440500E-2	1.446440E-1	3.609130E-1	2.334610E-1
0.000000E+0	3.346310E-2	6.830720E-2	3.315070E-1	4.283130E-1
1.000000E-1	2.637860E-2	5.112320E-2	1.814070E-1	5.927050E-1
2.000000E-1	2.072360E-2	4.144780E-2	1.095570E-1	6.414980E-1
3.000000E-1	2.346390E-2	3.474580E-2	7.461900E-2	5.775770E-1
4.000000E-1	2.586600E-2	2.929290E-2	5.504050E-2	4.853550E-1
5.000000E-1	2.245980E-2	1.965480E-2	4.347430E-2	4.069360E-1
6.000000E-1	2.280790E-2	1.024460E-2	3.539100E-2	3.450410E-1
7.000000E-1	8.006840E-3	2.619650E-4	3.031100E-2	2.989340E-1
8.000000E-1	2.356800E-2	-8.267530E-3	2.625560E-2	2.637380E-1
9.000000E-1	2.411220E-2	-1.041910E-2	2.311520E-2	2.350640E-1
1.000000E+0	2.097880E-2	-1.520590E-2	2.117730E-2	2.139660E-1
1.100000E+0	9.553810E-3	-1.461760E-2	1.912650E-2	1.959110E-1
1.200000E+0	1.250960E-2	-1.529200E-2	1.760310E-2	1.819120E-1
1.300000E+0	1.556250E-2	-1.547460E-2	1.654450E-2	1.703420E-1
1.400000E+0	1.784760E-2	-8.179040E-3	1.541580E-2	1.604460E-1
1.500000E+0	1.656470E-3	-4.678510E-3	1.480390E-2	1.522840E-1
1.600000E+0	1.500680E-2	2.275030E-3	1.370210E-2	1.446820E-1
1.700000E+0	2.644420E-2	9.269950E-3	1.327170E-2	1.389470E-1
1.800000E+0	2.239520E-2	1.290020E-2	1.259790E-2	1.335610E-1
1.900000E+0	4.021320E-2	2.144800E-2	1.228420E-2	1.284650E-1
2.000000E+0	2.844050E-2	2.561850E-2	1.215230E-2	1.244550E-1
2.100000E+0	2.106530E-2	3.185590E-2	1.169780E-2	1.210240E-1
2.200000E+0	1.630070E-2	3.341970E-2	1.170890E-2	1.172430E-1
2.300000E+0	1.323210E-2	3.151560E-2	1.111170E-2	1.145130E-1
2.400000E+0	2.117490E-2	2.757470E-2	1.108730E-2	1.120650E-1
2.500000E+0	1.467630E-2	1.900200E-2	1.070760E-2	1.094110E-1
2.600000E+0	8.405760E-3	4.875430E-3	1.054110E-2	1.071450E-1
2.700000E+0	2.988830E-2	-1.020390E-2	1.057910E-2	1.055520E-1
2.800000E+0	1.790590E-2	-2.401490E-2	1.053230E-2	1.032250E-1
2.900000E+0	2.112890E-2	-3.364680E-2	1.036740E-2	1.012040E-1
3.000000E+0	3.260130E-2	-3.644750E-2	1.023880E-2	1.004430E-1
