VIN,VSS,VDD,IDD,ISS,VREF,VOUT,@TIME
2.0,0.0,3.3,7.565e-11,-6.76384e-07,0.5,1.995166,0.0
2.0,0.0,3.3,7.427e-11,-6.75187e-07,0.5,1.995802,1.0
2.0,0.0,3.3,7.475e-11,-6.74293e-07,0.5,1.995802,2.0
2.0,0.0,3.3,7.48e-11,-6.73612e-07,0.5,1.995806,3.0
2.0,0.0,3.3,7.382e-11,-6.72994e-07,0.5,1.995812,4.0
2.0,0.0,3.3,7.487e-11,-6.72511e-07,0.5,1.995814,5.0
2.0,0.0,3.3,7.405e-11,-6.71875e-07,0.5,1.995818,6.0
2.0,0.0,3.3,7.479e-11,-6.71491e-07,0.5,1.99582,7.0
2.0,0.0,3.3,7.455e-11,-6.71082e-07,0.5,1.995826,8.0
2.0,0.0,3.3,7.498e-11,-6.70652e-07,0.5,1.995828,9.0
2.0,0.0,3.3,7.579e-11,-6.70275e-07,0.5,1.99583,10.0
2.0,0.0,3.3,7.425e-11,-6.69833e-07,0.5,1.995832,11.0
2.0,0.0,3.3,7.471e-11,-6.69511e-07,0.5,1.995836,12.0
2.0,0.0,3.3,7.439e-11,-6.69169e-07,0.5,1.995834,13.0
2.0,0.0,3.3,7.447e-11,-6.68761e-07,0.5,1.995836,14.0
2.0,0.0,3.3,7.446e-11,-6.68456e-07,0.5,1.995842,15.0
2.0,0.0,3.3,7.346e-11,-6.68047e-07,0.5,1.995844,16.0
2.0,0.0,3.3,7.442e-11,-6.67768e-07,0.5,1.995848,17.0
2.0,0.0,3.3,7.463e-11,-6.67354e-07,0.5,1.995848,18.0
2.0,0.0,3.3,7.473e-11,-6.67107e-07,0.5,1.995852,19.0
2.0,0.0,3.3,7.469e-11,-6.66841e-07,0.5,1.99585,20.0
2.0,0.0,3.3,7.391e-11,-6.66528e-07,0.5,1.995856,21.0
2.0,0.0,3.3,7.432e-11,-6.66147e-07,0.5,1.995856,22.0
2.0,0.0,3.3,7.514e-11,-6.65876e-07,0.5,1.99586,23.0
2.0,0.0,3.3,7.549e-11,-6.65641e-07,0.5,1.995864,24.0
2.0,0.0,3.3,7.403e-11,-6.65405e-07,0.5,1.995862,25.0
2.0,0.0,3.3,7.5e-11,-6.65124e-07,0.5,1.995868,26.0
2.0,0.0,3.3,7.448e-11,-6.64847e-07,0.5,1.995866,27.0
2.0,0.0,3.3,7.391e-11,-6.64629e-07,0.5,1.995864,28.0
2.0,0.0,3.3,7.456e-11,-6.64428e-07,0.5,1.995866,29.0
2.0,0.0,3.3,7.551e-11,-6.6419e-07,0.5,1.995876,30.0
2.0,0.0,3.3,7.607e-11,-6.63858e-07,0.5,1.995876,31.0
2.0,0.0,3.3,7.556e-11,-6.63583e-07,0.5,1.99588,32.0
2.0,0.0,3.3,7.594e-11,-6.63369e-07,0.5,1.995878,33.0
2.0,0.0,3.3,7.602e-11,-6.63109e-07,0.5,1.995882,34.0
2.0,0.0,3.3,7.509e-11,-6.62927e-07,0.5,1.99588,35.0
2.0,0.0,3.3,7.642e-11,-6.62667e-07,0.5,1.995884,36.0
2.0,0.0,3.3,7.581e-11,-6.62473e-07,0.5,1.995886,37.0
2.0,0.0,3.3,7.604e-11,-6.62206e-07,0.5,1.99589,38.0
2.0,0.0,3.3,7.661e-11,-6.61974e-07,0.5,1.995892,39.0
2.0,0.0,3.3,7.683e-11,-6.61781e-07,0.5,1.995892,40.0
2.0,0.0,3.3,7.524e-11,-6.61543e-07,0.5,1.995888,41.0
2.0,0.0,3.3,7.684e-11,-6.61269e-07,0.5,1.995896,42.0
2.0,0.0,3.3,7.73e-11,-6.61159e-07,0.5,1.995894,43.0
2.0,0.0,3.3,7.748e-11,-6.60972e-07,0.5,1.995898,44.0
2.0,0.0,3.3,7.625e-11,-6.60693e-07,0.5,1.9959,45.0
2.0,0.0,3.3,7.703e-11,-6.60516e-07,0.5,1.995902,46.0
2.0,0.0,3.3,7.67e-11,-6.60329e-07,0.5,1.995904,47.0
2.0,0.0,3.3,7.744e-11,-6.60089e-07,0.5,1.995906,48.0
2.0,0.0,3.3,7.629e-11,-6.59807e-07,0.5,1.995906,49.0
2.0,0.0,3.3,7.562e-11,-6.59636e-07,0.5,1.995904,50.0
2.0,0.0,3.3,7.62e-11,-6.59429e-07,0.5,1.995912,51.0
2.0,0.0,3.3,7.637e-11,-6.59195e-07,0.5,1.995914,52.0
2.0,0.0,3.3,7.486e-11,-6.59006e-07,0.5,1.995912,53.0
2.0,0.0,3.3,7.395e-11,-6.58817e-07,0.5,1.995918,54.0
2.0,0.0,3.3,7.642e-11,-6.58558e-07,0.5,1.99592,55.0
2.0,0.0,3.3,7.551e-11,-6.58361e-07,0.5,1.995916,56.0
2.0,0.0,3.3,7.644e-11,-6.58197e-07,0.5,1.995918,57.0
2.0,0.0,3.3,7.714e-11,-6.57966e-07,0.5,1.995918,58.0
2.0,0.0,3.3,7.698e-11,-6.57807e-07,0.5,1.99592,59.0
2.0,0.0,3.3,7.736e-11,-6.57582e-07,0.5,1.995928,60.0
2.0,0.0,3.3,7.754e-11,-6.57384e-07,0.5,1.99593,61.0
2.0,0.0,3.3,7.762e-11,-6.57174e-07,0.5,1.995928,62.0
2.0,0.0,3.3,7.801e-11,-6.56979e-07,0.5,1.995928,63.0
2.0,0.0,3.3,7.832e-11,-6.56858e-07,0.5,1.995932,64.0
2.0,0.0,3.3,7.76e-11,-6.56594e-07,0.5,1.995932,65.0
2.0,0.0,3.3,7.749e-11,-6.56363e-07,0.5,1.995932,66.0
2.0,0.0,3.3,7.689e-11,-6.56262e-07,0.5,1.995938,67.0
2.0,0.0,3.3,7.757e-11,-6.5604e-07,0.5,1.995938,68.0
2.0,0.0,3.3,7.844e-11,-6.5582e-07,0.5,1.995934,69.0
2.0,0.0,3.3,7.893e-11,-6.55697e-07,0.5,1.995938,70.0
2.0,0.0,3.3,7.9e-11,-6.55476e-07,0.5,1.995938,71.0
2.0,0.0,3.3,7.902e-11,-6.55259e-07,0.5,1.99594,72.0
2.0,0.0,3.3,7.84e-11,-6.55092e-07,0.5,1.995944,73.0
2.0,0.0,3.3,7.987e-11,-6.54852e-07,0.5,1.995942,74.0
2.0,0.0,3.3,7.903e-11,-6.54708e-07,0.5,1.995946,75.0
2.0,0.0,3.3,7.927e-11,-6.54517e-07,0.5,1.995946,76.0
2.0,0.0,3.3,7.937e-11,-6.54363e-07,0.5,1.995944,77.0
2.0,0.0,3.3,7.836e-11,-6.54204e-07,0.5,1.995942,78.0
2.0,0.0,3.3,7.996e-11,-6.54006e-07,0.5,1.995946,79.0
2.0,0.0,3.3,8.009e-11,-6.53886e-07,0.5,1.99595,80.0
2.0,0.0,3.3,7.877e-11,-6.5368e-07,0.5,1.99595,81.0
2.0,0.0,3.3,7.958e-11,-6.53541e-07,0.5,1.995952,82.0
2.0,0.0,3.3,8.055e-11,-6.53384e-07,0.5,1.99596,83.0
2.0,0.0,3.3,7.998e-11,-6.53132e-07,0.5,1.995956,84.0
2.0,0.0,3.3,7.975e-11,-6.53036e-07,0.5,1.995956,85.0
