VIN,VSS,VDD,IDD,ISS,VREF,VOUT,IREF
0.0,0.0,3.3,4.82973e-09,-4.86054e-09,0.0,0.048646,2e-13
0.05,0.0,3.3,6.43e-09,-6.44467e-09,0.0,0.079328,-1e-13
0.1,0.0,3.3,7.16216e-09,-7.17079e-09,0.0,0.122742,1e-13
0.15,0.0,3.3,7.38564e-09,-7.39692e-09,0.0,0.178624,4e-14
0.2,0.0,3.3,7.45907e-09,-7.47534e-09,0.0,0.22841,2e-14
0.25,0.0,3.3,7.49208e-09,-7.50857e-09,0.0,0.278338,5e-14
0.3,0.0,3.3,7.51334e-09,-7.52913e-09,0.0,0.328486,1.9e-13
0.35,0.0,3.3,7.52972e-09,-7.54381e-09,0.0,0.377796,1.3e-13
0.4,0.0,3.3,7.54302e-09,-7.56006e-09,0.0,0.42798,7e-14
0.45,0.0,3.3,7.55319e-09,-7.56872e-09,0.0,0.47801,5e-14
0.5,0.0,3.3,7.56856e-09,-7.5783e-09,0.0,0.527448,1.6e-13
0.55,0.0,3.3,7.57588e-09,-7.586e-09,0.0,0.57753,8e-14
0.6,0.0,3.3,7.57611e-09,-7.59522e-09,0.0,0.627814,1e-14
0.65,0.0,3.3,7.58837e-09,-7.60335e-09,0.0,0.677164,1e-13
0.7,0.0,3.3,7.59393e-09,-7.60534e-09,0.0,0.727402,1.7e-13
0.75,0.0,3.3,7.59882e-09,-7.61228e-09,0.0,0.777558,1.4e-13
0.8,0.0,3.3,7.60041e-09,-7.61644e-09,0.0,0.827742,8e-14
0.85,0.0,3.3,7.60434e-09,-7.61939e-09,0.0,0.877146,1e-13
0.9,0.0,3.3,7.60654e-09,-7.62604e-09,0.0,0.927348,1e-13
0.95,0.0,3.3,7.61557e-09,-7.63156e-09,0.0,0.977588,-2e-14
1.0,0.0,3.3,7.62154e-09,-7.63899e-09,0.0,1.026902,-5e-14
1.05,0.0,3.3,7.62559e-09,-7.64181e-09,0.0,1.077164,-5e-14
1.1,0.0,3.3,7.63023e-09,-7.64342e-09,0.0,1.12732,-3e-14
1.15,0.0,3.3,7.6298e-09,-7.64382e-09,0.0,1.176768,-6e-14
1.2,0.0,3.3,7.6386e-09,-7.64965e-09,0.0,1.226852,-4e-14
1.25,0.0,3.3,7.64285e-09,-7.65169e-09,0.0,1.277092,-1.1e-13
1.3,0.0,3.3,7.64513e-09,-7.65958e-09,0.0,1.327202,-6e-14
1.35,0.0,3.3,7.64381e-09,-7.66057e-09,0.0,1.376764,-5e-14
1.4,0.0,3.3,7.6488e-09,-7.66265e-09,0.0,1.426918,-2e-14
1.45,0.0,3.3,7.65518e-09,-7.66834e-09,0.0,1.47711,-4e-14
1.5,0.0,3.3,7.65871e-09,-7.67615e-09,0.0,1.526494,-1.1e-13
1.55,0.0,3.3,7.66328e-09,-7.67798e-09,0.0,1.5768,-8e-14
