VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,9.705e-10,-8.9327e-10,0.5,9.91e+307,1.317558,0.0
2.0,0.0,3.3,8.6546e-10,-8.7999e-10,0.5,9.91e+307,1.526416,1.0
2.0,0.0,3.3,8.6336e-10,-8.7772e-10,0.5,9.91e+307,1.52635,2.0
2.0,0.0,3.3,8.5905e-10,-8.7316e-10,0.5,9.91e+307,1.526536,3.0
2.0,0.0,3.3,8.5639e-10,-8.7293e-10,0.5,9.91e+307,1.52652,4.0
2.0,0.0,3.3,8.5863e-10,-8.7303e-10,0.5,9.91e+307,1.526454,5.0
2.0,0.0,3.3,8.535e-10,-8.7001e-10,0.5,9.91e+307,1.526468,6.0
2.0,0.0,3.3,8.5845e-10,-8.6951e-10,0.5,9.91e+307,1.52636,7.0
2.0,0.0,3.3,8.575e-10,-8.6934e-10,0.5,9.91e+307,1.526328,8.0
2.0,0.0,3.3,8.5325e-10,-8.701e-10,0.5,9.91e+307,1.526412,9.0
2.0,0.0,3.3,8.5235e-10,-8.6949e-10,0.5,9.91e+307,1.526524,10.0
2.0,0.0,3.3,8.5392e-10,-8.67e-10,0.5,9.91e+307,1.526388,11.0
2.0,0.0,3.3,8.5376e-10,-8.6799e-10,0.5,9.91e+307,1.526418,12.0
2.0,0.0,3.3,8.4941e-10,-8.6818e-10,0.5,9.91e+307,1.526454,13.0
2.0,0.0,3.3,8.5164e-10,-8.6802e-10,0.5,9.91e+307,1.526406,14.0
2.0,0.0,3.3,8.5177e-10,-8.6806e-10,0.5,9.91e+307,1.526376,15.0
2.0,0.0,3.3,8.5108e-10,-8.67e-10,0.5,9.91e+307,1.526632,16.0
2.0,0.0,3.3,8.5061e-10,-8.6996e-10,0.5,9.91e+307,1.52648,17.0
2.0,0.0,3.3,8.5313e-10,-8.7005e-10,0.5,9.91e+307,1.526382,18.0
2.0,0.0,3.3,8.5144e-10,-8.6745e-10,0.5,9.91e+307,1.526394,19.0
2.0,0.0,3.3,8.5396e-10,-8.6859e-10,0.5,9.91e+307,1.526392,20.0
2.0,0.0,3.3,8.5246e-10,-8.6813e-10,0.5,9.91e+307,1.52631,21.0
2.0,0.0,3.3,8.5379e-10,-8.6769e-10,0.5,9.91e+307,1.526266,22.0
2.0,0.0,3.3,8.5376e-10,-8.6667e-10,0.5,9.91e+307,1.526284,23.0
2.0,0.0,3.3,8.5209e-10,-8.6587e-10,0.5,9.91e+307,1.526316,24.0
2.0,0.0,3.3,8.521e-10,-8.6755e-10,0.5,9.91e+307,1.526284,25.0
2.0,0.0,3.3,8.51e-10,-8.6678e-10,0.5,9.91e+307,1.526364,26.0
2.0,0.0,3.3,8.5393e-10,-8.692e-10,0.5,9.91e+307,1.526268,27.0
2.0,0.0,3.3,8.5358e-10,-8.6734e-10,0.5,9.91e+307,1.526192,28.0
2.0,0.0,3.3,8.5329e-10,-8.7533e-10,0.5,9.91e+307,1.526272,29.0
2.0,0.0,3.3,8.5127e-10,-8.67e-10,0.5,9.91e+307,1.526302,30.0
2.0,0.0,3.3,8.4941e-10,-8.6724e-10,0.5,9.91e+307,1.526336,31.0
2.0,0.0,3.3,8.5149e-10,-8.6825e-10,0.5,9.91e+307,1.526126,32.0
2.0,0.0,3.3,8.5348e-10,-8.6624e-10,0.5,9.91e+307,1.526134,33.0
2.0,0.0,3.3,8.5249e-10,-8.6698e-10,0.5,9.91e+307,1.52622,34.0
2.0,0.0,3.3,8.5117e-10,-8.6744e-10,0.5,9.91e+307,1.526214,35.0
2.0,0.0,3.3,8.5087e-10,-8.6459e-10,0.5,9.91e+307,1.52624,36.0
2.0,0.0,3.3,8.5169e-10,-8.6496e-10,0.5,9.91e+307,1.526184,37.0
2.0,0.0,3.3,8.4894e-10,-8.6512e-10,0.5,9.91e+307,1.526396,38.0
2.0,0.0,3.3,8.4409e-10,-8.6493e-10,0.5,9.91e+307,1.526502,39.0
2.0,0.0,3.3,8.4731e-10,-8.6468e-10,0.5,9.91e+307,1.526314,40.0
