VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT
0.0,0.0,3.3,5.7e-13,3e-14,0.0,2.5e-13,0.043272
0.05,0.0,3.3,1.65e-12,4e-14,0.0,7e-14,0.054676
0.1,0.0,3.3,5.8e-13,6e-14,0.0,1.1e-13,0.059462
0.15,0.0,3.3,-1.58e-12,6e-14,0.0,-2e-13,0.064036
0.2,0.0,3.3,1.2e-13,7e-14,0.0,-2.4e-13,0.068596
0.25,0.0,3.3,8.5e-13,6e-14,0.0,1.6e-13,0.07335
0.3,0.0,3.3,5e-14,6e-14,0.0,1.8e-13,0.078154
0.35,0.0,3.3,4.1e-13,6e-14,0.0,-1.2e-13,0.083176
0.4,0.0,3.3,6.53e-12,2e-14,0.0,-1.2e-13,0.088358
0.45,0.0,3.3,2.678e-11,5e-14,0.0,1.3e-13,0.095542
0.5,0.0,3.3,7.263e-11,8e-14,0.0,2.4e-13,0.10949
0.55,0.0,3.3,1.3219e-10,5e-14,0.0,-1.2e-13,0.137034
0.6,0.0,3.3,1.6482e-10,9e-14,0.0,2e-14,0.177334
0.65,0.0,3.3,1.7425e-10,6e-14,0.0,1.4e-13,0.224136
0.7,0.0,3.3,1.7695e-10,4e-14,0.0,-9e-14,0.27304
0.75,0.0,3.3,1.8014e-10,5e-14,0.0,-6e-14,0.322674
0.8,0.0,3.3,1.7835e-10,5e-14,0.0,6e-14,0.372776
0.85,0.0,3.3,1.7839e-10,8e-14,0.0,1.2e-13,0.422464
0.9,0.0,3.3,1.7702e-10,9e-14,0.0,-6e-14,0.472134
0.95,0.0,3.3,1.7937e-10,5e-14,0.0,-1.3e-13,0.52205
1.0,0.0,3.3,1.7724e-10,6e-14,0.0,9e-14,0.571854
1.05,0.0,3.3,1.7787e-10,3e-14,0.0,1e-14,0.621636
1.1,0.0,3.3,1.7811e-10,1.1e-13,0.0,-1.8e-13,0.671692
1.15,0.0,3.3,1.7715e-10,1.1e-13,0.0,-1e-14,0.72137
1.2,0.0,3.3,1.7829e-10,8e-14,0.0,2.4e-13,0.770884
1.25,0.0,3.3,1.7689e-10,5e-14,0.0,-1.8e-13,0.820908
1.3,0.0,3.3,1.7778e-10,9e-14,0.0,-2e-13,0.87117
1.35,0.0,3.3,1.7498e-10,6e-14,0.0,1.8e-13,0.92133
1.4,0.0,3.3,1.7422e-10,8e-14,0.0,5e-14,0.971352
1.45,0.0,3.3,1.7623e-10,9e-14,0.0,-1e-13,1.020866
1.5,0.0,3.3,1.7543e-10,7e-14,0.0,0.0,1.070652
1.55,0.0,3.3,1.822e-10,7e-14,0.0,1.4e-13,1.12034
1.6,0.0,3.3,1.7664e-10,5e-14,0.0,8e-14,1.170382
1.65,0.0,3.3,1.7549e-10,4e-14,0.0,-1e-14,1.220174
1.7,0.0,3.3,1.7619e-10,7e-14,0.0,8e-14,1.269866
1.75,0.0,3.3,1.7657e-10,4e-14,0.0,-3e-14,1.319754
1.8,0.0,3.3,1.7922e-10,1e-13,0.0,1e-14,1.369702
1.85,0.0,3.3,1.748e-10,6e-14,0.0,7e-14,1.41996
1.9,0.0,3.3,1.7581e-10,7e-14,0.0,7e-14,1.469626
1.95,0.0,3.3,1.8068e-10,8e-14,0.0,-2e-14,1.519694
2.0,0.0,3.3,1.7329e-10,7e-14,0.0,0.0,1.569532
2.05,0.0,3.3,1.7438e-10,7e-14,0.0,1.5e-13,1.61957
2.1,0.0,3.3,1.7542e-10,6e-14,0.0,1.1e-13,1.66918
2.15,0.0,3.3,1.7394e-10,6e-14,0.0,-2.9e-13,1.718912
2.2,0.0,3.3,1.75e-10,7e-14,0.0,2e-14,1.768922
2.25,0.0,3.3,1.7616e-10,9e-14,0.0,3.4e-13,1.818688
2.3,0.0,3.3,1.7556e-10,6e-14,0.0,3e-14,1.86865
2.35,0.0,3.3,1.7356e-10,7e-14,0.0,-2.5e-13,1.918854
2.4,0.0,3.3,1.7613e-10,6e-14,0.0,1.6e-13,1.968056
2.45,0.0,3.3,1.7587e-10,7e-14,0.0,1.4e-13,2.017896
2.5,0.0,3.3,1.7563e-10,6e-14,0.0,-2.4e-13,2.067628
2.55,0.0,3.3,1.7857e-10,8e-14,0.0,5e-14,2.117306
