VIN,VOUT,VREF
-1,0.108266347,0
-0.914,0.108277711,0
-0.828,0.108310924,0
-0.742,0.10840748,0
-0.656,0.108682884,0
-0.57,0.109450076,0
-0.484,0.111511426,0
-0.398,0.116699193,0
-0.312,0.128294721,0
-0.226,0.150004317,0
-0.14,0.183462495,0
-0.054,0.22744526,0
0.032,0.279508395,0
0.118,0.337443399,0
0.204,0.399638142,0
0.29,0.464979353,0
0.376,0.532700676,0
0.462,0.602267014,0
0.548,0.673297654,0
0.634,0.745516842,0
0.72,0.818721978,0
0.806,0.892762867,0
0.892,0.96752788,0
0.978,1.042934479,0
1.064,1.118922484,0
1.15,1.195449053,0
1.236,1.272484702,0
1.322,1.350009928,0
1.408,1.428012178,0
1.494,1.50648308,0
1.58,1.58541593,0
1.666,1.664803552,0
1.752,1.744636655,0
1.838,1.824902784,0
1.924,1.9055859,0
2.01,1.986666521,0
2.096,2.068122291,0
2.182,2.149928802,0
2.268,2.232060503,0
2.354,2.314491559,0
2.44,2.39719658,0
2.526,2.480151186,0
2.612,2.563332389,0
2.698,2.64671883,0
2.784,2.730290889,0
2.87,2.814030691,0
2.956,2.897922048,0
3.042,2.981950305,0
3.128,3.066101924,0
3.214,3.150361613,0
3.3,3.234623766,0
-1,7.12E-05,0.5
-0.914,7.12E-05,0.5
-0.828,7.12E-05,0.5
-0.742,7.12E-05,0.5
-0.656,7.13E-05,0.5
-0.57,7.14E-05,0.5
-0.484,7.17E-05,0.5
-0.398,7.26E-05,0.5
-0.312,7.50E-05,0.5
-0.226,8.07E-05,0.5
-0.14,9.32E-05,0.5
-0.054,0.000116876,0.5
0.032,0.000164103,0.5
0.118,0.000706272,0.5
0.204,0.004994246,0.5
0.29,0.017098965,0.5
0.376,0.040705628,0.5
0.462,0.076338633,0.5
0.548,0.122489968,0.5
0.634,0.178669481,0.5
0.72,0.245074111,0.5
0.806,0.320394714,0.5
0.892,0.401188529,0.5
0.978,0.484583839,0.5
1.064,0.569143567,0.5
1.15,0.654243385,0.5
1.236,0.739609975,0.5
1.322,0.825117298,0.5
1.408,0.910703405,0.5
1.494,0.9963359,0.5
1.58,1.081996862,0.5
1.666,1.167675873,0.5
1.752,1.25336659,0.5
1.838,1.339064979,0.5
1.924,1.424768353,0.5
2.01,1.51047482,0.5
2.096,1.596182951,0.5
2.182,1.681891562,0.5
2.268,1.767599552,0.5
2.354,1.853305756,0.5
2.44,1.939008792,0.5
2.526,2.024706852,0.5
2.612,2.110397387,0.5
2.698,2.196076602,0.5
2.784,2.28173857,0.5
2.87,2.367373611,0.5
2.956,2.452965175,0.5
3.042,2.538483498,0.5
3.128,2.623871864,0.5
3.214,2.709014711,0.5
3.3,2.793657978,0.5
-1,0.000627597,0.25
-0.914,0.000627608,0.25
-0.828,0.000627658,0.25
-0.742,0.0006278,0.25
-0.656,0.000628198,0.25
-0.57,0.000629299,0.25
-0.484,0.000632293,0.25
-0.398,0.000640265,0.25
-0.312,0.000660828,0.25
-0.226,0.000710937,0.25
-0.14,0.000820799,0.25
-0.054,0.001027504,0.25
0.032,0.001436177,0.25
0.118,0.005410647,0.25
0.204,0.027947695,0.25
0.29,0.069732347,0.25
0.376,0.13492961,0.25
0.462,0.216360536,0.25
0.548,0.301298955,0.25
0.634,0.386871398,0.25
0.72,0.472596447,0.25
0.806,0.558372835,0.25
0.892,0.644169716,0.25
0.978,0.729975933,0.25
1.064,0.815786845,0.25
1.15,0.9016003,0.25
1.236,0.987415211,0.25
1.322,1.073230993,0.25
1.408,1.15904731,0.25
1.494,1.24486396,0.25
1.58,1.330680817,0.25
1.666,1.416497795,0.25
1.752,1.502314836,0.25
1.838,1.588131896,0.25
1.924,1.673948938,0.25
2.01,1.759765929,0.25
2.096,1.845582834,0.25
2.182,1.931399611,0.25
2.268,2.017216207,0.25
2.354,2.103032547,0.25
2.44,2.18884852,0.25
2.526,2.274663954,0.25
2.612,2.360478566,0.25
2.698,2.446291872,0.25
2.784,2.532102999,0.25
2.87,2.617910262,0.25
2.956,2.703710162,0.25
3.042,2.789494673,0.25
3.128,2.875242891,0.25
3.214,2.960889943,0.25
3.3,3.046176522,0.25
-1,1.87E-05,0.75
-0.914,1.87E-05,0.75
-0.828,1.87E-05,0.75
-0.742,1.87E-05,0.75
-0.656,1.87E-05,0.75
-0.57,1.88E-05,0.75
-0.484,1.89E-05,0.75
-0.398,1.91E-05,0.75
-0.312,1.97E-05,0.75
-0.226,2.12E-05,0.75
-0.14,2.45E-05,0.75
-0.054,3.08E-05,0.75
0.032,4.32E-05,0.75
0.118,0.000188697,0.75
0.204,0.001406775,0.75
0.29,0.005346298,0.75
0.376,0.014857449,0.75
0.462,0.032767394,0.75
0.548,0.060019117,0.75
0.634,0.095629458,0.75
0.72,0.138060735,0.75
0.806,0.186218798,0.75
0.892,0.239740881,0.75
0.978,0.298858805,0.75
1.064,0.363934604,0.75
1.15,0.434829356,0.75
1.236,0.510616382,0.75
1.322,0.589942171,0.75
1.408,0.671569374,0.75
1.494,0.754615714,0.75
1.58,0.838525359,0.75
1.666,0.922965002,0.75
1.752,1.007736413,0.75
1.838,1.092720162,0.75
1.924,1.177842593,0.75
2.01,1.263056941,0.75
2.096,1.348332493,0.75
2.182,1.433648251,0.75
2.268,1.518989095,0.75
2.354,1.604343353,0.75
2.44,1.68970114,0.75
2.526,1.775053065,0.75
2.612,1.860389053,0.75
2.698,1.945696996,0.75
2.784,2.030960979,0.75
2.87,2.116158599,0.75
2.956,2.201256652,0.75
3.042,2.286203791,0.75
3.128,2.37091757,0.75
3.214,2.455260791,0.75
3.3,2.538997354,0.75
-1,9.42E-06,1
-0.914,9.42E-06,1
-0.828,9.42E-06,1
-0.742,9.42E-06,1
-0.656,9.43E-06,1
-0.57,9.44E-06,1
-0.484,9.49E-06,1
-0.398,9.61E-06,1
-0.312,9.92E-06,1
-0.226,1.07E-05,1
-0.14,1.23E-05,1
-0.054,1.55E-05,1
0.032,2.17E-05,1
0.118,9.52E-05,1
0.204,0.000716679,1
0.29,0.002790568,1
0.376,0.008122953,1
0.462,0.019106019,1
0.548,0.037423481,1
0.634,0.0631402,1
0.72,0.095182977,1
0.806,0.132258453,1
0.892,0.17334847,1
0.978,0.217832798,1
1.064,0.265467788,1
1.15,0.316324528,1
1.236,0.370703968,1
1.322,0.429014677,1
1.408,0.491603976,1
1.494,0.558575311,1
1.58,0.629678121,1
1.666,0.704345486,1
1.752,0.781852968,1
1.838,0.861489628,1
1.924,0.942659954,1
2.01,1.024910781,1
2.096,1.107915372,1
