VG,ID,VD
-2,1.94E-12,1.00E-01
-1.9,1.94E-12,1.00E-01
-1.8,1.94E-12,1.00E-01
-1.7,1.94E-12,1.00E-01
-1.6,1.94E-12,1.00E-01
-1.5,1.94E-12,1.00E-01
-1.4,1.94E-12,1.00E-01
-1.3,1.94E-12,1.00E-01
-1.2,1.94E-12,1.00E-01
-1.1,1.94E-12,1.00E-01
-1,1.94E-12,1.00E-01
-0.9,1.94E-12,1.00E-01
-0.8,1.95E-12,1.00E-01
-0.7,1.97E-12,1.00E-01
-0.6,2.06E-12,1.00E-01
-0.5,2.32E-12,1.00E-01
-0.4,3.15E-12,1.00E-01
-0.3,5.65E-12,1.00E-01
-0.2,1.26E-11,1.00E-01
-0.1,2.88E-11,1.00E-01
0,6.17E-11,1.00E-01
0.1,3.05E-10,1.00E-01
0.2,3.96E-09,1.00E-01
0.3,1.51E-08,1.00E-01
0.4,3.99E-08,1.00E-01
0.5,8.87E-08,1.00E-01
0.6,1.69E-07,1.00E-01
0.7,2.79E-07,1.00E-01
0.8,4.06E-07,1.00E-01
0.9,5.41E-07,1.00E-01
1,6.79E-07,1.00E-01
1.1,8.21E-07,1.00E-01
1.2,9.66E-07,1.00E-01
1.3,1.12E-06,1.00E-01
1.4,1.27E-06,1.00E-01
1.5,1.43E-06,1.00E-01
1.6,1.59E-06,1.00E-01
1.7,1.76E-06,1.00E-01
1.8,1.93E-06,1.00E-01
1.9,2.11E-06,1.00E-01
2,2.29E-06,1.00E-01
2.1,2.47E-06,1.00E-01
2.2,2.65E-06,1.00E-01
2.3,2.84E-06,1.00E-01
2.4,3.02E-06,1.00E-01
2.5,3.21E-06,1.00E-01
2.6,3.40E-06,1.00E-01
2.7,3.59E-06,1.00E-01
2.8,3.78E-06,1.00E-01
2.9,3.96E-06,1.00E-01
3,4.15E-06,1.00E-01
-2,1.74E-11,9.00E-01
-1.9,1.74E-11,9.00E-01
-1.8,1.74E-11,9.00E-01
-1.7,1.74E-11,9.00E-01
-1.6,1.74E-11,9.00E-01
-1.5,1.74E-11,9.00E-01
-1.4,1.74E-11,9.00E-01
