VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2,0,3.3,3.24E-09,-3.21E-09,0.5,9.91E+307,0.000272,0
2,0,3.3,3.14E-09,-3.15E-09,0.5,9.91E+307,2.113954,1
2,0,3.3,3.10E-09,-3.12E-09,0.5,9.91E+307,2.114538,2
2,0,3.3,3.08E-09,-3.09E-09,0.5,9.91E+307,2.11484,3
2,0,3.3,3.06E-09,-3.07E-09,0.5,9.91E+307,2.11516,4
2,0,3.3,3.05E-09,-3.07E-09,0.5,9.91E+307,2.11545,5
2,0,3.3,3.04E-09,-3.06E-09,0.5,9.91E+307,2.115676,6
2,0,3.3,3.03E-09,-3.05E-09,0.5,9.91E+307,2.115856,7
2,0,3.3,3.02E-09,-3.03E-09,0.5,9.91E+307,2.116064,8
2,0,3.3,3.01E-09,-3.03E-09,0.5,9.91E+307,2.116204,9
2,0,3.3,3.00E-09,-3.01E-09,0.5,9.91E+307,2.116404,10
2,0,3.3,2.99E-09,-3.01E-09,0.5,9.91E+307,2.11663,11
2,0,3.3,2.99E-09,-3.00E-09,0.5,9.91E+307,2.116684,12
2,0,3.3,2.98E-09,-2.99E-09,0.5,9.91E+307,2.116854,13
2,0,3.3,2.97E-09,-2.99E-09,0.5,9.91E+307,2.11701,14
2,0,3.3,2.96E-09,-2.98E-09,0.5,9.91E+307,2.117154,15
2,0,3.3,2.96E-09,-2.97E-09,0.5,9.91E+307,2.117284,16
2,0,3.3,2.95E-09,-2.96E-09,0.5,9.91E+307,2.117482,17
2,0,3.3,2.94E-09,-2.96E-09,0.5,9.91E+307,2.117558,18
2,0,3.3,2.94E-09,-2.95E-09,0.5,9.91E+307,2.11759,19
2,0,3.3,2.93E-09,-2.95E-09,0.5,9.91E+307,2.117686,20
2,0,3.3,2.93E-09,-2.94E-09,0.5,9.91E+307,2.117784,21
2,0,3.3,2.93E-09,-2.94E-09,0.5,9.91E+307,2.11776,22
2,0,3.3,2.92E-09,-2.94E-09,0.5,9.91E+307,2.117922,23
2,0,3.3,2.92E-09,-2.93E-09,0.5,9.91E+307,2.11797,24
2,0,3.3,2.91E-09,-2.93E-09,0.5,9.91E+307,2.118102,25
2,0,3.3,2.91E-09,-2.93E-09,0.5,9.91E+307,2.118152,26
2,0,3.3,2.91E-09,-2.92E-09,0.5,9.91E+307,2.11818,27
2,0,3.3,2.90E-09,-2.92E-09,0.5,9.91E+307,2.11831,28
