VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT
0.0,0.0,3.3,1.4444e-10,-5e-14,0.0,-4e-14,0.20642
0.05,0.0,3.3,1.4353e-10,4e-14,0.0,-4e-14,0.285746
0.1,0.0,3.3,1.7971e-10,1e-14,0.0,-1e-14,0.325676
0.15,0.0,3.3,1.8526e-10,-8e-14,0.0,-5e-14,0.373902
0.2,0.0,3.3,1.9375e-10,-8e-14,0.0,-3e-14,0.422132
0.25,0.0,3.3,1.9089e-10,0.0,0.0,-1.2e-13,0.473208
0.3,0.0,3.3,1.961e-10,-7e-14,0.0,-1.5e-13,0.522364
0.35,0.0,3.3,1.9207e-10,4e-14,0.0,-4e-14,0.572262
0.4,0.0,3.3,1.9124e-10,-3e-14,0.0,1e-14,0.623062
0.45,0.0,3.3,1.9494e-10,0.0,0.0,-1e-13,0.672196
0.5,0.0,3.3,1.9376e-10,3e-14,0.0,-3e-14,0.722304
0.55,0.0,3.3,1.9248e-10,0.0,0.0,-8e-14,0.77229
0.6,0.0,3.3,1.9431e-10,4e-14,0.0,4e-14,0.82233
0.65,0.0,3.3,1.8734e-10,-8e-14,0.0,1e-14,0.873416
0.7,0.0,3.3,1.9118e-10,-1e-14,0.0,0.0,0.922846
0.75,0.0,3.3,1.8954e-10,-6e-14,0.0,-9e-14,0.9734
0.8,0.0,3.3,1.9451e-10,4e-14,0.0,-9e-14,1.022392
0.85,0.0,3.3,1.9324e-10,9e-14,0.0,-1e-14,1.072376
0.9,0.0,3.3,1.9113e-10,-1.3e-13,0.0,-9e-14,1.123074
0.95,0.0,3.3,1.9566e-10,7e-14,0.0,3e-14,1.172184
1.0,0.0,3.3,1.9206e-10,3e-14,0.0,-7e-14,1.222248
1.05,0.0,3.3,1.9425e-10,4e-14,0.0,0.0,1.272218
1.1,0.0,3.3,1.9461e-10,-4e-14,0.0,-2e-14,1.32234
1.15,0.0,3.3,1.8773e-10,-1e-14,0.0,-4e-14,1.37329
1.2,0.0,3.3,1.9253e-10,-2e-14,0.0,-3e-14,1.422184
1.25,0.0,3.3,1.9415e-10,7e-14,0.0,-4e-14,1.472296
1.3,0.0,3.3,1.8944e-10,3e-14,0.0,0.0,1.523486
1.35,0.0,3.3,1.9238e-10,-1e-13,0.0,-2e-14,1.572414
1.4,0.0,3.3,1.9297e-10,4e-14,0.0,-1e-14,1.622326
1.45,0.0,3.3,1.9023e-10,-2e-14,0.0,-8e-14,1.673162
1.5,0.0,3.3,1.913e-10,8e-14,0.0,2e-14,1.722612
1.55,0.0,3.3,1.8944e-10,-7e-14,0.0,-2e-14,1.773316
1.6,0.0,3.3,1.9262e-10,0.0,0.0,5e-14,1.82251
1.65,0.0,3.3,1.9026e-10,-9e-14,0.0,-5e-14,1.87255
1.7,0.0,3.3,1.866e-10,3e-14,0.0,-4e-14,1.923448
1.75,0.0,3.3,1.9276e-10,-3e-14,0.0,-8e-14,1.972652
1.8,0.0,3.3,1.9212e-10,1.1e-13,0.0,7e-14,2.022814
1.85,0.0,3.3,1.8555e-10,-6e-14,0.0,-2e-14,2.073762
1.9,0.0,3.3,1.9171e-10,3e-14,0.0,2e-14,2.122542
1.95,0.0,3.3,1.9322e-10,-9e-14,0.0,-1.4e-13,2.172588
2.0,0.0,3.3,1.8756e-10,8e-14,0.0,-8e-14,2.22326
2.05,0.0,3.3,1.9133e-10,-1e-14,0.0,-1e-13,2.27242
2.1,0.0,3.3,1.927e-10,-9e-14,0.0,-1e-14,2.32236
2.15,0.0,3.3,1.876e-10,8e-14,0.0,0.0,2.37326
2.2,0.0,3.3,1.9384e-10,0.0,0.0,-1.2e-13,2.42208
2.25,0.0,3.3,1.9396e-10,8e-14,0.0,-2e-14,2.47222
2.3,0.0,3.3,1.928e-10,-4e-14,0.0,-6e-14,2.52242
2.35,0.0,3.3,1.9153e-10,-3e-14,0.0,0.0,2.57236
2.4,0.0,3.3,1.8964e-10,3e-14,0.0,-8e-14,2.62316
2.45,0.0,3.3,1.9454e-10,2e-14,0.0,-4e-14,2.67212
2.5,0.0,3.3,1.9094e-10,0.0,0.0,-9e-14,2.72208
2.55,0.0,3.3,1.9042e-10,1e-13,0.0,3e-14,2.7729
2.6,0.0,3.3,1.9393e-10,5e-14,0.0,-5e-14,2.82198
2.65,0.0,3.3,1.9145e-10,5e-14,0.0,-8e-14,2.8721
2.7,0.0,3.3,1.9264e-10,7e-14,0.0,8e-14,2.92188
2.75,0.0,3.3,1.9297e-10,9e-14,0.0,-5e-14,2.97188
2.8,0.0,3.3,1.8963e-10,-4e-14,0.0,-6e-14,3.02314
2.85,0.0,3.3,1.9009e-10,1e-14,0.0,-5e-14,3.07224
2.9,0.0,3.3,1.9224e-10,4e-14,0.0,-7e-14,3.122
2.95,0.0,3.3,1.8577e-10,5e-14,0.0,-4e-14,3.1731
3.0,0.0,3.3,1.789e-10,1.1e-13,0.0,-3e-14,3.2212
0.0,0.0,3.3,4e-14,-1.3439e-10,0.25,-6e-14,3.2499
0.05,0.0,3.3,-5.1e-13,-1.0847e-10,0.25,-5e-14,3.20886
0.1,0.0,3.3,-2.8e-13,-9.84e-11,0.25,-1e-14,3.18436
0.15,0.0,3.3,-1.1e-13,-9.231e-11,0.25,-4e-14,3.16206
0.2,0.0,3.3,-9e-14,-8.74e-11,0.25,4e-14,3.14144
0.25,0.0,3.3,4e-14,-8.341e-11,0.25,1e-14,3.12224
0.3,0.0,3.3,-1.8e-13,-8.015e-11,0.25,3e-14,3.10392
0.35,0.0,3.3,5.9e-13,-7.733e-11,0.25,1e-14,3.08654
0.4,0.0,3.3,1.7e-13,-7.518e-11,0.25,6e-14,3.06972
0.45,0.0,3.3,6.5e-13,-7.31e-11,0.25,7e-14,3.05352
0.5,0.0,3.3,3.6e-13,-7.137e-11,0.25,-4e-14,3.03792
0.55,0.0,3.3,-1.3e-13,-6.945e-11,0.25,1.1e-13,3.02272
0.6,0.0,3.3,4.9e-13,-6.844e-11,0.25,-8e-14,3.0078
0.65,0.0,3.3,4.6e-13,-6.697e-11,0.25,-5e-14,2.99298
0.7,0.0,3.3,1.6e-13,-6.562e-11,0.25,-7e-14,2.97836
0.75,0.0,3.3,4.2e-13,-6.418e-11,0.25,-1e-14,2.9642
0.8,0.0,3.3,-4.1e-13,-6.31e-11,0.25,-4e-14,2.95046
0.85,0.0,3.3,-1e-13,-6.228e-11,0.25,-1e-14,2.93688
0.9,0.0,3.3,5.1e-13,-6.103e-11,0.25,6e-14,2.92352
0.95,0.0,3.3,5.3e-13,-6.031e-11,0.25,0.0,2.91056
1.0,0.0,3.3,3.6e-13,-5.937e-11,0.25,6e-14,2.89816
1.05,0.0,3.3,1.2e-13,-5.863e-11,0.25,-1e-14,2.88606
1.1,0.0,3.3,4.2e-13,-5.752e-11,0.25,3.1e-13,2.87388
1.15,0.0,3.3,2.7e-13,-5.762e-11,0.25,-2.9e-13,2.86202
1.2,0.0,3.3,1.49e-12,-5.672e-11,0.25,0.0,2.8504
1.25,0.0,3.3,-2.54e-12,-5.597e-11,0.25,-1e-14,2.83906
