VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
0.0,0.0,3.3,7.572e-11,-6e-14,0.0,-2e-14,0.175864,0.0
0.05,0.0,3.3,1.0389e-10,8e-14,0.0,-9e-14,0.252892,0.0
0.1,0.0,3.3,1.2389e-10,1e-14,0.0,-3e-14,0.292894,0.0
0.15,0.0,3.3,1.2273e-10,-6e-14,0.0,-1.5e-13,0.341162,0.0
0.2,0.0,3.3,1.2424e-10,5e-14,0.0,-1.1e-13,0.39102,0.0
0.25,0.0,3.3,1.2383e-10,3e-14,0.0,4e-14,0.441318,0.0
0.3,0.0,3.3,1.2301e-10,0.0,0.0,-4e-14,0.491606,0.0
0.35,0.0,3.3,1.2599e-10,1.3e-13,0.0,3e-14,0.540728,0.0
0.4,0.0,3.3,1.2716e-10,5e-14,0.0,-1e-14,0.5902,0.0
0.45,0.0,3.3,1.2298e-10,3e-14,0.0,-8e-14,0.641198,0.0
0.5,0.0,3.3,1.251e-10,6e-14,0.0,-6e-14,0.690722,0.0
0.55,0.0,3.3,1.2615e-10,1e-14,0.0,-1.4e-13,0.740724,0.0
0.6,0.0,3.3,1.2521e-10,1e-14,0.0,-7e-14,0.791316,0.0
0.65,0.0,3.3,1.2654e-10,4e-14,0.0,-1.2e-13,0.840192,0.0
0.7,0.0,3.3,1.2643e-10,2e-14,0.0,-6e-14,0.890708,0.0
0.75,0.0,3.3,1.2497e-10,3e-14,0.0,-1e-13,0.941314,0.0
0.8,0.0,3.3,1.2726e-10,1e-14,0.0,-3e-14,0.990384,0.0
0.85,0.0,3.3,1.2135e-10,4e-14,0.0,2e-14,1.04123,0.0
0.9,0.0,3.3,1.207e-10,3e-14,0.0,-4e-14,1.091746,0.0
0.95,0.0,3.3,1.2077e-10,4e-14,0.0,-8e-14,1.142214,0.0
1.0,0.0,3.3,1.2462e-10,3e-14,0.0,-6e-14,1.191254,0.0
1.05,0.0,3.3,1.2573e-10,7e-14,0.0,-2e-14,1.240598,0.0
1.1,0.0,3.3,1.2104e-10,5e-14,0.0,-6e-14,1.291528,0.0
1.15,0.0,3.3,1.2363e-10,-1e-14,0.0,-4e-14,1.341152,0.0
1.2,0.0,3.3,1.1912e-10,4e-14,0.0,-6e-14,1.391558,0.0
1.25,0.0,3.3,1.2277e-10,1e-14,0.0,1e-14,1.441848,0.0
1.3,0.0,3.3,1.2365e-10,3e-14,0.0,1e-14,1.491934,0.0
1.35,0.0,3.3,1.2412e-10,1e-14,0.0,4e-14,1.541148,0.0
