VDD,IDD,ISS,VREF,IREF,VOUT
3.3,1.5082e-10,-3.586e-11,0.0,-4.1e-13,0.096516
3.3,2.0849e-10,-3.576e-11,0.0,-9e-14,0.155388
3.3,2.7822e-10,-3.584e-11,0.0,-2.7e-13,0.190796
3.3,2.9353e-10,-3.562e-11,0.0,-5.9e-13,0.237252
3.3,3.0085e-10,-3.593e-11,0.0,-4.6e-13,0.285966
3.3,3.012e-10,-3.664e-11,0.0,1.7e-13,0.336014
3.3,2.988e-10,-3.704e-11,0.0,-2e-13,0.386578
3.3,2.9528e-10,-3.644e-11,0.0,-6.5e-13,0.436746
3.3,2.945e-10,-3.638e-11,0.0,-5.4e-13,0.486984
3.3,2.962e-10,-3.605e-11,0.0,-5.2e-13,0.53676
3.3,2.9389e-10,-3.617e-11,0.0,-2.9e-13,0.58746
3.3,2.9241e-10,-3.69e-11,0.0,-1e-13,0.637152
3.3,2.9481e-10,-3.713e-11,0.0,2e-14,0.68699
3.3,2.9667e-10,-3.717e-11,0.0,-3.8e-13,0.736832
3.3,2.9671e-10,-3.669e-11,0.0,-1.1e-13,0.787064
3.3,2.9502e-10,-3.681e-11,0.0,-1e-14,0.837518
3.3,2.9303e-10,-3.688e-11,0.0,-2e-13,0.887362
3.3,2.9298e-10,-3.754e-11,0.0,-3.2e-13,0.937436
3.3,2.9525e-10,-3.742e-11,0.0,1e-14,0.987206
3.3,2.932e-10,-3.714e-11,0.0,-2.6e-13,1.0379
3.3,2.9083e-10,-3.733e-11,0.0,-3.6e-13,1.087684
3.3,2.9264e-10,-3.713e-11,0.0,-2.9e-13,1.137478
3.3,2.94e-10,-3.726e-11,0.0,-2e-13,1.187388
3.3,2.9441e-10,-3.76e-11,0.0,-3.7e-13,1.237514
3.3,2.901e-10,-3.746e-11,0.0,-2.8e-13,1.287836
3.3,2.9445e-10,-3.734e-11,0.0,-2.1e-13,1.33722
3.3,2.9315e-10,-3.752e-11,0.0,-7e-14,1.387604
3.3,2.9501e-10,-3.757e-11,0.0,8e-14,1.437488
3.3,2.9249e-10,-3.778e-11,0.0,-1.7e-13,1.487398
3.3,2.9391e-10,-3.726e-11,0.0,-2.6e-13,1.53732
3.3,2.9512e-10,-3.803e-11,0.0,-5.6e-13,1.587194
3.3,2.9389e-10,-3.782e-11,0.0,2.1e-13,1.637816
3.3,2.9583e-10,-3.832e-11,0.0,2e-13,1.687548
3.3,2.929e-10,-3.793e-11,0.0,-1.6e-13,1.73771
3.3,2.9592e-10,-3.771e-11,0.0,-6.7e-13,1.78718
3.3,2.9651e-10,-3.751e-11,0.0,-4.4e-13,1.837198
3.3,2.9568e-10,-3.812e-11,0.0,-2.3e-13,1.887562
3.3,2.9469e-10,-3.83e-11,0.0,2.7e-13,1.937344
3.3,2.9535e-10,-3.823e-11,0.0,-4e-14,1.987386
3.3,2.9639e-10,-3.805e-11,0.0,-5.3e-13,2.037246
3.3,2.9561e-10,-3.824e-11,0.0,-4.6e-13,2.087378
3.3,2.9287e-10,-3.787e-11,0.0,-1.5e-13,2.137572
3.3,2.9741e-10,-3.826e-11,0.0,-1.4e-13,2.187002
3.3,2.9735e-10,-3.854e-11,0.0,-1.4e-13,2.23716
3.3,2.97e-10,-3.824e-11,0.0,-1.6e-13,2.28746
3.3,2.9519e-10,-3.815e-11,0.0,-2.6e-13,2.33726
3.3,2.9737e-10,-3.854e-11,0.0,-3.9e-13,2.38702
3.3,2.9853e-10,-3.828e-11,0.0,-3.2e-13,2.4369
3.3,2.9905e-10,-3.827e-11,0.0,-8e-14,2.48706
3.3,2.976e-10,-3.853e-11,0.0,-3.8e-13,2.53746
3.3,2.9469e-10,-3.856e-11,0.0,-3e-13,2.58742
3.3,2.9688e-10,-3.858e-11,0.0,-1.2e-13,2.63712
3.3,2.9645e-10,-3.867e-11,0.0,-3.1e-13,2.68734
3.3,2.9756e-10,-3.881e-11,0.0,-2.7e-13,2.73742
3.3,2.9506e-10,-3.891e-11,0.0,-2.2e-13,2.78738
3.3,2.961e-10,-3.857e-11,0.0,-1.3e-13,2.8373
3.3,2.975e-10,-3.901e-11,0.0,-2.5e-13,2.8872
3.3,2.9611e-10,-3.906e-11,0.0,-4.6e-13,2.93772
3.3,2.9521e-10,-3.898e-11,0.0,-2.9e-13,2.98732
3.3,2.9502e-10,-3.873e-11,0.0,-2.9e-13,3.03748
3.3,2.9673e-10,-3.91e-11,0.0,-1.1e-13,3.08724
3.3,5.6e-13,-8.73917e-09,0.2,7.3e-12,2.98818
3.3,5.39921e-09,-5.41438e-09,0.2,0.0,0.044378
3.3,7.20731e-09,-7.22283e-09,0.2,1.4e-13,0.079258
3.3,8.07956e-09,-8.09481e-09,0.2,-7e-14,0.127952
3.3,8.34001e-09,-8.3559e-09,0.2,3.9e-13,0.176282
3.3,8.38796e-09,-8.40528e-09,0.2,0.0,0.22591
3.3,8.38837e-09,-8.40646e-09,0.2,-3.6e-13,0.276008
3.3,8.383e-09,-8.40019e-09,0.2,-6.1e-13,0.325308
3.3,8.37903e-09,-8.39333e-09,0.2,-2e-13,0.375432
3.3,8.37185e-09,-8.38481e-09,0.2,-3.2e-13,0.42553
3.3,8.36374e-09,-8.37768e-09,0.2,1.1e-13,0.475704
3.3,8.35536e-09,-8.37255e-09,0.2,3.6e-13,0.52507
3.3,8.34885e-09,-8.36255e-09,0.2,1e-13,0.57523
3.3,8.3449e-09,-8.36164e-09,0.2,1e-13,0.625318
3.3,8.34099e-09,-8.35624e-09,0.2,-4.7e-13,0.675522
3.3,8.33976e-09,-8.3521e-09,0.2,-4.5e-13,0.725632
3.3,8.3299e-09,-8.34456e-09,0.2,-1e-13,0.775056
3.3,8.32541e-09,-8.34299e-09,0.2,-3e-14,0.825154
3.3,8.32529e-09,-8.34018e-09,0.2,1.5e-13,0.87529
3.3,8.32354e-09,-8.33813e-09,0.2,-6e-14,0.925488
3.3,8.31748e-09,-8.32933e-09,0.2,-4.5e-13,0.97484
3.3,8.31528e-09,-8.33038e-09,0.2,-5.2e-13,1.024996
3.3,8.31231e-09,-8.32718e-09,0.2,-3.8e-13,1.075096
3.3,8.31081e-09,-8.32531e-09,0.2,-4.1e-13,1.125288
3.3,8.31084e-09,-8.32619e-09,0.2,7e-14,1.17465
3.3,8.30677e-09,-8.32327e-09,0.2,-6e-14,1.224734
3.3,8.30574e-09,-8.32157e-09,0.2,1.4e-13,1.274794
3.3,8.30583e-09,-8.31917e-09,0.2,2.1e-13,1.32468
3.3,8.29994e-09,-8.31616e-09,0.2,1e-14,1.374088
3.3,8.29587e-09,-8.31345e-09,0.2,-3.1e-13,1.423514
3.3,8.29838e-09,-8.31562e-09,0.2,9e-14,1.474056
3.3,8.29671e-09,-8.31223e-09,0.2,-3e-13,1.523126
3.3,8.2966e-09,-8.30992e-09,0.2,-1.8e-13,1.573894
3.3,8.297e-09,-8.30938e-09,0.2,-1.2e-13,1.622226
3.3,8.29415e-09,-8.30523e-09,0.2,-3.1e-13,1.67268
3.3,8.29234e-09,-8.30763e-09,0.2,1e-13,1.721744
3.3,8.29074e-09,-8.30581e-09,0.2,-2e-14,1.77176
3.3,8.29151e-09,-8.30593e-09,0.2,-2.2e-13,1.821294
3.3,8.28957e-09,-8.30359e-09,0.2,3e-14,1.871288
3.3,8.28576e-09,-8.30189e-09,0.2,-3.4e-13,1.921534
3.3,8.2891e-09,-8.30003e-09,0.2,1.1e-13,1.972126
3.3,8.29487e-09,-8.30255e-09,0.2,-1.8e-13,2.021718
3.3,8.28924e-09,-8.30231e-09,0.2,-1e-13,2.071496
3.3,8.29188e-09,-8.30227e-09,0.2,-1.6e-13,2.121916
3.3,8.29373e-09,-8.30436e-09,0.2,-2.3e-13,2.171778
3.3,8.29174e-09,-8.30615e-09,0.2,-3.3e-13,2.22192
3.3,8.28957e-09,-8.30575e-09,0.2,-8e-14,2.27158
3.3,8.29306e-09,-8.30635e-09,0.2,-5e-14,2.32132
3.3,8.29418e-09,-8.30546e-09,0.2,-7e-14,2.37196
3.3,8.28858e-09,-8.30617e-09,0.2,-5e-14,2.42168
3.3,8.29092e-09,-8.30655e-09,0.2,-1.4e-13,2.47084
3.3,8.29336e-09,-8.30788e-09,0.2,-2.5e-13,2.52102
3.3,8.2895e-09,-8.30473e-09,0.2,-1.3e-13,2.57162
3.3,8.28881e-09,-8.30421e-09,0.2,-1.3e-13,2.62164
3.3,8.29064e-09,-8.30497e-09,0.2,-1.5e-13,2.6706
3.3,8.29152e-09,-8.3058e-09,0.2,-2.7e-13,2.72
3.3,8.29259e-09,-8.30877e-09,0.2,1e-14,2.77028
3.3,8.29233e-09,-8.3121e-09,0.2,-4e-14,2.82124
3.3,8.29645e-09,-8.31313e-09,0.2,-6e-14,2.87032
3.3,8.29434e-09,-8.31076e-09,0.2,-2.6e-13,2.91956
3.3,8.29651e-09,-8.31199e-09,0.2,-6e-14,2.9701
3.3,4.48789e-09,-4.48813e-09,0.4,-3.1e-13,0.962678
3.3,1.065171e-08,-1.066414e-08,0.4,-2.5e-13,0.011986
3.3,2.03167e-08,-2.03223e-08,0.4,1e-13,0.023332
3.3,3.268e-08,-3.26883e-08,0.4,0.0,0.03927
3.3,4.70485e-08,-4.70612e-08,0.4,-6e-14,0.06043
3.3,6.18456e-08,-6.185e-08,0.4,-2e-13,0.08635
3.3,7.5745e-08,-7.5763e-08,0.4,-4.5e-13,0.117134
3.3,8.73414e-08,-8.73506e-08,0.4,-7e-14,0.15207
3.3,9.60671e-08,-9.60766e-08,0.4,-9e-14,0.192192
3.3,1.01464e-07,-1.014829e-07,0.4,-1e-13,0.2363
3.3,1.041e-07,-1.041139e-07,0.4,-1e-13,0.283422
3.3,1.05083e-07,-1.050982e-07,0.4,-8e-14,0.331684
3.3,1.05407e-07,-1.054162e-07,0.4,-9e-14,0.38146
3.3,1.05513e-07,-1.055166e-07,0.4,1.4e-13,0.431416
3.3,1.05558e-07,-1.055741e-07,0.4,-3.2e-13,0.481484
3.3,1.05595e-07,-1.056023e-07,0.4,-2.5e-13,0.531546
3.3,1.05599e-07,-1.056181e-07,0.4,-9e-14,0.5809
3.3,1.05599e-07,-1.05612e-07,0.4,1.4e-13,0.630932
3.3,1.05616e-07,-1.056254e-07,0.4,1e-13,0.681046
3.3,1.05629e-07,-1.056406e-07,0.4,-1.8e-13,0.731212
3.3,1.05629e-07,-1.056343e-07,0.4,-1.3e-13,0.7805
3.3,1.05614e-07,-1.056278e-07,0.4,-3e-14,0.830658
3.3,1.05621e-07,-1.056435e-07,0.4,9e-14,0.88072
3.3,1.05626e-07,-1.056301e-07,0.4,-1.2e-13,0.930904
3.3,1.05621e-07,-1.056278e-07,0.4,-8e-14,0.980186
3.3,1.056e-07,-1.056131e-07,0.4,-1e-13,1.030364
3.3,1.05597e-07,-1.056102e-07,0.4,-5e-13,1.08043
3.3,1.05597e-07,-1.056128e-07,0.4,-3.2e-13,1.13062
3.3,1.05592e-07,-1.056106e-07,0.4,-1.9e-13,1.17996
3.3,1.05602e-07,-1.056199e-07,0.4,3.9e-13,1.230122
