VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
0.0,0.0,3.3,1e-13,9.91e+307,0.0,9.91e+307,0.042866
0.05,0.0,3.3,-2e-14,9.91e+307,0.0,9.91e+307,0.050272
0.1,0.0,3.3,4e-14,9.91e+307,0.0,9.91e+307,0.055594
0.15,0.0,3.3,-3e-14,9.91e+307,0.0,9.91e+307,0.060676
0.2,0.0,3.3,0.0,9.91e+307,0.0,9.91e+307,0.065738
0.25,0.0,3.3,7e-14,9.91e+307,0.0,9.91e+307,0.070384
0.3,0.0,3.3,2e-14,9.91e+307,0.0,9.91e+307,0.07514
0.35,0.0,3.3,1e-14,9.91e+307,0.0,9.91e+307,0.079908
0.4,0.0,3.3,6e-14,9.91e+307,0.0,9.91e+307,0.084792
0.45,0.0,3.3,4e-14,9.91e+307,0.0,9.91e+307,0.089528
0.5,0.0,3.3,2.6e-13,9.91e+307,0.0,9.91e+307,0.094198
0.55,0.0,3.3,1.74e-12,9.91e+307,0.0,9.91e+307,0.099184
0.6,0.0,3.3,2.66e-12,9.91e+307,0.0,9.91e+307,0.105222
0.65,0.0,3.3,1.6766e-10,9.91e+307,0.0,9.91e+307,0.115024
0.7,0.0,3.3,3.92e-12,9.91e+307,0.0,9.91e+307,0.135092
0.75,0.0,3.3,5.6262e-10,9.91e+307,0.0,9.91e+307,0.166228
0.8,0.0,3.3,5.37e-12,9.91e+307,0.0,9.91e+307,0.245636
0.85,0.0,3.3,9.561e-11,9.91e+307,0.0,9.91e+307,0.307168
0.9,0.0,3.3,7.507e-11,9.91e+307,0.0,9.91e+307,0.390896
0.95,0.0,3.3,6.209e-11,9.91e+307,0.0,9.91e+307,0.428104
1.0,0.0,3.3,5.894e-11,9.91e+307,0.0,9.91e+307,0.457556
1.05,0.0,3.3,8.863e-11,9.91e+307,0.0,9.91e+307,0.516834
1.1,0.0,3.3,2.4758e-10,9.91e+307,0.0,9.91e+307,0.60087
1.15,0.0,3.3,5.772e-11,9.91e+307,0.0,9.91e+307,0.654736
1.2,0.0,3.3,5.252e-11,9.91e+307,0.0,9.91e+307,0.683658
1.25,0.0,3.3,8.669e-11,9.91e+307,0.0,9.91e+307,0.72518
1.3,0.0,3.3,1.3647e-10,9.91e+307,0.0,9.91e+307,0.768288
1.35,0.0,3.3,4.029e-11,9.91e+307,0.0,9.91e+307,0.810306
1.4,0.0,3.3,6.458e-11,9.91e+307,0.0,9.91e+307,0.857686
1.45,0.0,3.3,5.121e-11,9.91e+307,0.0,9.91e+307,0.9147
1.5,0.0,3.3,2.6742e-10,9.91e+307,0.0,9.91e+307,0.955438
1.55,0.0,3.3,1.5316e-10,9.91e+307,0.0,9.91e+307,1.01152
1.6,0.0,3.3,1.7648e-10,9.91e+307,0.0,9.91e+307,1.056546
1.65,0.0,3.3,2.6191e-10,9.91e+307,0.0,9.91e+307,1.108408
1.7,0.0,3.3,2.885e-11,9.91e+307,0.0,9.91e+307,1.18493
1.75,0.0,3.3,4.59e-11,9.91e+307,0.0,9.91e+307,1.217346
1.8,0.0,3.3,2.654e-11,9.91e+307,0.0,9.91e+307,1.26727
1.85,0.0,3.3,1.5605e-10,9.91e+307,0.0,9.91e+307,1.312026
1.9,0.0,3.3,9.872e-11,9.91e+307,0.0,9.91e+307,1.362974
1.95,0.0,3.3,1.8948e-10,9.91e+307,0.0,9.91e+307,1.405904
2.0,0.0,3.3,1.0235e-10,9.91e+307,0.0,9.91e+307,1.455792
2.05,0.0,3.3,1.0197e-10,9.91e+307,0.0,9.91e+307,1.506752
2.1,0.0,3.3,1.209e-10,9.91e+307,0.0,9.91e+307,1.560594
2.15,0.0,3.3,4.6e-11,9.91e+307,0.0,9.91e+307,1.618526
2.2,0.0,3.3,5.629e-11,9.91e+307,0.0,9.91e+307,1.660082
2.25,0.0,3.3,9.858e-11,9.91e+307,0.0,9.91e+307,1.700782
2.3,0.0,3.3,3.161e-11,9.91e+307,0.0,9.91e+307,1.765464
2.35,0.0,3.3,8.832e-11,9.91e+307,0.0,9.91e+307,1.831036
2.4,0.0,3.3,1.791e-11,9.91e+307,0.0,9.91e+307,1.861188
2.45,0.0,3.3,9.916e-11,9.91e+307,0.0,9.91e+307,1.886082
2.5,0.0,3.3,9.191e-11,9.91e+307,0.0,9.91e+307,1.96636
2.55,0.0,3.3,1.5928e-10,9.91e+307,0.0,9.91e+307,2.00912
2.6,0.0,3.3,1.9524e-10,9.91e+307,0.0,9.91e+307,2.05254
2.65,0.0,3.3,1.6273e-10,9.91e+307,0.0,9.91e+307,2.092694
2.7,0.0,3.3,1.0521e-10,9.91e+307,0.0,9.91e+307,2.137364
2.75,0.0,3.3,1.1226e-10,9.91e+307,0.0,9.91e+307,2.21194
2.8,0.0,3.3,9.551e-11,9.91e+307,0.0,9.91e+307,2.2497
2.85,0.0,3.3,1.1462e-10,9.91e+307,0.0,9.91e+307,2.29266
2.9,0.0,3.3,1.3555e-10,9.91e+307,0.0,9.91e+307,2.33124
2.95,0.0,3.3,2.578e-11,9.91e+307,0.0,9.91e+307,2.38546
3.0,0.0,3.3,2.7621e-10,9.91e+307,0.0,9.91e+307,2.42442
0.0,0.0,3.3,6e-14,9.91e+307,0.25,9.91e+307,2.4685
0.05,0.0,3.3,7e-14,9.91e+307,0.25,9.91e+307,2.47418
0.1,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.47978
0.15,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.4852
0.2,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.49034
0.25,0.0,3.3,5e-14,9.91e+307,0.25,9.91e+307,2.49588
0.3,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.5016
0.35,0.0,3.3,-7e-14,9.91e+307,0.25,9.91e+307,2.50714
0.4,0.0,3.3,-6e-14,9.91e+307,0.25,9.91e+307,2.51262
0.45,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.51812
0.5,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.52386
0.55,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.52952
0.6,0.0,3.3,3e-14,9.91e+307,0.25,9.91e+307,2.53522
0.65,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.54076
0.7,0.0,3.3,3e-14,9.91e+307,0.25,9.91e+307,2.5463
0.75,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.55174
0.8,0.0,3.3,4e-14,9.91e+307,0.25,9.91e+307,2.55732
0.85,0.0,3.3,3e-14,9.91e+307,0.25,9.91e+307,2.56336
0.9,0.0,3.3,4e-14,9.91e+307,0.25,9.91e+307,2.56954
0.95,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.57576
1.0,0.0,3.3,0.0,9.91e+307,0.25,9.91e+307,2.58194
1.05,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.58776
1.1,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.59314
1.15,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.59876
1.2,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.60436
1.25,0.0,3.3,4e-14,9.91e+307,0.25,9.91e+307,2.60998
1.3,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.61564
1.35,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.62124
1.4,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.6269
1.45,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.63252
1.5,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.63838
1.55,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.64418
1.6,0.0,3.3,4e-14,9.91e+307,0.25,9.91e+307,2.65002
1.65,0.0,3.3,0.0,9.91e+307,0.25,9.91e+307,2.65576
1.7,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.66156
1.75,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.66734
1.8,0.0,3.3,0.0,9.91e+307,0.25,9.91e+307,2.67306
1.85,0.0,3.3,0.0,9.91e+307,0.25,9.91e+307,2.67858
1.9,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.68408
1.95,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.68942
2.0,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.69464
2.05,0.0,3.3,3e-14,9.91e+307,0.25,9.91e+307,2.69976
2.1,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.70444
2.15,0.0,3.3,-6e-14,9.91e+307,0.25,9.91e+307,2.70924
2.2,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.71434
2.25,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.71962
2.3,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.72506
2.35,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.73002
2.4,0.0,3.3,4e-14,9.91e+307,0.25,9.91e+307,2.73484
2.45,0.0,3.3,-5e-14,9.91e+307,0.25,9.91e+307,2.74008
2.5,0.0,3.3,5e-14,9.91e+307,0.25,9.91e+307,2.74556
2.55,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.75082
2.6,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.75614
2.65,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.76156
2.7,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.76706
2.75,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.77196
2.8,0.0,3.3,-3e-14,9.91e+307,0.25,9.91e+307,2.77678
2.85,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.78152
2.9,0.0,3.3,0.0,9.91e+307,0.25,9.91e+307,2.78638
2.95,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.79146
3.0,0.0,3.3,2e-14,9.91e+307,0.25,9.91e+307,2.79644
0.0,0.0,3.3,3e-14,9.91e+307,0.5,9.91e+307,2.80188
0.05,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,2.80724
0.1,0.0,3.3,5e-14,9.91e+307,0.5,9.91e+307,2.81272
0.15,0.0,3.3,-3e-14,9.91e+307,0.5,9.91e+307,2.81852
0.2,0.0,3.3,-4e-14,9.91e+307,0.5,9.91e+307,2.82444
0.25,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.83038
0.3,0.0,3.3,-6e-14,9.91e+307,0.5,9.91e+307,2.83634
0.35,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.84218
0.4,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.84768
0.45,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.8531
0.5,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,2.85852
0.55,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.864
0.6,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.86954
0.65,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.87534
0.7,0.0,3.3,-2e-14,9.91e+307,0.5,9.91e+307,2.88142
0.75,0.0,3.3,-2e-14,9.91e+307,0.5,9.91e+307,2.88766
0.8,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.89372
0.85,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,2.89966
0.9,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.9054
0.95,0.0,3.3,-3e-14,9.91e+307,0.5,9.91e+307,2.91104
1.0,0.0,3.3,5e-14,9.91e+307,0.5,9.91e+307,2.91712
1.05,0.0,3.3,8e-14,9.91e+307,0.5,9.91e+307,2.92312
1.1,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,2.92904
1.15,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,2.93494
1.2,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,2.94082
1.25,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.94668
1.3,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,2.95234
1.35,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.95802
1.4,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.96372
1.45,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,2.96948
1.5,0.0,3.3,-2e-14,9.91e+307,0.5,9.91e+307,2.97548
1.55,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,2.98164
1.6,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.98786
1.65,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,2.99362
1.7,0.0,3.3,3e-14,9.91e+307,0.5,9.91e+307,2.99944
1.75,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.0054
1.8,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.01138
1.85,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,3.01728
1.9,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,3.0232
1.95,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,3.02928
2.0,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,3.03504
2.05,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,3.04058
2.1,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,3.0459
2.15,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,3.05142
2.2,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.05696
2.25,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.06282
2.3,0.0,3.3,-4e-14,9.91e+307,0.5,9.91e+307,3.06892
2.35,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.07494
2.4,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,3.08066
2.45,0.0,3.3,-3e-14,9.91e+307,0.5,9.91e+307,3.08652
2.5,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,3.09252
2.55,0.0,3.3,-2e-14,9.91e+307,0.5,9.91e+307,3.09848
2.6,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,3.10426
2.65,0.0,3.3,3e-14,9.91e+307,0.5,9.91e+307,3.11016
2.7,0.0,3.3,-1e-14,9.91e+307,0.5,9.91e+307,3.11596
2.75,0.0,3.3,2e-14,9.91e+307,0.5,9.91e+307,3.12186
2.8,0.0,3.3,1e-14,9.91e+307,0.5,9.91e+307,3.12774
2.85,0.0,3.3,8e-14,9.91e+307,0.5,9.91e+307,3.13368
2.9,0.0,3.3,4e-14,9.91e+307,0.5,9.91e+307,3.13952
2.95,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,3.14524
3.0,0.0,3.3,0.0,9.91e+307,0.5,9.91e+307,3.1511
0.0,0.0,3.3,6e-14,9.91e+307,0.75,9.91e+307,3.15736
0.05,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.16334
0.1,0.0,3.3,5e-14,9.91e+307,0.75,9.91e+307,3.16936
0.15,0.0,3.3,3e-14,9.91e+307,0.75,9.91e+307,3.17542
0.2,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.18116
0.25,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.18678
0.3,0.0,3.3,-3e-14,9.91e+307,0.75,9.91e+307,3.1924
0.35,0.0,3.3,5e-14,9.91e+307,0.75,9.91e+307,3.19816
0.4,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.2043
0.45,0.0,3.3,0.0,9.91e+307,0.75,9.91e+307,3.2104
0.5,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.21666
0.55,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.2227
0.6,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.22884
0.65,0.0,3.3,-2e-14,9.91e+307,0.75,9.91e+307,3.23482
0.7,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.24102
0.75,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.24726
0.8,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.25318
0.85,0.0,3.3,3e-14,9.91e+307,0.75,9.91e+307,3.25892
0.9,0.0,3.3,1e-14,9.91e+307,0.75,9.91e+307,3.26476
0.95,0.0,3.3,-3e-14,9.91e+307,0.75,9.91e+307,3.27052
1.0,0.0,3.3,6e-14,9.91e+307,0.75,9.91e+307,3.27616
1.05,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.28162
1.1,0.0,3.3,3e-14,9.91e+307,0.75,9.91e+307,3.28732
1.15,0.0,3.3,-4e-14,9.91e+307,0.75,9.91e+307,3.293
1.2,0.0,3.3,0.0,9.91e+307,0.75,9.91e+307,3.29878
1.25,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.30458
1.3,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.31058
1.35,0.0,3.3,1e-14,9.91e+307,0.75,9.91e+307,3.31658
1.4,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.32246
1.45,0.0,3.3,1e-14,9.91e+307,0.75,9.91e+307,3.32816
1.5,0.0,3.3,5e-14,9.91e+307,0.75,9.91e+307,3.3339
1.55,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.33944
1.6,0.0,3.3,1e-14,9.91e+307,0.75,9.91e+307,3.34504
1.65,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.35064
1.7,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.35632
1.75,0.0,3.3,1e-14,9.91e+307,0.75,9.91e+307,3.36226
1.8,0.0,3.3,0.0,9.91e+307,0.75,9.91e+307,3.36806
1.85,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.37386
1.9,0.0,3.3,3e-14,9.91e+307,0.75,9.91e+307,3.3798
1.95,0.0,3.3,-4e-14,9.91e+307,0.75,9.91e+307,3.38604
2.0,0.0,3.3,2e-14,9.91e+307,0.75,9.91e+307,3.39258
2.05,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.39886
2.1,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.4049
2.15,0.0,3.3,6e-14,9.91e+307,0.75,9.91e+307,3.41086
2.2,0.0,3.3,4e-14,9.91e+307,0.75,9.91e+307,3.4167
2.25,0.0,3.3,3e-14,9.91e+307,0.75,9.91e+307,3.4224
2.3,0.0,3.3,6e-14,9.91e+307,0.75,9.91e+307,3.4281
2.35,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.43386
2.4,0.0,3.3,-1e-14,9.91e+307,0.75,9.91e+307,3.43946
