VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
0.0,0.0,3.3,2e-13,9.91e+307,0.0,9.91e+307,0.042668
0.05,0.0,3.3,5.4e-13,9.91e+307,0.0,9.91e+307,0.050082
0.1,0.0,3.3,5.2e-13,9.91e+307,0.0,9.91e+307,0.053648
0.15,0.0,3.3,1.11e-12,9.91e+307,0.0,9.91e+307,0.057396
0.2,0.0,3.3,3.47e-12,9.91e+307,0.0,9.91e+307,0.061282
0.25,0.0,3.3,1.533e-11,9.91e+307,0.0,9.91e+307,0.06598
0.3,0.0,3.3,4.729e-11,9.91e+307,0.0,9.91e+307,0.0748
0.35,0.0,3.3,2.537e-11,9.91e+307,0.0,9.91e+307,0.087616
0.4,0.0,3.3,1.793e-11,9.91e+307,0.0,9.91e+307,0.095884
0.45,0.0,3.3,2.682e-11,9.91e+307,0.0,9.91e+307,0.103002
0.5,0.0,3.3,2.6153e-10,9.91e+307,0.0,9.91e+307,0.113532
0.55,0.0,3.3,2.205e-11,9.91e+307,0.0,9.91e+307,0.132382
0.6,0.0,3.3,1.4125e-10,9.91e+307,0.0,9.91e+307,0.15694
0.65,0.0,3.3,2.7014e-10,9.91e+307,0.0,9.91e+307,0.308324
0.7,0.0,3.3,2.093e-11,9.91e+307,0.0,9.91e+307,0.385786
0.75,0.0,3.3,1.9964e-10,9.91e+307,0.0,9.91e+307,0.44087
0.8,0.0,3.3,1.7755e-10,9.91e+307,0.0,9.91e+307,0.479466
0.85,0.0,3.3,4.0091e-10,9.91e+307,0.0,9.91e+307,0.525336
0.9,0.0,3.3,2.036e-10,9.91e+307,0.0,9.91e+307,0.569498
0.95,0.0,3.3,3.1669e-10,9.91e+307,0.0,9.91e+307,0.620834
1.0,0.0,3.3,2.3642e-10,9.91e+307,0.0,9.91e+307,0.672654
1.05,0.0,3.3,2.0116e-10,9.91e+307,0.0,9.91e+307,0.73637
1.1,0.0,3.3,2.2013e-10,9.91e+307,0.0,9.91e+307,0.773732
1.15,0.0,3.3,8.257e-11,9.91e+307,0.0,9.91e+307,0.814668
1.2,0.0,3.3,1.5204e-10,9.91e+307,0.0,9.91e+307,0.872512
1.25,0.0,3.3,1.5675e-10,9.91e+307,0.0,9.91e+307,0.936058
1.3,0.0,3.3,1.703e-10,9.91e+307,0.0,9.91e+307,0.965216
1.35,0.0,3.3,3.19e-12,9.91e+307,0.0,9.91e+307,0.988144
1.4,0.0,3.3,1.8e-12,9.91e+307,0.0,9.91e+307,1.032154
1.45,0.0,3.3,1.6088e-10,9.91e+307,0.0,9.91e+307,1.146318
1.5,0.0,3.3,5.397e-11,9.91e+307,0.0,9.91e+307,1.200526
1.55,0.0,3.3,1.9958e-10,9.91e+307,0.0,9.91e+307,1.239554
1.6,0.0,3.3,1.196e-11,9.91e+307,0.0,9.91e+307,1.276362
1.65,0.0,3.3,5.423e-11,9.91e+307,0.0,9.91e+307,1.297058
1.7,0.0,3.3,1.0395e-10,9.91e+307,0.0,9.91e+307,1.3176
1.75,0.0,3.3,3.771e-11,9.91e+307,0.0,9.91e+307,1.436366
1.8,0.0,3.3,3.67e-12,9.91e+307,0.0,9.91e+307,1.462206
1.85,0.0,3.3,2.26e-11,9.91e+307,0.0,9.91e+307,1.46999
1.9,0.0,3.3,7.88e-12,9.91e+307,0.0,9.91e+307,1.495158
1.95,0.0,3.3,6.1887e-10,9.91e+307,0.0,9.91e+307,1.53821
2.0,0.0,3.3,4.818e-11,9.91e+307,0.0,9.91e+307,1.643908
2.05,0.0,3.3,1.9784e-10,9.91e+307,0.0,9.91e+307,1.715846
2.1,0.0,3.3,2.2619e-10,9.91e+307,0.0,9.91e+307,1.788394
2.15,0.0,3.3,1.2428e-10,9.91e+307,0.0,9.91e+307,1.83599
2.2,0.0,3.3,1.988e-10,9.91e+307,0.0,9.91e+307,1.880734
2.25,0.0,3.3,1.1484e-10,9.91e+307,0.0,9.91e+307,1.91272
2.3,0.0,3.3,6.164e-11,9.91e+307,0.0,9.91e+307,1.950186
2.35,0.0,3.3,1.7982e-10,9.91e+307,0.0,9.91e+307,1.98212
2.4,0.0,3.3,3.0563e-10,9.91e+307,0.0,9.91e+307,2.030966
2.45,0.0,3.3,2.5609e-10,9.91e+307,0.0,9.91e+307,2.088126
2.5,0.0,3.3,2.0205e-10,9.91e+307,0.0,9.91e+307,2.129474
2.55,0.0,3.3,3.3005e-10,9.91e+307,0.0,9.91e+307,2.185282
2.6,0.0,3.3,1.4558e-10,9.91e+307,0.0,9.91e+307,2.25694
2.65,0.0,3.3,1.8361e-10,9.91e+307,0.0,9.91e+307,2.30306
2.7,0.0,3.3,1.429e-10,9.91e+307,0.0,9.91e+307,2.34588
2.75,0.0,3.3,1.5472e-10,9.91e+307,0.0,9.91e+307,2.38316
2.8,0.0,3.3,1.2231e-10,9.91e+307,0.0,9.91e+307,2.4198
2.85,0.0,3.3,1.6968e-10,9.91e+307,0.0,9.91e+307,2.45514
2.9,0.0,3.3,2.3323e-10,9.91e+307,0.0,9.91e+307,2.4897
2.95,0.0,3.3,1.1512e-10,9.91e+307,0.0,9.91e+307,2.54712
3.0,0.0,3.3,1.3481e-10,9.91e+307,0.0,9.91e+307,2.6048
0.0,0.0,3.3,6.6e-13,9.91e+307,0.25,9.91e+307,2.66712
0.05,0.0,3.3,1.1e-13,9.91e+307,0.25,9.91e+307,2.65396
0.1,0.0,3.3,2e-13,9.91e+307,0.25,9.91e+307,2.64516
0.15,0.0,3.3,-2.8e-13,9.91e+307,0.25,9.91e+307,2.6366
0.2,0.0,3.3,1.1e-13,9.91e+307,0.25,9.91e+307,2.62806
0.25,0.0,3.3,-2e-13,9.91e+307,0.25,9.91e+307,2.61984
0.3,0.0,3.3,-4.1e-13,9.91e+307,0.25,9.91e+307,2.61158
0.35,0.0,3.3,-1.7e-13,9.91e+307,0.25,9.91e+307,2.60354
0.4,0.0,3.3,-2.7e-13,9.91e+307,0.25,9.91e+307,2.59546
0.45,0.0,3.3,-2e-13,9.91e+307,0.25,9.91e+307,2.58726
0.5,0.0,3.3,5.3e-13,9.91e+307,0.25,9.91e+307,2.57914
0.55,0.0,3.3,-1.1e-13,9.91e+307,0.25,9.91e+307,2.57098
0.6,0.0,3.3,6.1e-13,9.91e+307,0.25,9.91e+307,2.5628
0.65,0.0,3.3,2.8e-13,9.91e+307,0.25,9.91e+307,2.55468
0.7,0.0,3.3,3.8e-13,9.91e+307,0.25,9.91e+307,2.54696
0.75,0.0,3.3,-4e-14,9.91e+307,0.25,9.91e+307,2.53908
0.8,0.0,3.3,6e-14,9.91e+307,0.25,9.91e+307,2.53132
0.85,0.0,3.3,1.02e-12,9.91e+307,0.25,9.91e+307,2.52388
0.9,0.0,3.3,9.7e-13,9.91e+307,0.25,9.91e+307,2.51484
0.95,0.0,3.3,1.56e-12,9.91e+307,0.25,9.91e+307,2.50894
1.0,0.0,3.3,1.12e-12,9.91e+307,0.25,9.91e+307,2.50122
1.05,0.0,3.3,4.8e-13,9.91e+307,0.25,9.91e+307,2.49248
1.1,0.0,3.3,1.7e-13,9.91e+307,0.25,9.91e+307,2.48468
1.15,0.0,3.3,-1.2e-13,9.91e+307,0.25,9.91e+307,2.47564
1.2,0.0,3.3,-2e-14,9.91e+307,0.25,9.91e+307,2.46468
1.25,0.0,3.3,-2.2e-13,9.91e+307,0.25,9.91e+307,2.44806
1.3,0.0,3.3,1.5e-13,9.91e+307,0.25,9.91e+307,2.43772
1.35,0.0,3.3,2.1e-13,9.91e+307,0.25,9.91e+307,2.42764
1.4,0.0,3.3,-1.4e-13,9.91e+307,0.25,9.91e+307,2.4179
1.45,0.0,3.3,-1e-14,9.91e+307,0.25,9.91e+307,2.4092
1.5,0.0,3.3,-2.5e-13,9.91e+307,0.25,9.91e+307,2.40264
1.55,0.0,3.3,1.1e-13,9.91e+307,0.25,9.91e+307,2.3934
1.6,0.0,3.3,-1.7e-13,9.91e+307,0.25,9.91e+307,2.38336
1.65,0.0,3.3,8e-14,9.91e+307,0.25,9.91e+307,2.37548
1.7,0.0,3.3,1.1e-13,9.91e+307,0.25,9.91e+307,2.3657
1.75,0.0,3.3,2.1e-13,9.91e+307,0.25,9.91e+307,2.3554
1.8,0.0,3.3,2.8e-13,9.91e+307,0.25,9.91e+307,2.3451
1.85,0.0,3.3,1e-14,9.91e+307,0.25,9.91e+307,2.337
1.9,0.0,3.3,6e-14,9.91e+307,0.25,9.91e+307,2.32988
1.95,0.0,3.3,3.5e-13,9.91e+307,0.25,9.91e+307,2.32052
2.0,0.0,3.3,7e-14,9.91e+307,0.25,9.91e+307,2.31216
2.05,0.0,3.3,4.1e-13,9.91e+307,0.25,9.91e+307,2.30196
2.1,0.0,3.3,1.4e-13,9.91e+307,0.25,9.91e+307,2.28652
2.15,0.0,3.3,6.6e-13,9.91e+307,0.25,9.91e+307,2.2758
2.2,0.0,3.3,-2.6e-13,9.91e+307,0.25,9.91e+307,2.26528
2.25,0.0,3.3,6e-14,9.91e+307,0.25,9.91e+307,2.2561
2.3,0.0,3.3,1.4e-13,9.91e+307,0.25,9.91e+307,2.24596
2.35,0.0,3.3,1.24e-12,9.91e+307,0.25,9.91e+307,2.23802
2.4,0.0,3.3,7.8e-12,9.91e+307,0.25,9.91e+307,2.23214
2.45,0.0,3.3,4.541e-11,9.91e+307,0.25,9.91e+307,2.22774
2.5,0.0,3.3,1.1092e-10,9.91e+307,0.25,9.91e+307,2.23178
2.55,0.0,3.3,8.557e-11,9.91e+307,0.25,9.91e+307,2.24426
2.6,0.0,3.3,7.462e-11,9.91e+307,0.25,9.91e+307,2.25296
2.65,0.0,3.3,5.138e-11,9.91e+307,0.25,9.91e+307,2.25994
2.7,0.0,3.3,6.164e-11,9.91e+307,0.25,9.91e+307,2.2638
2.75,0.0,3.3,4.358e-11,9.91e+307,0.25,9.91e+307,2.26632
2.8,0.0,3.3,6.317e-11,9.91e+307,0.25,9.91e+307,2.26688
2.85,0.0,3.3,6.876e-11,9.91e+307,0.25,9.91e+307,2.27214
2.9,0.0,3.3,5.036e-11,9.91e+307,0.25,9.91e+307,2.2767
2.95,0.0,3.3,5.506e-11,9.91e+307,0.25,9.91e+307,2.28476
3.0,0.0,3.3,6.191e-11,9.91e+307,0.25,9.91e+307,2.28684
0.0,0.0,3.3,1.17e-12,9.91e+307,0.5,9.91e+307,1.752594
0.05,0.0,3.3,8e-14,9.91e+307,0.5,9.91e+307,0.000106
