V	1.000M	100.000k	10.000k	1.000k
-3.000000E+0	3.928680E-2	9.640270E-3	2.442610E-1	1.119610E-1
-2.900000E+0	4.073070E-2	1.071040E-2	1.324100E-1	8.082020E-2
-2.800000E+0	4.088980E-2	1.002300E-2	8.774880E-2	9.781000E-2
-2.700000E+0	4.141230E-2	1.144460E-2	2.533300E-2	7.594660E-2
-2.600000E+0	4.222300E-2	1.013000E-2	-1.000630E-1	6.884320E-2
-2.500000E+0	4.488570E-2	1.030720E-2	-1.222010E-1	1.247260E-1
-2.400000E+0	4.239290E-2	1.166410E-2	-2.088340E-1	5.114460E-3
-2.300000E+0	4.533960E-2	1.049960E-2	-1.730370E-1	2.013970E-1
-2.200000E+0	4.392160E-2	1.112370E-2	-1.496830E-1	4.697980E-2
-2.100000E+0	4.494410E-2	1.123740E-2	-1.296620E-1	2.533390E-1
-2.000000E+0	4.536940E-2	1.037340E-2	-5.858360E-2	4.572030E-3
-1.900000E+0	4.445980E-2	1.050410E-2	-3.499020E-2	2.540000E-1
-1.800000E+0	4.561950E-2	1.125640E-2	-1.394400E-3	1.785300E-1
-1.700000E+0	4.328770E-2	1.037040E-2	1.509830E-2	5.803630E-2
-1.600000E+0	4.489890E-2	1.141040E-2	8.229300E-2	6.822010E-2
-1.500000E+0	4.686940E-2	1.143570E-2	1.505400E-1	3.127620E-2
-1.400000E+0	4.727780E-2	8.432870E-3	1.292000E-1	1.965260E-1
-1.300000E+0	4.809090E-2	1.237860E-2	2.085400E-1	1.110610E-1
-1.200000E+0	4.856820E-2	1.060330E-2	1.983430E-1	1.229110E-1
-1.100000E+0	5.111340E-2	9.837070E-3	2.490290E-1	2.636890E-2
-1.000000E+0	5.170790E-2	9.309940E-3	1.785670E-1	9.145470E-2
-9.000000E-1	5.236330E-2	8.994700E-3	9.347950E-2	-4.315800E-2
-8.000000E-1	5.182780E-2	7.395980E-3	-8.286500E-2	1.815950E-1
-7.000000E-1	5.335850E-2	7.133920E-3	-2.016140E-1	1.612890E-1
-6.000000E-1	5.293620E-2	4.970520E-3	-2.901080E-1	9.126910E-2
-5.000000E-1	5.360420E-2	3.853760E-3	-3.374150E-1	1.443240E-1
-4.000000E-1	5.490290E-2	4.078460E-3	-3.347510E-1	-9.244270E-2
-3.000000E-1	6.309140E-2	1.244130E-2	-2.513430E-1	2.412710E-1
-2.000000E-1	1.432290E-1	1.330290E-1	2.913530E-3	7.195850E-2
-1.000000E-1	3.437520E-1	3.987040E-1	3.293810E-2	4.806230E-2
0.000000E+0	5.265750E-1	2.829200E-1	1.636940E-2	1.102840E-2
1.000000E-1	6.436830E-1	1.578610E-1	1.243700E-2	5.292770E-3
2.000000E-1	6.226940E-1	9.899880E-2	2.380350E-2	8.621050E-3
3.000000E-1	5.348550E-1	6.922880E-2	3.604730E-2	1.489850E-2
4.000000E-1	4.468630E-1	5.232370E-2	4.544420E-2	8.747160E-4
5.000000E-1	3.770060E-1	4.200200E-2	9.607990E-3	2.797470E-2
6.000000E-1	3.229160E-1	3.440910E-2	3.566230E-3	2.350730E-2
7.000000E-1	2.828130E-1	2.979190E-2	4.977700E-3	2.017410E-2
8.000000E-1	2.515570E-1	2.604440E-2	2.803510E-3	7.607130E-3
9.000000E-1	2.266950E-1	2.321110E-2	5.900740E-3	1.193990E-2
1.000000E+0	2.077260E-1	2.106840E-2	7.644740E-3	6.750890E-3
1.100000E+0	1.914890E-1	1.896420E-2	4.507030E-3	1.158180E-2
1.200000E+0	1.785810E-1	1.796460E-2	1.032750E-2	2.062050E-2
1.300000E+0	1.672160E-1	1.699660E-2	9.574040E-3	8.067440E-3
1.400000E+0	1.579630E-1	1.587150E-2	9.426060E-4	1.332220E-2
1.500000E+0	1.504830E-1	1.504880E-2	5.584350E-3	1.298880E-2
1.600000E+0	1.438570E-1	1.449520E-2	2.801390E-3	1.334320E-2
1.700000E+0	1.384310E-1	1.374780E-2	5.215660E-3	1.883450E-2
1.800000E+0	1.331000E-1	1.317310E-2	4.785370E-3	1.063710E-2
1.900000E+0	1.294940E-1	1.278270E-2	3.118630E-3	5.154010E-2
2.000000E+0	1.253870E-1	1.257790E-2	7.549750E-3	1.154150E-2
2.100000E+0	1.222040E-1	1.218730E-2	4.776910E-3	1.741420E-2
2.200000E+0	1.194280E-1	1.196990E-2	3.693310E-3	2.016040E-2
2.300000E+0	1.159430E-1	1.170250E-2	7.869620E-3	-1.926290E-2
2.400000E+0	1.135230E-1	1.117750E-2	6.301530E-3	9.221060E-3
2.500000E+0	1.111050E-1	1.109010E-2	9.554640E-3	2.723140E-2
2.600000E+0	1.091760E-1	1.085550E-2	7.576060E-3	1.327480E-3
2.700000E+0	1.069990E-1	1.089750E-2	3.781770E-3	2.768230E-2
2.800000E+0	1.049260E-1	1.078680E-2	5.437080E-3	1.981890E-2
2.900000E+0	1.037640E-1	1.074370E-2	7.580040E-3	7.141730E-3
3.000000E+0	1.026590E-1	1.040620E-2	6.127250E-3	1.388330E-3
