VDD,IDD,ISS,VREF,IREF,VIN,VOUT
3.3,2.23e-12,-2.022e-11,0.5,-4e-14,0.0,0.000418
3.3,-2.43e-12,-1.994e-11,0.5,-4e-14,0.05,0.0003
3.3,8.7e-13,-1.98e-11,0.5,0.0,0.1,0.000304
3.3,-3.4e-13,-1.985e-11,0.5,-4e-14,0.15,0.00032
3.3,6.5e-12,-2.309e-11,0.5,1e-14,0.2,0.000284
3.3,2.625e-11,-4.198e-11,0.5,-1e-14,0.25,0.000472
3.3,1.1681e-10,-1.3435e-10,0.5,0.0,0.3,0.001156
3.3,4.4895e-10,-4.6759e-10,0.5,0.0,0.35,0.003864
3.3,1.28027e-09,-1.2962e-09,0.5,-2e-14,0.4,0.013662
3.3,2.67104e-09,-2.67642e-09,0.5,-1e-14,0.45,0.026432
3.3,4.29908e-09,-4.32348e-09,0.5,2e-14,0.5,0.049728
3.3,5.79745e-09,-5.80536e-09,0.5,1e-14,0.55,0.080176
3.3,6.90023e-09,-6.90639e-09,0.5,2e-14,0.6,0.117888
3.3,7.50049e-09,-7.50147e-09,0.5,0.0,0.65,0.161008
3.3,7.78019e-09,-7.78214e-09,0.5,1e-14,0.7,0.207948
3.3,7.91573e-09,-7.9205e-09,0.5,1e-14,0.75,0.256454
3.3,7.99845e-09,-8.01677e-09,0.5,2e-14,0.8,0.305314
3.3,8.07629e-09,-8.10311e-09,0.5,-1e-14,0.85,0.36619
3.3,8.15462e-09,-8.16239e-09,0.5,2e-14,0.9,0.415808
3.3,8.19271e-09,-8.22154e-09,0.5,1e-14,0.95,0.46554
3.3,8.25319e-09,-8.26911e-09,0.5,-1e-14,1.0,0.51468
3.3,8.2976e-09,-8.32251e-09,0.5,4e-14,1.05,0.5643
3.3,8.35412e-09,-8.36822e-09,0.5,3e-14,1.1,0.613856
3.3,8.38332e-09,-8.39291e-09,0.5,0.0,1.15,0.664202
3.3,8.43134e-09,-8.44884e-09,0.5,4e-14,1.2,0.71297
3.3,8.46704e-09,-8.48672e-09,0.5,0.0,1.25,0.763084
3.3,8.5077e-09,-8.53467e-09,0.5,3e-14,1.3,0.812874
3.3,8.55562e-09,-8.56239e-09,0.5,3e-14,1.35,0.862468
3.3,8.5588e-09,-8.59257e-09,0.5,2e-14,1.4,0.911738
3.3,8.61771e-09,-8.64613e-09,0.5,2e-14,1.45,0.961698
3.3,8.63266e-09,-8.65394e-09,0.5,0.0,1.5,1.011468
3.3,8.65704e-09,-8.67126e-09,0.5,1e-14,1.55,1.061724
3.3,8.69661e-09,-8.71688e-09,0.5,2e-14,1.6,1.111414
3.3,8.70156e-09,-8.71782e-09,0.5,6e-14,1.65,1.16077
3.3,8.74288e-09,-8.75258e-09,0.5,4e-14,1.7,1.210532
3.3,8.7533e-09,-8.77735e-09,0.5,2e-14,1.75,1.260508
3.3,8.80292e-09,-8.81334e-09,0.5,5e-14,1.8,1.310094
3.3,8.84347e-09,-8.8569e-09,0.5,2e-14,1.85,1.359356
3.3,8.8597e-09,-8.8804e-09,0.5,3e-14,1.9,1.40941
3.3,8.89618e-09,-8.90065e-09,0.5,2e-14,1.95,1.459056
3.3,8.89514e-09,-8.92934e-09,0.5,4e-14,2.0,1.509088
3.3,8.95099e-09,-8.97328e-09,0.5,3e-14,2.05,1.558212
3.3,8.94672e-09,-8.98002e-09,0.5,1e-14,2.1,1.607912
3.3,8.9982e-09,-9.0028e-09,0.5,4e-14,2.15,1.65818
3.3,9.01949e-09,-9.02679e-09,0.5,4e-14,2.2,1.708096
3.3,9.02288e-09,-9.05257e-09,0.5,2e-14,2.25,1.757384
3.3,9.05841e-09,-9.09165e-09,0.5,5e-14,2.3,1.807254
3.3,9.08886e-09,-9.11389e-09,0.5,3e-14,2.35,1.856826
3.3,9.11523e-09,-9.13943e-09,0.5,2e-14,2.4,1.90715
3.3,9.12908e-09,-9.15696e-09,0.5,1e-14,2.45,1.956918
3.3,9.19178e-09,-9.19803e-09,0.5,7e-14,2.5,2.006108
3.3,9.19639e-09,-9.21008e-09,0.5,4e-14,2.55,2.056062
3.3,9.20687e-09,-9.24056e-09,0.5,4e-14,2.6,2.106346
3.3,9.25297e-09,-9.28405e-09,0.5,5e-14,2.65,2.155906
3.3,9.24865e-09,-9.26559e-09,0.5,1e-14,2.7,2.20494
3.3,9.27093e-09,-9.28603e-09,0.5,4e-14,2.75,2.25516
3.3,9.29923e-09,-9.31005e-09,0.5,4e-14,2.8,2.30496
3.3,9.29129e-09,-9.32964e-09,0.5,1e-14,2.85,2.3551
3.3,9.32578e-09,-9.34418e-09,0.5,2e-14,2.9,2.40422
3.3,9.34862e-09,-9.35669e-09,0.5,0.0,2.95,2.45384
3.3,9.35573e-09,-9.37415e-09,0.5,0.0,3.0,2.50372
3.3,1.02e-12,-2.056e-11,0.6,1e-14,0.0,1.419188
3.3,-2.64e-12,-1.891e-11,0.6,3e-14,0.05,0.000182
3.3,-9.7e-13,-1.667e-11,0.6,1e-14,0.1,0.000184
3.3,-3.4e-13,-1.618e-11,0.6,0.0,0.15,0.000172
3.3,3.76e-12,-2.164e-11,0.6,4e-14,0.2,0.000176
3.3,2.32e-11,-3.764e-11,0.6,2e-14,0.25,0.000286
3.3,1.1086e-10,-1.3025e-10,0.6,2e-14,0.3,0.00065
3.3,4.6472e-10,-4.7988e-10,0.6,2e-14,0.35,0.002102
3.3,1.48392e-09,-1.49129e-09,0.6,3e-14,0.4,0.00684
3.3,3.46875e-09,-3.47625e-09,0.6,3e-14,0.45,0.015556
3.3,6.39974e-09,-6.41524e-09,0.6,2e-14,0.5,0.030192
3.3,9.86373e-09,-9.89651e-09,0.6,0.0,0.55,0.04983
3.3,1.36188e-08,-1.36813e-08,0.6,4e-14,0.6,0.077708
3.3,1.7183e-08,-1.7216e-08,0.6,4e-14,0.65,0.105082
3.3,2.02004e-08,-2.02104e-08,0.6,2e-14,0.7,0.139986
3.3,2.24289e-08,-2.2438e-08,0.6,2e-14,0.75,0.179698
3.3,2.38109e-08,-2.38091e-08,0.6,-1e-14,0.8,0.222752
3.3,2.45792e-08,-2.46086e-08,0.6,3e-14,0.85,0.269562
3.3,2.50272e-08,-2.50499e-08,0.6,4e-14,0.9,0.318244
3.3,2.53298e-08,-2.53613e-08,0.6,6e-14,0.95,0.368056
3.3,2.55363e-08,-2.55325e-08,0.6,3e-14,1.0,0.417248
3.3,2.57102e-08,-2.57589e-08,0.6,3e-14,1.05,0.466768
3.3,2.59015e-08,-2.59211e-08,0.6,3e-14,1.1,0.516514
3.3,2.60302e-08,-2.60417e-08,0.6,4e-14,1.15,0.566286
3.3,2.61822e-08,-2.62041e-08,0.6,1e-14,1.2,0.615334
3.3,2.62929e-08,-2.62904e-08,0.6,2e-14,1.25,0.665264
3.3,2.63647e-08,-2.64136e-08,0.6,2e-14,1.3,0.715148
3.3,2.64872e-08,-2.65028e-08,0.6,3e-14,1.35,0.764868
3.3,2.65675e-08,-2.66023e-08,0.6,3e-14,1.4,0.814016
3.3,2.666e-08,-2.66745e-08,0.6,7e-14,1.45,0.864676
3.3,2.67576e-08,-2.67659e-08,0.6,5e-14,1.5,0.914618
3.3,2.68607e-08,-2.68574e-08,0.6,1e-14,1.55,0.964348
3.3,2.69178e-08,-2.69505e-08,0.6,1e-14,1.6,1.014482
3.3,2.6996e-08,-2.70055e-08,0.6,0.0,1.65,1.06357
3.3,2.70696e-08,-2.70735e-08,0.6,3e-14,1.7,1.112828
3.3,2.71373e-08,-2.71809e-08,0.6,2e-14,1.75,1.163134
3.3,2.72306e-08,-2.72271e-08,0.6,-2e-14,1.8,1.212922
3.3,2.73441e-08,-2.73339e-08,0.6,0.0,1.85,1.262166
3.3,2.73741e-08,-2.74087e-08,0.6,0.0,1.9,1.312034
3.3,2.74685e-08,-2.74549e-08,0.6,3e-14,1.95,1.362236
3.3,2.74977e-08,-2.75308e-08,0.6,4e-14,2.0,1.41191
3.3,2.75652e-08,-2.75757e-08,0.6,5e-14,2.05,1.461436
3.3,2.76205e-08,-2.76389e-08,0.6,5e-14,2.1,1.511156
3.3,2.76819e-08,-2.77025e-08,0.6,2e-14,2.15,1.56102
3.3,2.77675e-08,-2.77631e-08,0.6,-1e-14,2.2,1.61087
3.3,2.7812e-08,-2.78336e-08,0.6,2e-14,2.25,1.660306
3.3,2.78903e-08,-2.79112e-08,0.6,5e-14,2.3,1.710268
3.3,2.79345e-08,-2.79482e-08,0.6,5e-14,2.35,1.760354
3.3,2.80062e-08,-2.80242e-08,0.6,6e-14,2.4,1.81018
3.3,2.80728e-08,-2.80861e-08,0.6,2e-14,2.45,1.859732
3.3,2.8144e-08,-2.81417e-08,0.6,1e-14,2.5,1.909164
3.3,2.81677e-08,-2.81858e-08,0.6,6e-14,2.55,1.958908
3.3,2.82497e-08,-2.82436e-08,0.6,-1e-14,2.6,2.008466
3.3,2.82859e-08,-2.82795e-08,0.6,0.0,2.65,2.058708
3.3,2.83775e-08,-2.83733e-08,0.6,1e-14,2.7,2.10772
3.3,2.84102e-08,-2.84183e-08,0.6,3e-14,2.75,2.157202
3.3,2.84168e-08,-2.8442e-08,0.6,4e-14,2.8,2.207416
3.3,2.85353e-08,-2.8554e-08,0.6,5e-14,2.85,2.25746
3.3,2.85536e-08,-2.85752e-08,0.6,2e-14,2.9,2.30592
3.3,2.86088e-08,-2.8642e-08,0.6,2e-14,2.95,2.35534
3.3,2.86949e-08,-2.87047e-08,0.6,4e-14,3.0,2.40498
3.3,-3.7e-13,-1.95e-11,0.7,2e-14,0.0,0.651468
3.3,-3.34e-12,-1.87e-11,0.7,2e-14,0.05,0.000144
3.3,3.33e-12,-1.634e-11,0.7,1e-14,0.1,0.000114
3.3,4.29e-12,-1.893e-11,0.7,4e-14,0.15,0.000138
3.3,7.99e-12,-1.735e-11,0.7,2e-14,0.2,0.000158
3.3,2.421e-11,-4.067e-11,0.7,5e-14,0.25,0.000198
3.3,1.1576e-10,-1.3274e-10,0.7,3e-14,0.3,0.000434
3.3,4.824e-10,-4.9839e-10,0.7,3e-14,0.35,0.001392
3.3,1.58948e-09,-1.60034e-09,0.7,4e-14,0.4,0.0043
3.3,3.89124e-09,-3.91019e-09,0.7,-1e-14,0.45,0.01039
3.3,7.61274e-09,-7.62732e-09,0.7,1e-14,0.5,0.020608
3.3,1.24104e-08,-1.24415e-08,0.7,-2e-14,0.55,0.034796
3.3,1.8102e-08,-1.81082e-08,0.7,5e-14,0.6,0.05223
3.3,2.40854e-08,-2.41971e-08,0.7,2e-14,0.65,0.073172
3.3,3.04149e-08,-3.04375e-08,0.7,-6.5e-13,0.7,0.098144
3.3,3.64917e-08,-3.65723e-08,0.7,0.0,0.75,0.126708
3.3,4.20296e-08,-4.20606e-08,0.7,4e-14,0.8,0.158098
3.3,4.68127e-08,-4.68609e-08,0.7,5e-14,0.85,0.193762
3.3,5.06715e-08,-5.06896e-08,0.7,1e-14,0.9,0.233426
3.3,5.33985e-08,-5.34547e-08,0.7,4e-14,0.95,0.276918
3.3,5.51525e-08,-5.51547e-08,0.7,3e-14,1.0,0.321956
3.3,5.61975e-08,-5.62205e-08,0.7,3e-14,1.05,0.370948
3.3,5.69464e-08,-5.6946e-08,0.7,5e-14,1.1,0.419886
3.3,5.74626e-08,-5.74807e-08,0.7,1e-14,1.15,0.46952
3.3,5.777e-08,-5.77858e-08,0.7,1e-14,1.2,0.518212
3.3,5.81654e-08,-5.81644e-08,0.7,5e-14,1.25,0.56854
3.3,5.84355e-08,-5.8458e-08,0.7,5e-14,1.3,0.61904
3.3,5.87888e-08,-5.88707e-08,0.7,3e-14,1.35,0.669524
3.3,5.90023e-08,-5.90471e-08,0.7,4e-14,1.4,0.718158
3.3,5.92572e-08,-5.92928e-08,0.7,1e-14,1.45,0.768702
3.3,5.94617e-08,-5.95494e-08,0.7,4e-14,1.5,0.818366
3.3,5.97166e-08,-5.96886e-08,0.7,1e-14,1.55,0.868234
3.3,5.98837e-08,-5.98808e-08,0.7,1e-14,1.6,0.918522
3.3,6.00214e-08,-6.00102e-08,0.7,0.0,1.65,0.967708
3.3,6.01434e-08,-6.01754e-08,0.7,3e-14,1.7,1.017418
3.3,6.03743e-08,-6.03837e-08,0.7,1e-14,1.75,1.066654
3.3,6.05188e-08,-6.05725e-08,0.7,6e-14,1.8,1.116648
3.3,6.07069e-08,-6.07156e-08,0.7,3e-14,1.85,1.165826
3.3,6.08714e-08,-6.09137e-08,0.7,4e-14,1.9,1.215702
3.3,6.09826e-08,-6.10139e-08,0.7,4e-14,1.95,1.26599
3.3,6.11338e-08,-6.11492e-08,0.7,-2e-14,2.0,1.315278
3.3,6.13035e-08,-6.13157e-08,0.7,2e-14,2.05,1.365296
3.3,6.1492e-08,-6.14878e-08,0.7,2e-14,2.1,1.41528
3.3,6.15745e-08,-6.15734e-08,0.7,5e-14,2.15,1.464348
3.3,6.16596e-08,-6.16725e-08,0.7,-1e-14,2.2,1.514064
3.3,6.18214e-08,-6.18397e-08,0.7,0.0,2.25,1.56353
3.3,6.19696e-08,-6.1947e-08,0.7,2e-14,2.3,1.613806
3.3,6.2045e-08,-6.20374e-08,0.7,8e-14,2.35,1.664078
3.3,6.22051e-08,-6.21811e-08,0.7,3e-14,2.4,1.71372
3.3,6.23298e-08,-6.23181e-08,0.7,4e-14,2.45,1.762968
3.3,6.23973e-08,-6.24653e-08,0.7,2e-14,2.5,1.811508
3.3,6.25483e-08,-6.25809e-08,0.7,2e-14,2.55,1.860744
3.3,6.2607e-08,-6.26076e-08,0.7,3e-14,2.6,1.910648
3.3,6.28469e-08,-6.2846e-08,0.7,1e-14,2.65,1.960504
3.3,6.29294e-08,-6.28937e-08,0.7,4e-14,2.7,2.009804
