,Vgate,Vdrain,Idrain,IdMax,Vth@Id,block,time_s,IdMax_filled
422, -3, 0.1, -3.0000000000000002E-15,1.41212e-06, 3,1, 1,1.41212e-06
423, -2.95, 0.1, 1.2000000000000001E-14,, 3,1, 1,1.41212e-06
424, -2.9, 0.1, -1.89E-13,, 3,1, 1,1.41212e-06
425, -2.85, 0.1, -1.63E-13,, 3,1, 1,1.41212e-06
426, -2.8000000000000003, 0.1, -2.5200000000000004E-13,, 3,1, 1,1.41212e-06
427, -2.75, 0.1, -9.5000000000000012E-14,, 3,1, 1,1.41212e-06
428, -2.7, 0.1, -5.700000000000001E-14,, 3,1, 1,1.41212e-06
429, -2.65, 0.1, -1.48E-13,, 3,1, 1,1.41212e-06
430, -2.6, 0.1, -1.4500000000000001E-13,, 3,1, 1,1.41212e-06
431, -2.5500000000000003, 0.1, -1.53E-13,, 3,1, 1,1.41212e-06
432, -2.5, 0.1, -1.3700000000000002E-13,, 3,1, 1,1.41212e-06
433, -2.45, 0.1, -1.4900000000000002E-13,, 3,1, 1,1.41212e-06
434, -2.4, 0.1, -1.76E-13,, 3,1, 1,1.41212e-06
435, -2.35, 0.1, -1.58E-13,, 3,1, 1,1.41212e-06
436, -2.3000000000000003, 0.1, -1.6800000000000002E-13,, 3,1, 1,1.41212e-06
437, -2.25, 0.1, -1.5500000000000002E-13,, 3,1, 1,1.41212e-06
438, -2.2, 0.1, -1.7800000000000002E-13,, 3,1, 1,1.41212e-06
439, -2.15, 0.1, -1.5100000000000001E-13,, 3,1, 1,1.41212e-06
440, -2.1, 0.1, -4.3000000000000006E-14,, 3,1, 1,1.41212e-06
441, -2.05, 0.1, -5.4000000000000003E-14,, 3,1, 1,1.41212e-06
442, -2, 0.1, -1.3900000000000001E-13,, 3,1, 1,1.41212e-06
443, -1.95, 0.1, -1.82E-13,, 3,1, 1,1.41212e-06
444, -1.9000000000000001, 0.1, -1.3100000000000002E-13,, 3,1, 1,1.41212e-06
445, -1.85, 0.1, -1.35E-13,, 3,1, 1,1.41212e-06
446, -1.8, 0.1, -1.7400000000000002E-13,, 3,1, 1,1.41212e-06
447, -1.75, 0.1, -1.93E-13,, 3,1, 1,1.41212e-06
448, -1.7, 0.1, -1.41E-13,, 3,1, 1,1.41212e-06
449, -1.6500000000000001, 0.1, -9.5000000000000012E-14,, 3,1, 1,1.41212e-06
450, -1.6, 0.1, -1.52E-13,, 3,1, 1,1.41212e-06
451, -1.55, 0.1, -1.5600000000000002E-13,, 3,1, 1,1.41212e-06
452, -1.5, 0.1, -2.5200000000000004E-13,, 3,1, 1,1.41212e-06
453, -1.45, 0.1, -1.16E-13,, 3,1, 1,1.41212e-06
454, -1.4000000000000001, 0.1, -1.77E-13,, 3,1, 1,1.41212e-06
455, -1.35, 0.1, -1.53E-13,, 3,1, 1,1.41212e-06
456, -1.3, 0.1, -1.88E-13,, 3,1, 1,1.41212e-06
457, -1.25, 0.1, -1.76E-13,, 3,1, 1,1.41212e-06
458, -1.2, 0.1, -1.81E-13,, 3,1, 1,1.41212e-06
459, -1.1500000000000001, 0.1, -1.24E-13,, 3,1, 1,1.41212e-06
460, -1.1, 0.1, -2.06E-13,, 3,1, 1,1.41212e-06
461, -1.05, 0.1, -1.29E-13,, 3,1, 1,1.41212e-06
462, -1, 0.1, -1.42E-13,, 3,1, 1,1.41212e-06
463, -0.95000000000000007, 0.1, -1.81E-13,, 3,1, 1,1.41212e-06
464, -0.9, 0.1, -6.8E-14,, 3,1, 1,1.41212e-06
465, -0.85, 0.1, -2.45E-13,, 3,1, 1,1.41212e-06
466, -0.8, 0.1, -2.18E-13,, 3,1, 1,1.41212e-06
467, -0.75, 0.1, -1.75E-13,, 3,1, 1,1.41212e-06
468, -0.70000000000000007, 0.1, -2.71E-13,, 3,1, 1,1.41212e-06
469, -0.65, 0.1, -1.3700000000000002E-13,, 3,1, 1,1.41212e-06
470, -0.6, 0.1, -2.2900000000000003E-13,, 3,1, 1,1.41212e-06
471, -0.55, 0.1, -1.34E-13,, 3,1, 1,1.41212e-06
472, -0.5, 0.1, -1.59E-13,, 3,1, 1,1.41212e-06
473, -0.45, 0.1, -1.88E-13,, 3,1, 1,1.41212e-06
474, -0.4, 0.1, -1.81E-13,, 3,1, 1,1.41212e-06
475, -0.35000000000000003, 0.1, -2.0400000000000001E-13,, 3,1, 1,1.41212e-06
476, -0.3, 0.1, -1.4500000000000001E-13,, 3,1, 1,1.41212e-06
477, -0.25, 0.1, -2.0900000000000002E-13,, 3,1, 1,1.41212e-06
478, -0.2, 0.1, -2.43E-13,, 3,1, 1,1.41212e-06
479, -0.15, 0.1, -6.0000000000000009E-14,, 3,1, 1,1.41212e-06
480, -0.1, 0.1, -1.22E-13,, 3,1, 1,1.41212e-06
481, -0.05, 0.1, -1.9100000000000002E-13,, 3,1, 1,1.41212e-06
482, 0, 0.1, -3.43E-13,, 3,1, 1,1.41212e-06
483, 0.05, 0.1, -3.5E-13,, 3,1, 1,1.41212e-06
484, 0.1, 0.1, -2.49E-13,, 3,1, 1,1.41212e-06
485, 0.15, 0.1, -3.03E-13,, 3,1, 1,1.41212e-06
486, 0.2, 0.1, -3.8500000000000003E-13,, 3,1, 1,1.41212e-06
487, 0.25, 0.1, -4.33E-13,, 3,1, 1,1.41212e-06
488, 0.3, 0.1, -3.63E-13,, 3,1, 1,1.41212e-06
489, 0.35000000000000003, 0.1, -3.0900000000000005E-13,, 3,1, 1,1.41212e-06
490, 0.4, 0.1, -4.64E-13,, 3,1, 1,1.41212e-06
491, 0.45, 0.1, -2.93E-13,, 3,1, 1,1.41212e-06
492, 0.5, 0.1, -3.51E-13,, 3,1, 1,1.41212e-06
493, 0.55, 0.1, -4.34E-13,, 3,1, 1,1.41212e-06
494, 0.6, 0.1, -3.9200000000000005E-13,, 3,1, 1,1.41212e-06
495, 0.65, 0.1, -4.0700000000000003E-13,, 3,1, 1,1.41212e-06
496, 0.70000000000000007, 0.1, -2.58E-13,, 3,1, 1,1.41212e-06
497, 0.75, 0.1, -3.41E-13,, 3,1, 1,1.41212e-06
498, 0.8, 0.1, -4.1800000000000004E-13,, 3,1, 1,1.41212e-06
499, 0.85, 0.1, -3.9500000000000003E-13,, 3,1, 1,1.41212e-06
500, 0.9, 0.1, -4.23E-13,, 3,1, 1,1.41212e-06
501, 0.95000000000000007, 0.1, -3.41E-13,, 3,1, 1,1.41212e-06
502, 1, 0.1, -3.0000000000000003E-13,, 3,1, 1,1.41212e-06
503, 1.05, 0.1, -2.1400000000000002E-13,, 3,1, 1,1.41212e-06
504, 1.1, 0.1, -3.3200000000000005E-13,, 3,1, 1,1.41212e-06
505, 1.1500000000000001, 0.1, -1.76E-13,, 3,1, 1,1.41212e-06
506, 1.2, 0.1, 1.3860000000000002E-12,, 3,1, 1,1.41212e-06
507, 1.25, 0.1, 1.1030000000000001E-11,, 3,1, 1,1.41212e-06
508, 1.3, 0.1, 6.9189E-11,, 3,1, 1,1.41212e-06
509, 1.35, 0.1, 3.6577700000000003E-10,, 3,1, 1,1.41212e-06
510, 1.4000000000000001, 0.1, 1.5499E-09,, 3,1, 1,1.41212e-06
511, 1.45, 0.1, 5.07977E-09,, 3,1, 1,1.41212e-06
512, 1.5, 0.1, 1.3178199999999998E-08,, 3,1, 1,1.41212e-06
513, 1.55, 0.1, 2.7424999999999996E-08,, 3,1, 1,1.41212e-06
514, 1.6, 0.1, 4.7933599999999996E-08,, 3,1, 1,1.41212e-06
515, 1.6500000000000001, 0.1, 7.4023799999999991E-08,, 3,1, 1,1.41212e-06
516, 1.7, 0.1, 1.0420239999999999E-07,, 3,1, 1,1.41212e-06
517, 1.75, 0.1, 1.37396E-07,, 3,1, 1,1.41212e-06
518, 1.8, 0.1, 1.73239E-07,, 3,1, 1,1.41212e-06
519, 1.85, 0.1, 2.1094E-07,, 3,1, 1,1.41212e-06
520, 1.9000000000000001, 0.1, 2.50331E-07,, 3,1, 1,1.41212e-06
521, 1.95, 0.1, 2.9134999999999997E-07,, 3,1, 1,1.41212e-06
522, 2, 0.1, 3.33711E-07,, 3,1, 1,1.41212e-06
523, 2.05, 0.1, 3.77437E-07,, 3,1, 1,1.41212e-06
524, 2.1, 0.1, 4.2269899999999997E-07,, 3,1, 1,1.41212e-06
525, 2.15, 0.1, 4.69092E-07,, 3,1, 1,1.41212e-06
526, 2.2, 0.1, 5.16732E-07,, 3,1, 1,1.41212e-06
527, 2.25, 0.1, 5.65661E-07,, 3,1, 1,1.41212e-06
528, 2.3000000000000003, 0.1, 6.15592E-07,, 3,1, 1,1.41212e-06
529, 2.35, 0.1, 6.66549E-07,, 3,1, 1,1.41212e-06
530, 2.4, 0.1, 7.18611E-07,, 3,1, 1,1.41212e-06
531, 2.45, 0.1, 7.72157E-07,, 3,1, 1,1.41212e-06
532, 2.5, 0.1, 8.26433E-07,, 3,1, 1,1.41212e-06
533, 2.5500000000000003, 0.1, 8.81616E-07,, 3,1, 1,1.41212e-06
534, 2.6, 0.1, 9.376E-07,, 3,1, 1,1.41212e-06
535, 2.65, 0.1, 9.94361E-07,, 3,1, 1,1.41212e-06
536, 2.7, 0.1, 1.051923E-06,, 3,1, 1,1.41212e-06
537, 2.75, 0.1, 1.110502E-06,, 3,1, 1,1.41212e-06
538, 2.8000000000000003, 0.1, 1.1689300000000001E-06,, 3,1, 1,1.41212e-06
539, 2.85, 0.1, 1.22874E-06,, 3,1, 1,1.41212e-06
540, 2.9, 0.1, 1.28906E-06,, 3,1, 1,1.41212e-06
541, 2.95, 0.1, 1.3502500000000001E-06,, 3,1, 1,1.41212e-06
542, 3, 0.1, 1.4121200000000001E-06,, 3,1, 1,1.41212e-06
