V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.078670E-9	1.064460E-9	9.850870E-10	1.066380E-10
-2.950000E+0	1.076720E-9	1.063100E-9	9.842360E-10	1.067800E-10
-2.900000E+0	1.075530E-9	1.061870E-9	9.837710E-10	1.068790E-10
-2.850000E+0	1.074020E-9	1.060680E-9	9.829550E-10	1.069350E-10
-2.800000E+0	1.072640E-9	1.059570E-9	9.822190E-10	1.070390E-10
-2.750000E+0	1.071320E-9	1.058400E-9	9.814670E-10	1.070860E-10
-2.700000E+0	1.070120E-9	1.057250E-9	9.806800E-10	1.072380E-10
-2.650000E+0	1.068750E-9	1.056100E-9	9.797750E-10	1.073590E-10
-2.600000E+0	1.067400E-9	1.055000E-9	9.789790E-10	1.076060E-10
-2.550000E+0	1.066350E-9	1.054000E-9	9.783220E-10	1.077280E-10
-2.500000E+0	1.064980E-9	1.052940E-9	9.776610E-10	1.078450E-10
-2.450000E+0	1.064090E-9	1.052040E-9	9.769710E-10	1.079520E-10
-2.400000E+0	1.062750E-9	1.051060E-9	9.762480E-10	1.080790E-10
-2.350000E+0	1.061690E-9	1.050120E-9	9.756030E-10	1.082100E-10
-2.300000E+0	1.060390E-9	1.049100E-9	9.748800E-10	1.083240E-10
-2.250000E+0	1.059220E-9	1.048190E-9	9.742240E-10	1.084290E-10
-2.200000E+0	1.058090E-9	1.047160E-9	9.735890E-10	1.085560E-10
-2.150000E+0	1.057090E-9	1.046200E-9	9.729380E-10	1.086720E-10
-2.100000E+0	1.055850E-9	1.045280E-9	9.722620E-10	1.087350E-10
-2.050000E+0	1.054770E-9	1.044230E-9	9.715940E-10	1.088640E-10
-2.000000E+0	1.053510E-9	1.043280E-9	9.709960E-10	1.089540E-10
-1.950000E+0	1.052540E-9	1.042230E-9	9.702930E-10	1.090460E-10
-1.900000E+0	1.051540E-9	1.041380E-9	9.696840E-10	1.091510E-10
-1.850000E+0	1.050400E-9	1.040420E-9	9.689760E-10	1.092540E-10
-1.800000E+0	1.049310E-9	1.039430E-9	9.683690E-10	1.093500E-10
-1.750000E+0	1.048400E-9	1.038590E-9	9.676610E-10	1.094320E-10
-1.700000E+0	1.047400E-9	1.037680E-9	9.670900E-10	1.095300E-10
-1.650000E+0	1.046050E-9	1.036800E-9	9.664130E-10	1.096700E-10
-1.600000E+0	1.045220E-9	1.035950E-9	9.657550E-10	1.098750E-10
-1.550000E+0	1.044220E-9	1.035070E-9	9.651430E-10	1.099590E-10
-1.500000E+0	1.043250E-9	1.034140E-9	9.644900E-10	1.100610E-10
-1.450000E+0	1.042390E-9	1.033290E-9	9.638790E-10	1.101770E-10
-1.400000E+0	1.041390E-9	1.032470E-9	9.632380E-10	1.102930E-10
-1.350000E+0	1.040100E-9	1.031510E-9	9.625860E-10	1.104530E-10
-1.300000E+0	1.039250E-9	1.030650E-9	9.619530E-10	1.105540E-10
-1.250000E+0	1.038320E-9	1.029740E-9	9.612090E-10	1.106610E-10
-1.200000E+0	1.037270E-9	1.028880E-9	9.606180E-10	1.107620E-10
