V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.147310E-2	3.451680E-2	2.684260E-1	3.529780E+0
-2.950000E+0	1.125990E-2	3.431270E-2	2.680000E-1	3.524680E+0
-2.900000E+0	1.115810E-2	3.420840E-2	2.669350E-1	3.520260E+0
-2.850000E+0	1.101570E-2	3.403200E-2	2.665200E-1	3.517120E+0
-2.800000E+0	1.079100E-2	3.403680E-2	2.661840E-1	3.512980E+0
-2.750000E+0	1.066620E-2	3.389270E-2	2.658940E-1	3.510190E+0
-2.700000E+0	1.052430E-2	3.372120E-2	2.656950E-1	3.504930E+0
-2.650000E+0	1.029670E-2	3.359830E-2	2.656960E-1	3.500930E+0
-2.600000E+0	1.024540E-2	3.338010E-2	2.655180E-1	3.493990E+0
-2.550000E+0	1.017360E-2	3.326930E-2	2.652930E-1	3.490010E+0
-2.500000E+0	1.009480E-2	3.313470E-2	2.649660E-1	3.485690E+0
-2.450000E+0	9.899710E-3	3.306580E-2	2.646720E-1	3.481680E+0
-2.400000E+0	9.856530E-3	3.294660E-2	2.643640E-1	3.477700E+0
-2.350000E+0	9.709570E-3	3.281050E-2	2.640310E-1	3.473320E+0
-2.300000E+0	9.620580E-3	3.274560E-2	2.637300E-1	3.469250E+0
-2.250000E+0	9.564700E-3	3.270030E-2	2.634260E-1	3.465550E+0
-2.200000E+0	9.413070E-3	3.255760E-2	2.631470E-1	3.461140E+0
-2.150000E+0	9.444320E-3	3.248520E-2	2.628420E-1	3.456930E+0
-2.100000E+0	9.156270E-3	3.239450E-2	2.625800E-1	3.454340E+0
-2.050000E+0	8.909640E-3	3.228900E-2	2.623140E-1	3.449840E+0
-2.000000E+0	8.995230E-3	3.224750E-2	2.620250E-1	3.446430E+0
-1.950000E+0	8.882140E-3	3.210600E-2	2.617720E-1	3.443010E+0
-1.900000E+0	8.867030E-3	3.202250E-2	2.615060E-1	3.438920E+0
-1.850000E+0	8.893640E-3	3.187260E-2	2.612510E-1	3.435520E+0
-1.800000E+0	8.716860E-3	3.174200E-2	2.609220E-1	3.432000E+0
-1.750000E+0	8.593950E-3	3.165410E-2	2.606980E-1	3.428700E+0
-1.700000E+0	8.529740E-3	3.153150E-2	2.604210E-1	3.425300E+0
-1.650000E+0	8.356670E-3	3.144350E-2	2.602270E-1	3.420690E+0
-1.600000E+0	8.142230E-3	3.133660E-2	2.599640E-1	3.415400E+0
-1.550000E+0	8.299630E-3	3.127470E-2	2.597040E-1	3.412300E+0
-1.500000E+0	8.199840E-3	3.118700E-2	2.594690E-1	3.408750E+0
-1.450000E+0	8.081030E-3	3.114300E-2	2.592230E-1	3.404950E+0
-1.400000E+0	8.023950E-3	3.110260E-2	2.589390E-1	3.400950E+0
-1.350000E+0	8.095600E-3	3.103050E-2	2.587560E-1	3.396690E+0
-1.300000E+0	7.950630E-3	3.101030E-2	2.584980E-1	3.393100E+0
-1.250000E+0	7.922350E-3	3.088170E-2	2.583370E-1	3.389450E+0
-1.200000E+0	7.740450E-3	3.078860E-2	2.581830E-1	3.385950E+0
-1.150000E+0	7.607540E-3	3.073890E-2	2.579100E-1	3.382720E+0
-1.100000E+0	7.814920E-3	3.058000E-2	2.576580E-1	3.379380E+0
-1.050000E+0	7.716150E-3	3.044240E-2	2.574490E-1	3.376270E+0
-1.000000E+0	7.545780E-3	3.040080E-2	2.572270E-1	3.373010E+0
-9.500000E-1	7.507660E-3	3.025360E-2	2.568960E-1	3.369020E+0
-9.000000E-1	7.306370E-3	3.023990E-2	2.566410E-1	3.366070E+0
-8.500000E-1	7.327790E-3	3.013730E-2	2.563620E-1	3.362350E+0
-8.000000E-1	7.273880E-3	3.006340E-2	2.561220E-1	3.358810E+0
-7.500000E-1	7.248790E-3	3.007390E-2	2.558530E-1	3.355870E+0
