V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.022990E-9	1.012700E-9	9.502830E-10	1.254510E-10
-2.950000E+0	1.021910E-9	1.011830E-9	9.496460E-10	1.255500E-10
-2.900000E+0	1.020980E-9	1.011030E-9	9.490990E-10	1.256450E-10
-2.850000E+0	1.020500E-9	1.010220E-9	9.485140E-10	1.257450E-10
-2.800000E+0	1.019170E-9	1.009450E-9	9.479410E-10	1.258120E-10
-2.750000E+0	1.018370E-9	1.008690E-9	9.474090E-10	1.259040E-10
-2.700000E+0	1.017280E-9	1.008010E-9	9.468540E-10	1.259870E-10
-2.650000E+0	1.016740E-9	1.007180E-9	9.463110E-10	1.260500E-10
-2.600000E+0	1.015700E-9	1.006390E-9	9.458230E-10	1.261410E-10
-2.550000E+0	1.014950E-9	1.005880E-9	9.452440E-10	1.262230E-10
-2.500000E+0	1.014040E-9	1.005190E-9	9.446980E-10	1.263160E-10
-2.450000E+0	1.013300E-9	1.004600E-9	9.441200E-10	1.263810E-10
-2.400000E+0	1.012530E-9	1.004020E-9	9.436410E-10	1.264530E-10
-2.350000E+0	1.011430E-9	1.003220E-9	9.430880E-10	1.265400E-10
-2.300000E+0	1.010900E-9	1.002370E-9	9.426240E-10	1.266190E-10
-2.250000E+0	1.010350E-9	1.001560E-9	9.420420E-10	1.267090E-10
-2.200000E+0	1.009330E-9	1.000760E-9	9.415590E-10	1.267790E-10
-2.150000E+0	1.008350E-9	1.000000E-9	9.409990E-10	1.268570E-10
-2.100000E+0	1.007750E-9	9.992020E-10	9.405360E-10	1.269280E-10
-2.050000E+0	1.007070E-9	9.985990E-10	9.399630E-10	1.270240E-10
-2.000000E+0	1.006280E-9	9.978530E-10	9.394480E-10	1.270980E-10
-1.950000E+0	1.005200E-9	9.972330E-10	9.388950E-10	1.271810E-10
-1.900000E+0	1.004650E-9	9.965520E-10	9.384190E-10	1.272540E-10
-1.850000E+0	1.004060E-9	9.959690E-10	9.378890E-10	1.273420E-10
-1.800000E+0	1.003180E-9	9.953750E-10	9.373520E-10	1.274150E-10
-1.750000E+0	1.002280E-9	9.947050E-10	9.368420E-10	1.274890E-10
-1.700000E+0	1.001790E-9	9.940810E-10	9.362990E-10	1.275570E-10
-1.650000E+0	1.000740E-9	9.933450E-10	9.357630E-10	1.276430E-10
-1.600000E+0	9.998110E-10	9.926480E-10	9.352310E-10	1.277520E-10
-1.550000E+0	9.991950E-10	9.919290E-10	9.347340E-10	1.278160E-10
-1.500000E+0	9.986330E-10	9.911580E-10	9.341800E-10	1.278810E-10
-1.450000E+0	9.977760E-10	9.904040E-10	9.336540E-10	1.279760E-10
-1.400000E+0	9.969350E-10	9.896490E-10	9.331050E-10	1.280670E-10
-1.350000E+0	9.963040E-10	9.889570E-10	9.326500E-10	1.281290E-10
-1.300000E+0	9.956580E-10	9.882830E-10	9.320730E-10	1.282060E-10
-1.250000E+0	9.948610E-10	9.876760E-10	9.315400E-10	1.282890E-10
-1.200000E+0	9.943340E-10	9.870010E-10	9.310430E-10	1.283860E-10
-1.150000E+0	9.933700E-10	9.863750E-10	9.304470E-10	1.284650E-10
-1.100000E+0	9.925620E-10	9.857710E-10	9.299270E-10	1.285450E-10
-1.050000E+0	9.917800E-10	9.852070E-10	9.293940E-10	1.286200E-10
-1.000000E+0	9.911950E-10	9.845500E-10	9.288500E-10	1.286970E-10
-9.500000E-1	9.904390E-10	9.838450E-10	9.283730E-10	1.287690E-10
-9.000000E-1	9.896390E-10	9.831470E-10	9.277690E-10	1.288600E-10
-8.500000E-1	9.889060E-10	9.824050E-10	9.272320E-10	1.289360E-10
-8.000000E-1	9.882200E-10	9.816920E-10	9.266780E-10	1.290250E-10
-7.500000E-1	9.876620E-10	9.809420E-10	9.261580E-10	1.291140E-10
-7.000000E-1	9.868920E-10	9.801780E-10	9.255870E-10	1.292020E-10
-6.500000E-1	9.863570E-10	9.795100E-10	9.250780E-10	1.292810E-10
-6.000000E-1	9.852730E-10	9.788290E-10	9.244880E-10	1.293590E-10
-5.500000E-1	9.844510E-10	9.781570E-10	9.239550E-10	1.294490E-10
-5.000000E-1	9.838130E-10	9.775340E-10	9.233750E-10	1.295290E-10
-4.500000E-1	9.832310E-10	9.769500E-10	9.228420E-10	1.296060E-10
-4.000000E-1	9.824350E-10	9.762760E-10	9.223030E-10	1.296970E-10
-3.500000E-1	9.817510E-10	9.757360E-10	9.217530E-10	1.297870E-10
-3.000000E-1	9.812560E-10	9.750500E-10	9.211970E-10	1.298670E-10
-2.500000E-1	9.803010E-10	9.743800E-10	9.206370E-10	1.299630E-10
-2.000000E-1	9.796200E-10	9.737670E-10	9.200720E-10	1.300390E-10
-1.500000E-1	9.787870E-10	9.731930E-10	9.195100E-10	1.301350E-10
-1.000000E-1	9.783120E-10	9.725210E-10	9.189550E-10	1.302060E-10
-5.000000E-2	9.774040E-10	9.717440E-10	9.183680E-10	1.302930E-10
0.000000E+0	9.767750E-10	9.709280E-10	9.178370E-10	1.303830E-10
5.000000E-2	9.761140E-10	9.702520E-10	9.173210E-10	1.304660E-10
1.000000E-1	9.753560E-10	9.695730E-10	9.167380E-10	1.305450E-10
1.500000E-1	9.749320E-10	9.689020E-10	9.161810E-10	1.306410E-10
2.000000E-1	9.743780E-10	9.681760E-10	9.156070E-10	1.307260E-10
2.500000E-1	9.735320E-10	9.675310E-10	9.150320E-10	1.308140E-10
3.000000E-1	9.729110E-10	9.669710E-10	9.145020E-10	1.309030E-10
3.500000E-1	9.721140E-10	9.664600E-10	9.139430E-10	1.309810E-10
4.000000E-1	9.713910E-10	9.659390E-10	9.133810E-10	1.310590E-10
4.500000E-1	9.708460E-10	9.652760E-10	9.128120E-10	1.311600E-10
5.000000E-1	9.702640E-10	9.646760E-10	9.122740E-10	1.312580E-10
5.500000E-1	9.696270E-10	9.640100E-10	9.117310E-10	1.313260E-10
6.000000E-1	9.689050E-10	9.632860E-10	9.111800E-10	1.314130E-10
6.500000E-1	9.685280E-10	9.626340E-10	9.106300E-10	1.315020E-10
7.000000E-1	9.678050E-10	9.620280E-10	9.100760E-10	1.315960E-10
7.500000E-1	9.667830E-10	9.615580E-10	9.094850E-10	1.316800E-10
8.000000E-1	9.665170E-10	9.608980E-10	9.089970E-10	1.317600E-10
8.500000E-1	9.658740E-10	9.602480E-10	9.084560E-10	1.318500E-10
9.000000E-1	9.651670E-10	9.597000E-10	9.078750E-10	1.319350E-10
9.500000E-1	9.650510E-10	9.591160E-10	9.073630E-10	1.320180E-10
1.000000E+0	9.642600E-10	9.585340E-10	9.068010E-10	1.321210E-10
1.050000E+0	9.634170E-10	9.579700E-10	9.062710E-10	1.322060E-10
1.100000E+0	9.630990E-10	9.573170E-10	9.057450E-10	1.322970E-10
1.150000E+0	9.630740E-10	9.567540E-10	9.051860E-10	1.323850E-10
1.200000E+0	9.618950E-10	9.562140E-10	9.046390E-10	1.324820E-10
