V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	8.925950E-3	3.032290E-2	2.442880E-1	3.104730E+0
-2.950000E+0	8.689280E-3	3.024010E-2	2.439950E-1	3.101800E+0
-2.900000E+0	8.761360E-3	3.015360E-2	2.437950E-1	3.098950E+0
-2.850000E+0	8.557690E-3	3.008020E-2	2.436350E-1	3.095980E+0
-2.800000E+0	8.577100E-3	3.000700E-2	2.433890E-1	3.093790E+0
-2.750000E+0	8.546310E-3	2.995930E-2	2.431860E-1	3.090950E+0
-2.700000E+0	8.134490E-3	2.990200E-2	2.429760E-1	3.088520E+0
-2.650000E+0	8.047760E-3	2.978870E-2	2.427870E-1	3.086490E+0
-2.600000E+0	8.343890E-3	2.930400E-2	2.426040E-1	3.083830E+0
-2.550000E+0	8.020750E-3	2.924550E-2	2.424510E-1	3.081190E+0
-2.500000E+0	8.020770E-3	2.937590E-2	2.422560E-1	3.078390E+0
-2.450000E+0	7.850470E-3	2.942430E-2	2.420540E-1	3.076340E+0
-2.400000E+0	8.095760E-3	2.944000E-2	2.418410E-1	3.074080E+0
-2.350000E+0	7.793090E-3	2.939490E-2	2.417060E-1	3.071440E+0
-2.300000E+0	7.709890E-3	2.949070E-2	2.414490E-1	3.069090E+0
-2.250000E+0	7.728190E-3	2.941010E-2	2.412040E-1	3.066340E+0
-2.200000E+0	7.761230E-3	2.933460E-2	2.411100E-1	3.064160E+0
-2.150000E+0	7.699130E-3	2.929670E-2	2.409570E-1	3.061730E+0
-2.100000E+0	7.611350E-3	2.911640E-2	2.406840E-1	3.059640E+0
-2.050000E+0	7.526090E-3	2.894280E-2	2.405640E-1	3.056700E+0
-2.000000E+0	7.575290E-3	2.886730E-2	2.403830E-1	3.054390E+0
-1.950000E+0	7.491330E-3	2.871710E-2	2.402190E-1	3.051910E+0
-1.900000E+0	7.488760E-3	2.863180E-2	2.400290E-1	3.049610E+0
-1.850000E+0	7.254940E-3	2.860790E-2	2.398810E-1	3.046890E+0
-1.800000E+0	7.380460E-3	2.853880E-2	2.396800E-1	3.044780E+0
-1.750000E+0	7.337260E-3	2.857560E-2	2.394850E-1	3.042310E+0
-1.700000E+0	7.348750E-3	2.852870E-2	2.393400E-1	3.040230E+0
-1.650000E+0	7.233100E-3	2.849080E-2	2.391730E-1	3.037530E+0
-1.600000E+0	7.175180E-3	2.856160E-2	2.389800E-1	3.034410E+0
-1.550000E+0	7.055770E-3	2.858410E-2	2.388450E-1	3.032550E+0
-1.500000E+0	6.975430E-3	2.851930E-2	2.386480E-1	3.030390E+0
-1.450000E+0	6.793490E-3	2.840740E-2	2.384750E-1	3.027500E+0
-1.400000E+0	6.741140E-3	2.836040E-2	2.383510E-1	3.024800E+0
-1.350000E+0	6.807720E-3	2.824860E-2	2.381600E-1	3.022730E+0
-1.300000E+0	6.782080E-3	2.810510E-2	2.380090E-1	3.020290E+0
-1.250000E+0	6.952390E-3	2.804090E-2	2.377860E-1	3.017850E+0
-1.200000E+0	6.895840E-3	2.781820E-2	2.376500E-1	3.015030E+0
-1.150000E+0	6.732700E-3	2.781600E-2	2.374840E-1	3.012550E+0
-1.100000E+0	6.665360E-3	2.780900E-2	2.373320E-1	3.010060E+0
-1.050000E+0	6.549140E-3	2.777520E-2	2.371130E-1	3.007680E+0
-1.000000E+0	6.494300E-3	2.768400E-2	2.370000E-1	3.005380E+0
-9.500000E-1	6.514780E-3	2.780400E-2	2.368310E-1	3.002990E+0
-9.000000E-1	6.475150E-3	2.779940E-2	2.367180E-1	3.000260E+0
-8.500000E-1	6.485310E-3	2.780460E-2	2.365280E-1	2.997930E+0
-8.000000E-1	6.521090E-3	2.790150E-2	2.363510E-1	2.995210E+0
-7.500000E-1	6.409680E-3	2.777370E-2	2.361770E-1	2.992370E+0
-7.000000E-1	6.298540E-3	2.767900E-2	2.360650E-1	2.989870E+0
-6.500000E-1	6.800170E-3	2.759590E-2	2.358870E-1	2.987380E+0
