V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	2.718280E-10	2.640310E-10	9.476910E-11	2.669490E-12
-2.950000E+0	2.717280E-10	2.638300E-10	9.479630E-11	2.672040E-12
-2.900000E+0	2.717570E-10	2.636700E-10	9.493100E-11	2.676130E-12
-2.850000E+0	2.713610E-10	2.635660E-10	9.490110E-11	2.675690E-12
-2.800000E+0	2.711500E-10	2.634130E-10	9.513600E-11	2.679640E-12
-2.750000E+0	2.708240E-10	2.633040E-10	9.509280E-11	2.679520E-12
-2.700000E+0	2.711490E-10	2.631470E-10	9.513870E-11	2.680090E-12
-2.650000E+0	2.706880E-10	2.630200E-10	9.512110E-11	2.685080E-12
-2.600000E+0	2.706650E-10	2.629120E-10	9.520720E-11	2.703250E-12
-2.550000E+0	2.702510E-10	2.627640E-10	9.518920E-11	2.701510E-12
-2.500000E+0	2.703900E-10	2.626770E-10	9.535680E-11	2.716460E-12
-2.450000E+0	2.702440E-10	2.625530E-10	9.540350E-11	2.712910E-12
-2.400000E+0	2.703030E-10	2.624210E-10	9.554810E-11	2.716120E-12
-2.350000E+0	2.699980E-10	2.623220E-10	9.544140E-11	2.706760E-12
-2.300000E+0	2.698920E-10	2.622480E-10	9.556500E-11	2.710140E-12
-2.250000E+0	2.695610E-10	2.621190E-10	9.557680E-11	2.719470E-12
-2.200000E+0	2.697050E-10	2.620410E-10	9.562280E-11	2.723010E-12
-2.150000E+0	2.695320E-10	2.619740E-10	9.562390E-11	2.727350E-12
-2.100000E+0	2.695050E-10	2.618770E-10	9.576010E-11	2.750530E-12
-2.050000E+0	2.692350E-10	2.618260E-10	9.569960E-11	2.742080E-12
-2.000000E+0	2.692520E-10	2.617520E-10	9.572030E-11	2.749730E-12
-1.950000E+0	2.693410E-10	2.617220E-10	9.602110E-11	2.760840E-12
-1.900000E+0	2.691720E-10	2.616890E-10	9.607900E-11	2.759020E-12
-1.850000E+0	2.690170E-10	2.616720E-10	9.629230E-11	2.764470E-12
-1.800000E+0	2.688550E-10	2.616940E-10	9.618930E-11	2.763690E-12
-1.750000E+0	2.692000E-10	2.618120E-10	9.632650E-11	2.786260E-12
-1.700000E+0	2.691580E-10	2.619390E-10	9.615770E-11	2.782660E-12
-1.650000E+0	2.694010E-10	2.622110E-10	9.626530E-11	2.772300E-12
-1.600000E+0	2.694690E-10	2.625870E-10	9.639060E-11	2.778190E-12
-1.550000E+0	2.700100E-10	2.630550E-10	9.633640E-11	2.789110E-12
-1.500000E+0	2.705290E-10	2.636390E-10	9.648620E-11	2.801780E-12
-1.450000E+0	2.712990E-10	2.643750E-10	9.651090E-11	2.806910E-12
-1.400000E+0	2.721950E-10	2.653030E-10	9.636650E-11	2.824100E-12
-1.350000E+0	2.733170E-10	2.663530E-10	9.628760E-11	2.829960E-12
-1.300000E+0	2.749670E-10	2.676140E-10	9.619750E-11	2.840300E-12
-1.250000E+0	2.773050E-10	2.691170E-10	9.605770E-11	2.846730E-12
-1.200000E+0	2.808100E-10	2.710250E-10	9.585430E-11	2.837560E-12
-1.150000E+0	2.864430E-10	2.736080E-10	9.552950E-11	2.843090E-12
-1.100000E+0	2.963580E-10	2.772290E-10	9.499720E-11	2.833600E-12
-1.050000E+0	3.106240E-10	2.830650E-10	9.399900E-11	2.807150E-12
-1.000000E+0	3.276200E-10	2.930400E-10	9.224410E-11	2.783370E-12
-9.500000E-1	3.461140E-10	3.096720E-10	8.933280E-11	2.723810E-12
-9.000000E-1	3.666770E-10	3.343690E-10	8.482990E-11	2.628200E-12
-8.500000E-1	3.908260E-10	3.678320E-10	7.908820E-11	2.486090E-12
-8.000000E-1	4.214460E-10	4.100530E-10	7.348740E-11	2.325320E-12
-7.500000E-1	4.599600E-10	4.599240E-10	6.805830E-11	2.117740E-12
-7.000000E-1	5.093130E-10	5.132420E-10	6.401830E-11	1.897770E-12
-6.500000E-1	5.684490E-10	5.704330E-10	6.116130E-11	1.673570E-12
-6.000000E-1	6.347740E-10	6.228280E-10	5.976710E-11	1.460520E-12
-5.500000E-1	7.024370E-10	6.680270E-10	5.879200E-11	1.280460E-12
-5.000000E-1	7.655050E-10	7.053370E-10	5.852580E-11	1.138500E-12
-4.500000E-1	8.201350E-10	7.356760E-10	5.823630E-11	1.018780E-12
-4.000000E-1	8.658840E-10	7.601760E-10	5.830630E-11	9.420390E-13
-3.500000E-1	9.035600E-10	7.801460E-10	5.830850E-11	8.971310E-13
-3.000000E-1	9.347570E-10	7.965520E-10	5.819700E-11	8.791680E-13
-2.500000E-1	9.605310E-10	8.099370E-10	5.810860E-11	8.838410E-13
-2.000000E-1	9.824450E-10	8.212420E-10	5.815250E-11	9.098120E-13
-1.500000E-1	1.000880E-9	8.313640E-10	5.795880E-11	9.379780E-13
-1.000000E-1	1.016850E-9	8.392250E-10	5.801780E-11	9.782010E-13
-5.000000E-2	1.030560E-9	8.460570E-10	5.796530E-11	1.024860E-12
0.000000E+0	1.042360E-9	8.523000E-10	5.787670E-11	1.059150E-12
5.000000E-2	1.052980E-9	8.571490E-10	5.783100E-11	1.104040E-12
1.000000E-1	1.062600E-9	8.621280E-10	5.782400E-11	1.138930E-12
1.500000E-1	1.070550E-9	8.660620E-10	5.785380E-11	1.168770E-12
2.000000E-1	1.078140E-9	8.698260E-10	5.780010E-11	1.210800E-12
2.500000E-1	1.084460E-9	8.728670E-10	5.763670E-11	1.237090E-12
3.000000E-1	1.090610E-9	8.758590E-10	5.769620E-11	1.265870E-12
3.500000E-1	1.096270E-9	8.782520E-10	5.762930E-11	1.290790E-12
4.000000E-1	1.101370E-9	8.808670E-10	5.741670E-11	1.330220E-12
4.500000E-1	1.105420E-9	8.829260E-10	5.759110E-11	1.337270E-12
5.000000E-1	1.109740E-9	8.844040E-10	5.754490E-11	1.367120E-12
