V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	1.521400E-2	8.652650E-2	7.741360E-1	3.673040E+0
-2.950000E+0	1.469840E-2	8.615550E-2	7.741770E-1	3.674710E+0
-2.900000E+0	1.578630E-2	8.606890E-2	7.738220E-1	3.674160E+0
-2.850000E+0	1.629410E-2	8.644380E-2	7.741130E-1	3.677970E+0
-2.800000E+0	1.514040E-2	8.638500E-2	7.741610E-1	3.683880E+0
-2.750000E+0	1.760630E-2	8.589740E-2	7.738720E-1	3.678780E+0
-2.700000E+0	1.624810E-2	8.573950E-2	7.741430E-1	3.673460E+0
-2.650000E+0	1.692800E-2	8.641840E-2	7.742950E-1	3.673560E+0
-2.600000E+0	1.732670E-2	8.738980E-2	7.742650E-1	3.661140E+0
-2.550000E+0	1.688700E-2	8.786230E-2	7.748020E-1	3.656650E+0
-2.500000E+0	1.830340E-2	8.810470E-2	7.753150E-1	3.652980E+0
-2.450000E+0	1.761110E-2	8.864400E-2	7.763800E-1	3.653110E+0
-2.400000E+0	1.718960E-2	9.050390E-2	7.776570E-1	3.653840E+0
-2.350000E+0	1.898300E-2	9.252450E-2	7.805640E-1	3.648300E+0
-2.300000E+0	1.956150E-2	9.637170E-2	7.848200E-1	3.656220E+0
-2.250000E+0	2.420330E-2	1.029580E-1	7.923620E-1	3.657850E+0
-2.200000E+0	3.066220E-2	1.122410E-1	8.054420E-1	3.660640E+0
-2.150000E+0	4.256470E-2	1.232980E-1	8.255150E-1	3.669240E+0
-2.100000E+0	5.565060E-2	1.334980E-1	8.589830E-1	3.695440E+0
-2.050000E+0	6.494370E-2	1.420020E-1	9.118010E-1	3.745240E+0
-2.000000E+0	6.969730E-2	1.486400E-1	9.913680E-1	3.831590E+0
-1.950000E+0	6.875010E-2	1.541520E-1	1.102500E+0	3.977280E+0
-1.900000E+0	6.784950E-2	1.599070E-1	1.246070E+0	4.204480E+0
-1.850000E+0	6.290540E-2	1.673670E-1	1.407390E+0	4.538260E+0
-1.800000E+0	5.692850E-2	1.768270E-1	1.568220E+0	5.003980E+0
-1.750000E+0	5.187630E-2	1.882320E-1	1.707560E+0	5.630840E+0
-1.700000E+0	4.478550E-2	2.021670E-1	1.815370E+0	6.385600E+0
-1.650000E+0	3.881340E-2	2.158650E-1	1.892830E+0	7.224200E+0
-1.600000E+0	3.434920E-2	2.287580E-1	1.947620E+0	8.014180E+0
-1.550000E+0	3.038290E-2	2.400680E-1	1.986660E+0	8.618120E+0
-1.500000E+0	2.916500E-2	2.496750E-1	2.013850E+0	8.965350E+0
-1.450000E+0	2.877370E-2	2.572680E-1	2.035150E+0	9.114280E+0
-1.400000E+0	2.843400E-2	2.636340E-1	2.051930E+0	9.097540E+0
-1.350000E+0	2.883680E-2	2.689400E-1	2.065300E+0	8.971690E+0
-1.300000E+0	2.945720E-2	2.732970E-1	2.075820E+0	8.795680E+0
-1.250000E+0	3.019340E-2	2.771900E-1	2.084970E+0	8.612750E+0
-1.200000E+0	3.004400E-2	2.804910E-1	2.091450E+0	8.445590E+0
-1.150000E+0	3.053300E-2	2.831430E-1	2.096750E+0	8.266040E+0
-1.100000E+0	3.083490E-2	2.853870E-1	2.100090E+0	8.103860E+0
-1.050000E+0	3.091560E-2	2.875890E-1	2.105950E+0	7.962160E+0
-1.000000E+0	3.154670E-2	2.892720E-1	2.111380E+0	7.841730E+0
-9.500000E-1	3.204010E-2	2.910050E-1	2.114220E+0	7.716440E+0
-9.000000E-1	3.171550E-2	2.926560E-1	2.117500E+0	7.597140E+0
-8.500000E-1	3.194500E-2	2.940180E-1	2.121250E+0	7.510030E+0
-8.000000E-1	3.225140E-2	2.952670E-1	2.124370E+0	7.433640E+0
-7.500000E-1	3.191370E-2	2.960620E-1	2.126050E+0	7.354590E+0
-7.000000E-1	3.232860E-2	2.973770E-1	2.128380E+0	7.361700E+0
-6.500000E-1	3.246600E-2	2.983270E-1	2.130460E+0	7.287740E+0
-6.000000E-1	3.223690E-2	2.990830E-1	2.132380E+0	7.307040E+0
-5.500000E-1	3.275070E-2	2.995870E-1	2.133550E+0	7.311160E+0
-5.000000E-1	3.298520E-2	3.000300E-1	2.135230E+0	7.276170E+0
-4.500000E-1	3.285250E-2	3.008720E-1	2.136560E+0	7.234750E+0
-4.000000E-1	3.314820E-2	3.016800E-1	2.139490E+0	7.186960E+0
-3.500000E-1	3.289460E-2	3.024490E-1	2.143120E+0	7.162560E+0
-3.000000E-1	3.316910E-2	3.029020E-1	2.143070E+0	7.129450E+0
-2.500000E-1	3.311990E-2	3.036040E-1	2.143280E+0	7.082860E+0
-2.000000E-1	3.323380E-2	3.041890E-1	2.143780E+0	7.057990E+0
-1.500000E-1	3.340700E-2	3.047040E-1	2.143920E+0	7.024020E+0
-1.000000E-1	3.291860E-2	3.052620E-1	2.146710E+0	7.014900E+0
-5.000000E-2	3.331770E-2	3.054690E-1	2.148270E+0	6.975790E+0
0.000000E+0	3.381710E-2	3.056820E-1	2.147440E+0	6.923650E+0
5.000000E-2	3.333110E-2	3.059640E-1	2.148260E+0	6.891370E+0
1.000000E-1	3.342730E-2	3.063120E-1	2.149540E+0	6.855290E+0
1.500000E-1	3.343830E-2	3.064470E-1	2.150050E+0	6.824740E+0
2.000000E-1	3.321470E-2	3.067530E-1	2.151760E+0	6.781610E+0
2.500000E-1	3.357880E-2	3.071380E-1	2.154280E+0	6.764120E+0
3.000000E-1	3.385590E-2	3.073820E-1	2.153600E+0	6.760050E+0
3.500000E-1	3.342710E-2	3.078180E-1	2.154430E+0	6.746210E+0
4.000000E-1	3.358610E-2	3.079170E-1	2.155080E+0	6.746020E+0
4.500000E-1	3.374530E-2	3.080750E-1	2.155180E+0	6.737040E+0
5.000000E-1	3.384400E-2	3.082350E-1	2.155050E+0	6.725360E+0
5.500000E-1	3.355260E-2	3.087410E-1	2.156610E+0	6.743330E+0
6.000000E-1	3.403960E-2	3.087500E-1	2.158900E+0	6.739230E+0
6.500000E-1	3.406860E-2	3.092730E-1	2.157780E+0	6.728350E+0
7.000000E-1	3.387520E-2	3.095390E-1	2.158310E+0	6.717030E+0
7.500000E-1	3.413110E-2	3.095320E-1	2.159080E+0	6.709920E+0
8.000000E-1	3.403170E-2	3.096780E-1	2.156940E+0	6.698960E+0
8.500000E-1	3.401150E-2	3.096880E-1	2.157710E+0	6.681790E+0
9.000000E-1	3.419580E-2	3.094050E-1	2.159580E+0	6.657990E+0
9.500000E-1	3.378820E-2	3.094530E-1	2.160350E+0	6.622820E+0
1.000000E+0	3.406120E-2	3.096540E-1	2.161430E+0	6.636570E+0
1.050000E+0	3.396770E-2	3.096560E-1	2.160620E+0	6.632220E+0
1.100000E+0	3.391090E-2	3.100010E-1	2.159360E+0	6.604220E+0
1.150000E+0	3.404720E-2	3.101160E-1	2.158890E+0	6.596090E+0
1.200000E+0	3.450170E-2	3.106150E-1	2.161930E+0	6.584750E+0
1.250000E+0	3.380720E-2	3.107180E-1	2.161880E+0	6.569650E+0
1.300000E+0	3.419430E-2	3.107810E-1	2.158940E+0	6.562550E+0
1.350000E+0	3.417490E-2	3.107020E-1	2.161460E+0	6.552810E+0
1.400000E+0	3.421600E-2	3.106070E-1	2.160530E+0	6.552110E+0
1.450000E+0	3.448820E-2	3.107760E-1	2.161770E+0	6.543620E+0
1.500000E+0	3.469800E-2	3.109710E-1	2.161880E+0	6.559900E+0
1.550000E+0	3.434860E-2	3.110700E-1	2.161750E+0	6.564870E+0
1.600000E+0	3.450690E-2	3.110770E-1	2.160760E+0	6.560090E+0
1.650000E+0	3.455670E-2	3.113490E-1	2.160570E+0	6.549730E+0
1.700000E+0	3.424820E-2	3.111650E-1	2.164160E+0	6.558070E+0
1.750000E+0	3.452330E-2	3.114200E-1	2.163160E+0	6.556990E+0
1.800000E+0	3.461670E-2	3.117400E-1	2.163390E+0	6.548130E+0
1.850000E+0	3.439750E-2	3.120760E-1	2.163580E+0	6.537900E+0
1.900000E+0	3.465480E-2	3.120090E-1	2.163160E+0	6.537940E+0
1.950000E+0	3.472870E-2	3.119430E-1	2.163360E+0	6.517200E+0
