V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	2.357920E-10	1.995400E-10	1.403110E-11	1.588590E-13
-2.950000E+0	2.359450E-10	1.995480E-10	1.404080E-11	1.586620E-13
-2.900000E+0	2.357840E-10	1.995340E-10	1.406280E-11	1.587000E-13
-2.850000E+0	2.357430E-10	1.995320E-10	1.405340E-11	1.579550E-13
-2.800000E+0	2.357900E-10	1.995090E-10	1.405700E-11	1.536870E-13
-2.750000E+0	2.357140E-10	1.995290E-10	1.403820E-11	1.536250E-13
-2.700000E+0	2.359760E-10	1.995470E-10	1.407650E-11	1.556870E-13
-2.650000E+0	2.356230E-10	1.995670E-10	1.403110E-11	1.591400E-13
-2.600000E+0	2.357800E-10	1.995860E-10	1.405040E-11	1.540920E-13
-2.550000E+0	2.358130E-10	1.995790E-10	1.403860E-11	1.541840E-13
-2.500000E+0	2.356240E-10	1.995600E-10	1.408120E-11	1.504750E-13
-2.450000E+0	2.358260E-10	1.995830E-10	1.407220E-11	1.547660E-13
-2.400000E+0	2.357210E-10	1.995260E-10	1.408940E-11	1.529940E-13
-2.350000E+0	2.357230E-10	1.995890E-10	1.405110E-11	1.544240E-13
-2.300000E+0	2.357700E-10	1.996050E-10	1.404950E-11	1.557040E-13
-2.250000E+0	2.357490E-10	1.995230E-10	1.403560E-11	1.589910E-13
-2.200000E+0	2.358000E-10	1.995600E-10	1.403260E-11	1.548080E-13
-2.150000E+0	2.357220E-10	1.995620E-10	1.404340E-11	1.571290E-13
-2.100000E+0	2.357550E-10	1.996590E-10	1.404830E-11	1.613510E-13
-2.050000E+0	2.358710E-10	1.996490E-10	1.402510E-11	1.614250E-13
-2.000000E+0	2.357110E-10	1.996270E-10	1.404080E-11	1.574410E-13
-1.950000E+0	2.358620E-10	1.995840E-10	1.405080E-11	1.577750E-13
-1.900000E+0	2.358940E-10	1.995760E-10	1.406510E-11	1.627450E-13
-1.850000E+0	2.357890E-10	1.996800E-10	1.404380E-11	1.650530E-13
-1.800000E+0	2.358230E-10	1.996700E-10	1.407360E-11	1.620720E-13
-1.750000E+0	2.359630E-10	1.997670E-10	1.408460E-11	1.658260E-13
-1.700000E+0	2.358730E-10	1.998340E-10	1.407060E-11	1.674040E-13
-1.650000E+0	2.360330E-10	1.997890E-10	1.404250E-11	1.690840E-13
-1.600000E+0	2.360880E-10	1.997920E-10	1.405400E-11	1.730160E-13
-1.550000E+0	2.359570E-10	1.997770E-10	1.408100E-11	1.703350E-13
-1.500000E+0	2.362310E-10	1.997880E-10	1.406550E-11	1.730340E-13
-1.450000E+0	2.361260E-10	1.997590E-10	1.405010E-11	1.734030E-13
-1.400000E+0	2.362060E-10	1.997390E-10	1.405680E-11	1.730670E-13
-1.350000E+0	2.363710E-10	1.997850E-10	1.405070E-11	1.762430E-13
-1.300000E+0	2.363070E-10	1.998750E-10	1.403230E-11	1.770020E-13
-1.250000E+0	2.364290E-10	1.999440E-10	1.404690E-11	1.757320E-13
-1.200000E+0	2.364290E-10	1.999250E-10	1.405180E-11	1.742560E-13
-1.150000E+0	2.365540E-10	1.999720E-10	1.407750E-11	1.763210E-13
-1.100000E+0	2.365690E-10	2.000860E-10	1.405500E-11	1.781630E-13
-1.050000E+0	2.364240E-10	2.000780E-10	1.406240E-11	1.759420E-13
-1.000000E+0	2.367130E-10	2.001820E-10	1.407990E-11	1.781590E-13
-9.500000E-1	2.366350E-10	2.002530E-10	1.403130E-11	1.728420E-13
-9.000000E-1	2.367740E-10	2.003100E-10	1.402580E-11	1.766550E-13
-8.500000E-1	2.369860E-10	2.003470E-10	1.404110E-11	1.736540E-13
-8.000000E-1	2.368690E-10	2.003570E-10	1.401740E-11	1.729760E-13
-7.500000E-1	2.371360E-10	2.004190E-10	1.403310E-11	1.745230E-13
-7.000000E-1	2.372350E-10	2.004160E-10	1.402790E-11	1.734190E-13
-6.500000E-1	2.372880E-10	2.004800E-10	1.402510E-11	1.685030E-13
-6.000000E-1	2.374450E-10	2.005030E-10	1.400900E-11	1.726710E-13
-5.500000E-1	2.377540E-10	2.006980E-10	1.399750E-11	1.707120E-13
-5.000000E-1	2.377890E-10	2.009080E-10	1.398090E-11	1.680680E-13
-4.500000E-1	2.382830E-10	2.012100E-10	1.395640E-11	1.700010E-13
-4.000000E-1	2.388860E-10	2.015780E-10	1.392980E-11	1.676120E-13
-3.500000E-1	2.396390E-10	2.020090E-10	1.393470E-11	1.702220E-13
-3.000000E-1	2.407840E-10	2.026870E-10	1.390420E-11	1.671180E-13
-2.500000E-1	2.429530E-10	2.034900E-10	1.385790E-11	1.683330E-13
-2.000000E-1	2.480350E-10	2.049430E-10	1.378650E-11	1.710210E-13
-1.500000E-1	2.598580E-10	2.078180E-10	1.363970E-11	1.686940E-13
-1.000000E-1	2.869320E-10	2.143610E-10	1.330250E-11	1.723380E-13
-5.000000E-2	3.528270E-10	2.314320E-10	1.247200E-11	1.632080E-13
0.000000E+0	4.829920E-10	2.631580E-10	1.062750E-11	1.490140E-13
5.000000E-2	6.466580E-10	2.914250E-10	7.686090E-12	1.062500E-13
1.000000E-1	7.783780E-10	3.011330E-10	5.707970E-12	4.749490E-14
1.500000E-1	8.635650E-10	3.009040E-10	5.144780E-12	1.498160E-17
2.000000E-1	9.168680E-10	2.986400E-10	5.046290E-12	-3.792280E-14
2.500000E-1	9.521780E-10	2.963650E-10	5.035810E-12	-6.483340E-14
3.000000E-1	9.766470E-10	2.947060E-10	5.067740E-12	-6.900900E-14
3.500000E-1	9.948900E-10	2.934750E-10	5.078220E-12	-5.184240E-14
4.000000E-1	1.008490E-9	2.926030E-10	5.080280E-12	-3.237110E-14
4.500000E-1	1.019190E-9	2.915190E-10	5.089390E-12	-9.086990E-15
5.000000E-1	1.028120E-9	2.907910E-10	5.099260E-12	8.543320E-15
5.500000E-1	1.034910E-9	2.903190E-10	5.087230E-12	2.884150E-14
6.000000E-1	1.041240E-9	2.888730E-10	5.092640E-12	4.129770E-14
6.500000E-1	1.046290E-9	2.891000E-10	5.087450E-12	5.370830E-14
7.000000E-1	1.050770E-9	2.885720E-10	5.077440E-12	6.606410E-14
7.500000E-1	1.054980E-9	2.879530E-10	5.081930E-12	7.683090E-14
8.000000E-1	1.058260E-9	2.877360E-10	5.088500E-12	8.485300E-14
8.500000E-1	1.061010E-9	2.875660E-10	5.100280E-12	8.931250E-14
9.000000E-1	1.063480E-9	2.875470E-10	5.092180E-12	9.656330E-14
9.500000E-1	1.066230E-9	2.871160E-10	5.101690E-12	1.034870E-13
1.000000E+0	1.068580E-9	2.869930E-10	5.108920E-12	1.085560E-13
