V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	4.590750E-2	4.165710E-1	3.866530E+0	3.735250E+1
-2.950000E+0	4.633450E-2	4.161360E-1	3.863190E+0	3.740380E+1
-2.900000E+0	4.656700E-2	4.162050E-1	3.860240E+0	3.738340E+1
-2.850000E+0	4.724640E-2	4.161650E-1	3.861740E+0	3.756990E+1
-2.800000E+0	4.679970E-2	4.160760E-1	3.861180E+0	3.864690E+1
-2.750000E+0	4.600380E-2	4.158930E-1	3.862730E+0	3.866370E+1
-2.700000E+0	4.646560E-2	4.159580E-1	3.857670E+0	3.813920E+1
-2.650000E+0	4.660100E-2	4.159100E-1	3.863400E+0	3.732190E+1
-2.600000E+0	4.624070E-2	4.156460E-1	3.861070E+0	3.855780E+1
-2.550000E+0	4.622130E-2	4.157030E-1	3.862670E+0	3.852940E+1
-2.500000E+0	4.671360E-2	4.157990E-1	3.855420E+0	3.950780E+1
-2.450000E+0	4.646000E-2	4.157010E-1	3.857420E+0	3.839020E+1
-2.400000E+0	4.640530E-2	4.161420E-1	3.853210E+0	3.882190E+1
-2.350000E+0	4.666980E-2	4.157860E-1	3.859800E+0	3.849880E+1
-2.300000E+0	4.596540E-2	4.157030E-1	3.859710E+0	3.819080E+1
-2.250000E+0	4.598690E-2	4.162830E-1	3.860950E+0	3.739950E+1
-2.200000E+0	4.616860E-2	4.162330E-1	3.861290E+0	3.838910E+1
-2.150000E+0	4.611550E-2	4.163030E-1	3.860120E+0	3.790420E+1
-2.100000E+0	4.633810E-2	4.157340E-1	3.858550E+0	3.688940E+1
-2.050000E+0	4.588860E-2	4.158470E-1	3.862970E+0	3.693050E+1
-2.000000E+0	4.609310E-2	4.160370E-1	3.861420E+0	3.780810E+1
-1.950000E+0	4.585100E-2	4.165740E-1	3.859280E+0	3.775390E+1
-1.900000E+0	4.640250E-2	4.158510E-1	3.857390E+0	3.656310E+1
-1.850000E+0	4.646150E-2	4.155340E-1	3.860120E+0	3.604680E+1
-1.800000E+0	4.579020E-2	4.160670E-1	3.855850E+0	3.675110E+1
-1.750000E+0	4.619650E-2	4.163060E-1	3.853620E+0	3.594100E+1
-1.700000E+0	4.649290E-2	4.164370E-1	3.855310E+0	3.555200E+1
-1.650000E+0	4.556350E-2	4.167790E-1	3.859780E+0	3.523500E+1
-1.600000E+0	4.618010E-2	4.169330E-1	3.859640E+0	3.440890E+1
-1.550000E+0	4.618300E-2	4.172720E-1	3.854080E+0	3.494190E+1
-1.500000E+0	4.600190E-2	4.173490E-1	3.857070E+0	3.440690E+1
-1.450000E+0	4.611120E-2	4.176260E-1	3.858860E+0	3.430600E+1
-1.400000E+0	4.571740E-2	4.180740E-1	3.859050E+0	3.436160E+1
-1.350000E+0	4.603600E-2	4.177290E-1	3.858610E+0	3.378180E+1
-1.300000E+0	4.563370E-2	4.174490E-1	3.861380E+0	3.363130E+1
-1.250000E+0	4.593890E-2	4.171430E-1	3.859980E+0	3.388540E+1
-1.200000E+0	4.605130E-2	4.175700E-1	3.858420E+0	3.412990E+1
-1.150000E+0	4.571540E-2	4.176710E-1	3.854410E+0	3.376910E+1
-1.100000E+0	4.594390E-2	4.177500E-1	3.857610E+0	3.340090E+1
-1.050000E+0	4.597940E-2	4.182600E-1	3.857430E+0	3.382660E+1
-1.000000E+0	4.599510E-2	4.181160E-1	3.855320E+0	3.338120E+1
-9.500000E-1	4.599810E-2	4.181490E-1	3.862690E+0	3.442180E+1
-9.000000E-1	4.518150E-2	4.187360E-1	3.863080E+0	3.364570E+1
-8.500000E-1	4.557910E-2	4.190230E-1	3.861750E+0	3.428720E+1
-8.000000E-1	4.562800E-2	4.196130E-1	3.863990E+0	3.443060E+1
-7.500000E-1	4.570150E-2	4.195730E-1	3.864210E+0	3.411540E+1
-7.000000E-1	4.608590E-2	4.200650E-1	3.865120E+0	3.427460E+1
-6.500000E-1	4.624700E-2	4.201920E-1	3.864560E+0	3.529490E+1
-6.000000E-1	4.598410E-2	4.209180E-1	3.869860E+0	3.447800E+1
-5.500000E-1	4.629040E-2	4.207660E-1	3.872060E+0	3.485760E+1
-5.000000E-1	4.614260E-2	4.207130E-1	3.876570E+0	3.540190E+1
-4.500000E-1	4.614200E-2	4.209990E-1	3.885710E+0	3.503830E+1
-4.000000E-1	4.685780E-2	4.215940E-1	3.893150E+0	3.552950E+1
-3.500000E-1	4.696750E-2	4.230920E-1	3.899200E+0	3.499170E+1
-3.000000E-1	4.900760E-2	4.243780E-1	3.912280E+0	3.574730E+1
-2.500000E-1	5.234600E-2	4.278670E-1	3.928050E+0	3.547490E+1
-2.000000E-1	5.969030E-2	4.339570E-1	3.958910E+0	3.499580E+1
-1.500000E-1	6.876710E-2	4.487410E-1	4.018580E+0	3.558420E+1
-1.000000E-1	7.637720E-2	4.886730E-1	4.151270E+0	3.502860E+1
-5.000000E-2	8.599660E-2	5.865420E-1	4.480590E+0	3.725080E+1
0.000000E+0	9.945870E-2	7.691340E-1	5.360780E+0	4.128700E+1
5.000000E-2	1.158440E-1	1.003180E+0	7.653270E+0	5.879080E+1
1.000000E-1	1.318080E-1	1.205690E+0	1.075070E+1	1.335820E+2
1.500000E-1	1.431590E-1	1.343730E+0	1.226870E+1	4.302550E+5
2.000000E-1	1.502540E-1	1.431760E+0	1.268800E+1	1.725690E+2
2.500000E-1	1.552130E-1	1.489110E+0	1.280610E+1	1.021580E+2
3.000000E-1	1.584010E-1	1.527970E+0	1.278500E+1	9.718400E+1
3.500000E-1	1.611220E-1	1.555540E+0	1.280400E+1	1.307000E+2
4.000000E-1	1.627240E-1	1.576840E+0	1.282130E+1	2.111580E+2
4.500000E-1	1.644170E-1	1.594930E+0	1.282020E+1	7.562410E+2
5.000000E-1	1.657990E-1	1.608220E+0	1.281140E+1	8.073350E+2
5.500000E-1	1.669220E-1	1.619290E+0	1.283050E+1	2.394950E+2
6.000000E-1	1.678440E-1	1.632460E+0	1.282830E+1	1.676000E+2
6.500000E-1	1.686520E-1	1.637940E+0	1.283950E+1	1.290600E+2
7.000000E-1	1.692340E-1	1.645370E+0	1.286770E+1	1.050170E+2
7.500000E-1	1.700270E-1	1.652330E+0	1.286030E+1	9.052010E+1
8.000000E-1	1.703210E-1	1.657910E+0	1.285810E+1	8.191680E+1
8.500000E-1	1.710080E-1	1.661610E+0	1.284730E+1	7.790790E+1
9.000000E-1	1.715900E-1	1.664660E+0	1.286740E+1	7.208900E+1
9.500000E-1	1.717670E-1	1.668410E+0	1.284650E+1	6.738030E+1
1.000000E+0	1.721940E-1	1.671620E+0	1.283720E+1	6.438460E+1
1.050000E+0	1.725340E-1	1.677120E+0	1.286260E+1	6.407040E+1
1.100000E+0	1.730450E-1	1.679870E+0	1.288220E+1	5.874710E+1
1.150000E+0	1.728870E-1	1.681320E+0	1.286560E+1	5.596830E+1
1.200000E+0	1.734590E-1	1.682160E+0	1.286600E+1	5.394200E+1
1.250000E+0	1.735740E-1	1.685720E+0	1.288540E+1	5.218400E+1
1.300000E+0	1.737330E-1	1.687950E+0	1.287990E+1	4.786740E+1
1.350000E+0	1.731280E-1	1.689120E+0	1.287190E+1	4.712170E+1
1.400000E+0	1.740980E-1	1.692730E+0	1.290280E+1	4.634480E+1
1.450000E+0	1.742550E-1	1.693870E+0	1.292400E+1	4.343160E+1
1.500000E+0	1.744800E-1	1.697340E+0	1.291840E+1	4.251370E+1
1.550000E+0	1.748930E-1	1.698410E+0	1.291240E+1	4.046460E+1
1.600000E+0	1.748350E-1	1.700060E+0	1.290040E+1	4.084050E+1
1.650000E+0	1.751890E-1	1.702320E+0	1.289730E+1	3.976130E+1
1.700000E+0	1.752540E-1	1.702830E+0	1.291760E+1	3.938180E+1
1.750000E+0	1.754920E-1	1.703280E+0	1.292160E+1	3.995260E+1
1.800000E+0	1.752690E-1	1.703040E+0	1.292130E+1	3.962570E+1
1.850000E+0	1.756840E-1	1.703060E+0	1.292470E+1	3.938970E+1
1.900000E+0	1.754390E-1	1.704400E+0	1.291760E+1	4.020510E+1
1.950000E+0	1.757030E-1	1.704300E+0	1.289600E+1	4.028960E+1
2.000000E+0	1.758080E-1	1.704820E+0	1.292180E+1	4.013580E+1
2.050000E+0	1.757840E-1	1.706030E+0	1.294430E+1	4.083660E+1
2.100000E+0	1.757290E-1	1.706090E+0	1.293380E+1	4.027580E+1
2.150000E+0	1.762240E-1	1.709110E+0	1.293470E+1	4.066680E+1
2.200000E+0	1.761260E-1	1.709500E+0	1.292120E+1	3.923420E+1
2.250000E+0	1.762950E-1	1.710050E+0	1.291000E+1	3.885120E+1
2.300000E+0	1.762790E-1	1.710370E+0	1.288670E+1	3.822060E+1
2.350000E+0	1.761720E-1	1.710490E+0	1.291530E+1	3.814260E+1
2.400000E+0	1.762050E-1	1.711380E+0	1.293480E+1	3.770790E+1
2.450000E+0	1.766140E-1	1.711090E+0	1.293160E+1	3.754710E+1
2.500000E+0	1.764300E-1	1.710010E+0	1.294130E+1	3.689990E+1
2.550000E+0	1.762500E-1	1.711210E+0	1.292020E+1	3.536610E+1
2.600000E+0	1.766180E-1	1.710020E+0	1.294460E+1	3.575960E+1
2.650000E+0	1.766240E-1	1.710030E+0	1.293670E+1	3.485120E+1
2.700000E+0	1.767830E-1	1.708190E+0	1.294230E+1	3.506050E+1
2.750000E+0	1.765450E-1	1.706700E+0	1.293140E+1	3.443450E+1
2.800000E+0	1.766800E-1	1.708610E+0	1.290900E+1	3.438130E+1
2.850000E+0	1.766210E-1	1.710390E+0	1.292460E+1	3.481940E+1
2.900000E+0	1.767930E-1	1.710750E+0	1.290590E+1	3.502680E+1
2.950000E+0	1.769380E-1	1.713570E+0	1.291310E+1	3.437460E+1
3.000000E+0	1.768720E-1	1.715110E+0	1.291560E+1	3.619310E+1
