V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	-5.887750E-3	-6.447330E-2	-1.052500E-2	-4.816250E-2
-2.950000E+0	2.290950E-1	-8.132930E-2	-8.280250E-3	-4.101780E-2
-2.900000E+0	-4.902090E-2	-1.387390E-1	-1.341760E-2	-6.867240E-2
-2.850000E+0	2.256060E-2	-1.606730E-1	-9.506440E-3	-7.702610E-2
-2.800000E+0	-1.484510E-2	-1.753650E-1	-1.218310E-2	-7.203750E-2
-2.750000E+0	-1.038330E-1	-1.271440E-1	-2.591030E-3	-6.874890E-2
-2.700000E+0	1.356820E-2	-6.781090E-2	-1.111710E-2	-7.408990E-2
-2.650000E+0	-1.714920E-2	1.821660E-2	-1.412920E-2	-6.099590E-2
-2.600000E+0	3.675800E-2	6.757670E-2	-1.195920E-2	-6.897120E-2
-2.550000E+0	7.479540E-2	1.251930E-1	-9.740390E-3	-5.583200E-2
-2.500000E+0	-4.017820E-3	1.292400E-1	-4.015840E-3	-6.045240E-2
-2.450000E+0	-4.787320E-2	2.018960E-1	-8.532730E-3	-3.111260E-2
-2.400000E+0	7.974850E-2	2.741730E-2	-1.150130E-2	-2.244580E-2
-2.350000E+0	-5.840650E-2	3.321430E-2	-2.883220E-3	-1.827100E-2
-2.300000E+0	1.016550E-1	5.943920E-2	-8.159740E-5	3.252150E-3
-2.250000E+0	7.463440E-2	1.301580E-1	1.443910E-2	9.386990E-3
-2.200000E+0	1.235400E-1	1.074810E-1	3.276590E-2	4.224180E-2
-2.150000E+0	1.832820E-1	1.370180E-1	5.932870E-2	5.015080E-2
-2.100000E+0	1.656270E-1	1.460730E-1	9.605850E-2	7.499900E-2
-2.050000E+0	1.638080E-1	1.470030E-1	1.420940E-1	1.073340E-1
-2.000000E+0	8.675270E-2	1.275690E-1	1.989510E-1	1.287850E-1
-1.950000E+0	5.646260E-2	1.101890E-1	2.565890E-1	1.708020E-1
-1.900000E+0	6.338000E-2	9.909320E-2	3.024840E-1	2.231170E-1
-1.850000E+0	5.201930E-2	7.243040E-2	3.168710E-1	2.781790E-1
-1.800000E+0	6.426210E-2	6.559640E-2	3.109420E-1	3.561870E-1
-1.750000E+0	3.195810E-2	5.054740E-2	2.874900E-1	4.253500E-1
-1.700000E+0	5.377110E-2	3.541910E-2	2.549480E-1	4.880750E-1
-1.650000E+0	1.875310E-2	3.547580E-2	2.162570E-1	5.506600E-1
-1.600000E+0	2.328830E-2	3.009150E-2	1.859710E-1	6.004480E-1
-1.550000E+0	2.754210E-2	3.038790E-2	1.572560E-1	6.324230E-1
