V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	3.711330E-13	3.879840E-13	3.972040E-13	4.016550E-13
-2.950000E+0	4.508310E-13	3.911840E-13	3.965750E-13	4.021600E-13
-2.900000E+0	5.135310E-13	3.848340E-13	3.976330E-13	4.032910E-13
-2.850000E+0	3.664940E-13	3.920040E-13	3.975450E-13	4.030550E-13
-2.800000E+0	4.265210E-13	3.883220E-13	3.984460E-13	4.037060E-13
-2.750000E+0	4.260600E-13	3.885420E-13	3.991030E-13	4.047000E-13
-2.700000E+0	4.241270E-13	3.872600E-13	3.996220E-13	4.047860E-13
-2.650000E+0	3.883300E-13	3.971930E-13	4.006450E-13	4.056420E-13
-2.600000E+0	3.923240E-13	3.927260E-13	4.001160E-13	4.063130E-13
-2.550000E+0	4.578080E-13	3.873910E-13	4.013810E-13	4.067900E-13
-2.500000E+0	3.742710E-13	3.871700E-13	4.018550E-13	4.073910E-13
-2.450000E+0	4.259100E-13	3.869420E-13	4.019250E-13	4.081070E-13
-2.400000E+0	3.907290E-13	3.892210E-13	4.028490E-13	4.084680E-13
-2.350000E+0	4.581800E-13	3.916820E-13	4.023740E-13	4.086280E-13
-2.300000E+0	4.139310E-13	3.866670E-13	4.043770E-13	4.102110E-13
-2.250000E+0	4.175100E-13	3.896340E-13	4.039920E-13	4.104030E-13
-2.200000E+0	4.395000E-13	3.927650E-13	4.041930E-13	4.113150E-13
-2.150000E+0	4.455590E-13	3.858030E-13	4.053300E-13	4.116330E-13
-2.100000E+0	3.727390E-13	3.904430E-13	4.049590E-13	4.128620E-13
-2.050000E+0	3.908580E-13	3.927740E-13	4.055590E-13	4.129100E-13
-2.000000E+0	4.038980E-13	3.881770E-13	4.055770E-13	4.136610E-13
-1.950000E+0	4.460810E-13	3.890580E-13	4.059380E-13	4.148960E-13
-1.900000E+0	3.900160E-13	3.904960E-13	4.056900E-13	4.148200E-13
-1.850000E+0	4.357340E-13	3.882960E-13	4.065380E-13	4.146420E-13
-1.800000E+0	3.706130E-13	3.941580E-13	4.077530E-13	4.168670E-13
-1.750000E+0	4.076140E-13	3.919640E-13	4.073400E-13	4.157060E-13
-1.700000E+0	3.909390E-13	3.936080E-13	4.071150E-13	4.181590E-13
-1.650000E+0	3.820730E-13	3.907020E-13	4.079320E-13	4.184910E-13
-1.600000E+0	4.225670E-13	3.931420E-13	4.074440E-13	4.195320E-13
-1.550000E+0	4.381440E-13	3.983830E-13	4.082240E-13	4.192820E-13
-1.500000E+0	3.877590E-13	3.836710E-13	4.074350E-13	4.204850E-13
-1.450000E+0	4.030850E-13	3.903220E-13	4.077750E-13	4.216730E-13
-1.400000E+0	4.181260E-13	3.813340E-13	4.083970E-13	4.216940E-13
-1.350000E+0	4.283020E-13	3.877900E-13	4.090720E-13	4.234080E-13
-1.300000E+0	3.856080E-13	3.882460E-13	4.077040E-13	4.239370E-13
-1.250000E+0	3.839440E-13	3.960450E-13	4.077750E-13	4.250700E-13
-1.200000E+0	4.592080E-13	3.802490E-13	4.087440E-13	4.260320E-13
-1.150000E+0	3.936220E-13	3.863910E-13	4.102610E-13	4.273320E-13
-1.100000E+0	4.575270E-13	3.761560E-13	4.087740E-13	4.278260E-13
-1.050000E+0	4.072880E-13	3.786220E-13	4.083350E-13	4.295680E-13
-1.000000E+0	4.200420E-13	3.870940E-13	4.099530E-13	4.302390E-13
-9.500000E-1	4.409550E-13	3.935560E-13	4.100730E-13	4.312360E-13
-9.000000E-1	4.318140E-13	4.014880E-13	4.102100E-13	4.312050E-13
-8.500000E-1	4.186810E-13	4.046540E-13	4.096790E-13	4.333180E-13
-8.000000E-1	3.736300E-13	4.126130E-13	4.105350E-13	4.354800E-13
-7.500000E-1	4.457820E-13	4.122930E-13	4.130250E-13	4.378170E-13
-7.000000E-1	4.053180E-13	4.082890E-13	4.130240E-13	4.403010E-13
-6.500000E-1	4.398870E-13	4.096190E-13	4.149240E-13	4.437710E-13
-6.000000E-1	4.638670E-13	4.114780E-13	4.175120E-13	4.463130E-13
-5.500000E-1	4.408840E-13	3.992680E-13	4.201930E-13	4.493820E-13
-5.000000E-1	3.959050E-13	3.958830E-13	4.217430E-13	4.535980E-13
-4.500000E-1	4.551500E-13	3.976970E-13	4.241380E-13	4.573040E-13
-4.000000E-1	4.607930E-13	3.941730E-13	4.262750E-13	4.611120E-13
-3.500000E-1	4.267600E-13	3.958130E-13	4.294780E-13	4.641650E-13
-3.000000E-1	4.399530E-13	4.075780E-13	4.321610E-13	4.678660E-13
