V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	4.382050E-13	3.581920E-13	3.789730E-13	3.787930E-13
-2.950000E+0	4.435280E-13	3.788880E-13	3.795560E-13	3.789760E-13
-2.900000E+0	4.370780E-13	4.035970E-13	3.802290E-13	3.790130E-13
-2.850000E+0	4.613320E-13	4.203750E-13	3.799770E-13	3.792260E-13
-2.800000E+0	3.812960E-13	4.452210E-13	3.793950E-13	3.796470E-13
-2.750000E+0	3.428490E-13	4.548680E-13	3.795260E-13	3.802240E-13
-2.700000E+0	4.022250E-13	4.488170E-13	3.796880E-13	3.792970E-13
-2.650000E+0	3.913580E-13	4.350220E-13	3.810760E-13	3.795140E-13
-2.600000E+0	4.163080E-13	4.109570E-13	3.806020E-13	3.807810E-13
-2.550000E+0	4.327580E-13	3.777890E-13	3.800000E-13	3.802480E-13
-2.500000E+0	4.294360E-13	3.423800E-13	3.816850E-13	3.805580E-13
-2.450000E+0	4.237540E-13	3.174750E-13	3.816010E-13	3.810820E-13
-2.400000E+0	3.857510E-13	3.022110E-13	3.822300E-13	3.802200E-13
-2.350000E+0	3.978880E-13	3.013100E-13	3.816340E-13	3.809950E-13
-2.300000E+0	4.485250E-13	3.090300E-13	3.824520E-13	3.815660E-13
-2.250000E+0	4.220870E-13	3.354790E-13	3.830020E-13	3.816500E-13
-2.200000E+0	3.899730E-13	3.751880E-13	3.821090E-13	3.817340E-13
-2.150000E+0	4.664680E-13	4.073220E-13	3.835050E-13	3.824330E-13
-2.100000E+0	4.245660E-13	4.391780E-13	3.831170E-13	3.823810E-13
-2.050000E+0	4.461790E-13	4.636060E-13	3.843450E-13	3.827430E-13
-2.000000E+0	3.929490E-13	3.848150E-13	3.844210E-13	3.831550E-13
-1.950000E+0	4.331170E-13	3.908240E-13	3.841960E-13	3.841400E-13
-1.900000E+0	4.057380E-13	3.809920E-13	3.851540E-13	3.836240E-13
-1.850000E+0	5.716470E-13	3.863950E-13	3.860340E-13	3.842540E-13
