V	1.000k	10.000k	100.000k	1.000M
-3.000000E+0	-1.696330E-1	-1.326220E-1	3.167480E-3	2.213950E-2
-2.950000E+0	-6.416730E-2	-1.521080E-1	7.263420E-3	2.267140E-2
-2.900000E+0	-9.259910E-2	-1.289430E-1	7.492770E-3	2.573000E-2
-2.850000E+0	1.314640E-2	-1.091050E-1	6.081470E-3	2.177940E-2
-2.800000E+0	-2.081350E-1	-5.558960E-2	4.238110E-3	2.387540E-2
-2.750000E+0	-2.877650E-2	1.381110E-2	6.928220E-3	2.635430E-2
-2.700000E+0	-3.277330E-2	7.743230E-2	6.616880E-3	2.560070E-2
-2.650000E+0	-7.416040E-2	1.452920E-1	5.399240E-3	2.440620E-2
-2.600000E+0	-1.242380E-1	2.039460E-1	2.998750E-3	2.542540E-2
-2.550000E+0	4.425110E-2	2.208740E-1	5.485310E-3	2.636680E-2
-2.500000E+0	-4.674630E-2	2.252980E-1	2.588790E-3	2.777110E-2
-2.450000E+0	5.661210E-2	1.652270E-1	7.234160E-3	2.722990E-2
-2.400000E+0	-9.161180E-3	6.801240E-2	5.096090E-3	2.561820E-2
-2.350000E+0	-2.665390E-1	-3.151110E-2	3.914640E-3	2.948420E-2
-2.300000E+0	-2.976430E-2	-1.650390E-1	2.666170E-3	2.577200E-2
-2.250000E+0	6.629760E-2	-2.244150E-1	6.593380E-3	2.915530E-2
-2.200000E+0	1.488540E-2	-2.271540E-1	4.489120E-3	2.732160E-2
-2.150000E+0	-9.904530E-2	-1.887400E-1	6.846180E-3	2.656100E-2
-2.100000E+0	2.261120E-2	-1.279080E-1	5.445070E-3	2.583750E-2
-2.050000E+0	-1.397960E-1	-8.851440E-2	6.588910E-3	2.818110E-2
-2.000000E+0	-4.438210E-2	1.966210E-2	7.628780E-3	2.900090E-2
-1.950000E+0	4.552940E-2	1.299810E-2	7.219300E-3	2.851250E-2
-1.900000E+0	-1.191680E-1	1.690460E-2	5.023000E-3	2.717610E-2
-1.850000E+0	-9.611980E-2	-3.829130E-3	5.356590E-3	3.048560E-2
-1.800000E+0	1.957730E-1	-2.689990E-3	7.202750E-3	2.840920E-2
-1.750000E+0	-1.043240E-1	8.250240E-3	3.622800E-3	2.979420E-2
-1.700000E+0	-2.214030E-1	-5.432790E-3	6.063460E-3	2.890550E-2
-1.650000E+0	-1.498750E-1	7.890650E-3	5.392640E-3	2.831190E-2
-1.600000E+0	-1.204150E-1	-6.684810E-3	5.064460E-3	3.101190E-2
-1.550000E+0	-3.254800E-3	1.549340E-2	9.825750E-3	2.908460E-2
-1.500000E+0	-7.305480E-2	2.765400E-3	2.823210E-3	3.041020E-2
-1.450000E+0	8.892680E-2	3.744080E-3	5.772480E-3	2.939440E-2
-1.400000E+0	-7.424320E-2	1.578330E-2	5.139460E-3	2.927570E-2
-1.350000E+0	-4.354270E-2	5.526040E-3	6.328830E-3	3.114740E-2
-1.300000E+0	-1.711210E-1	8.777020E-4	5.322830E-3	3.152750E-2
-1.250000E+0	-1.680550E-1	8.978210E-3	4.343510E-3	2.993970E-2
-1.200000E+0	-8.153070E-2	-2.688720E-4	4.231340E-3	3.075100E-2
-1.150000E+0	-1.289490E-2	1.023030E-2	5.036450E-3	2.966400E-2
-1.100000E+0	-2.926120E-1	8.605820E-3	6.981490E-3	3.070410E-2
-1.050000E+0	2.306170E-1	-7.081850E-3	3.665890E-3	2.995750E-2
-1.000000E+0	-5.010340E-2	1.260420E-2	4.567050E-3	3.223910E-2
-9.500000E-1	-8.517250E-2	-8.375410E-4	5.108480E-3	2.997390E-2
-9.000000E-1	-4.161160E-2	6.027150E-3	5.848410E-3	3.037550E-2
-8.500000E-1	-1.743960E-2	-6.660030E-3	5.074500E-3	3.339520E-2
-8.000000E-1	-8.083710E-2	-2.815580E-3	2.879510E-3	3.154200E-2
-7.500000E-1	-4.995260E-2	-3.928050E-3	5.615020E-3	3.311090E-2
