@TIME,VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
0.0,3.0,2.25,0.0,0.75,2.085232,1.93e-12,1.03952e-06,-1.0388e-06
10.0,3.0,2.25,0.0,0.75,2.086622,5e-14,1.01952e-06,-1.0196e-06
20.0,3.0,2.25,0.0,0.75,2.086864,-1e-14,1.0139e-06,-1.01401e-06
30.0,3.0,2.25,0.0,0.75,2.086968,-3e-14,1.01043e-06,-1.0105e-06
40.0,3.0,2.25,0.0,0.75,2.087,-6e-14,1.0079e-06,-1.00794e-06
50.0,3.0,2.25,0.0,0.75,2.087042,-4e-14,1.00574e-06,-1.00587e-06
60.0,3.0,2.25,0.0,0.75,2.087022,-6e-14,1.00408e-06,-1.0042e-06
70.0,3.0,2.25,0.0,0.75,2.087042,-1.1e-13,1.00246e-06,-1.00254e-06
80.0,3.0,2.25,0.0,0.75,2.087036,-5e-14,1.001e-06,-1.001133e-06
90.0,3.0,2.25,0.0,0.75,2.08702,-6e-14,9.9974e-07,-9.99969e-07
100.0,3.0,2.25,0.0,0.75,2.087026,-4e-14,9.98685e-07,-9.98673e-07
110.0,3.0,2.25,0.0,0.75,2.087012,-7e-14,9.9737e-07,-9.97492e-07
120.0,3.0,2.25,0.0,0.75,2.087008,-4e-14,9.96494e-07,-9.96439e-07
130.0,3.0,2.25,0.0,0.75,2.08699,-9e-14,9.9531e-07,-9.95438e-07
140.0,3.0,2.25,0.0,0.75,2.086992,-7e-14,9.94223e-07,-9.94209e-07
150.0,3.0,2.25,0.0,0.75,2.086984,-8e-14,9.9323e-07,-9.93279e-07
160.0,3.0,2.25,0.0,0.75,2.086976,-8e-14,9.92394e-07,-9.9239e-07
170.0,3.0,2.25,0.0,0.75,2.086972,-1.3e-13,9.9127e-07,-9.91417e-07
180.0,3.0,2.25,0.0,0.75,2.086968,-1.4e-13,9.90546e-07,-9.90519e-07
190.0,3.0,2.25,0.0,0.75,2.086946,-8e-14,9.8959e-07,-9.89711e-07
200.0,3.0,2.25,0.0,0.75,2.086918,-8e-14,9.88934e-07,-9.88829e-07
210.0,3.0,2.25,0.0,0.75,2.086924,-8e-14,9.8788e-07,-9.88001e-07
220.0,3.0,2.25,0.0,0.75,2.086942,-1e-13,9.87146e-07,-9.87137e-07
